1,桂林 寛,桂林 寛.1,2,土性 雅也,土性 雅也.1,3,深山 祐二,深山 祐二.1,4,野末 智一,野末 智一.1,5,藤丸 光一,藤丸 光一.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,27.4,1.0,3.0,92.3,1.0,2.0,121.5,1.0,2.0,75.5,1.0,2.0,30.5,1.0,2.0,905.9
2.0,4.0,22.3,1.0,4.0,73.4,1.0,4.0,63.4,1.0,3.0,72.9,1.0,3.0,28.6,1.0,3.0,919.9
2.0,5.0,18.1,1.0,5.0,56.4,1.0,5.0,61.1,1.0,5.0,46.2,1.0,4.0,24.1,1.0,4.0,549.4
2.0,6.0,203.3,1.0,6.0,441.9,1.0,6.0,285.2,1.0,6.0,179.2,1.0,6.0,131.7,1.0,5.0,500.7
3.0,2.0,29.5,3.0,1.0,168.2,2.0,1.0,195.1,2.0,1.0,139.6,2.0,1.0,70.8,2.0,1.0,1396.0
3.0,4.0,26.0,3.0,4.0,167.0,2.0,4.0,173.6,2.0,3.0,218.7,2.0,3.0,125.7,2.0,3.0,1289.0
3.0,5.0,18.6,3.0,5.0,160.5,2.0,5.0,190.7,2.0,5.0,131.9,2.0,4.0,105.2,2.0,4.0,899.0
3.0,6.0,203.7,3.0,6.0,657.4,2.0,6.0,659.3,2.0,6.0,485.3,2.0,6.0,444.4,2.0,5.0,1157.0
4.0,2.0,26.4,4.0,1.0,126.1,4.0,1.0,68.0,3.0,1.0,99.7,3.0,1.0,68.7,3.0,1.0,1348.0
4.0,3.0,33.7,4.0,3.0,174.6,4.0,2.0,129.7,3.0,2.0,171.0,3.0,2.0,147.8,3.0,2.0,1502.0
4.0,5.0,17.9,4.0,5.0,130.4,4.0,5.0,76.7,3.0,5.0,99.6,3.0,4.0,109.7,3.0,4.0,1023.0
4.0,6.0,147.3,4.0,6.0,555.8,4.0,6.0,177.7,3.0,6.0,266.0,3.0,6.0,356.9,3.0,5.0,1356.0
5.0,2.0,11.7,5.0,1.0,87.8,5.0,1.0,86.5,5.0,1.0,63.2,4.0,1.0,58.5,4.0,1.0,680.0
5.0,3.0,13.8,5.0,3.0,133.8,5.0,2.0,162.9,5.0,2.0,107.3,4.0,2.0,110.4,4.0,2.0,1152.0
5.0,4.0,11.4,5.0,4.0,109.3,5.0,4.0,101.1,5.0,3.0,109.2,4.0,3.0,118.3,4.0,3.0,1041.0
5.0,6.0,97.7,5.0,6.0,520.5,5.0,6.0,420.8,5.0,6.0,239.7,4.0,6.0,294.1,4.0,5.0,892.2
6.0,2.0,503.9,6.0,1.0,1135.0,6.0,1.0,631.2,6.0,1.0,294.1,6.0,1.0,376.1,5.0,1.0,712.7
6.0,3.0,443.6,6.0,3.0,1014.0,6.0,2.0,899.0,6.0,2.0,509.3,6.0,2.0,760.7,5.0,2.0,1229.0
6.0,4.0,283.2,6.0,4.0,866.2,6.0,4.0,416.4,6.0,3.0,412.7,6.0,3.0,746.3,5.0,3.0,1192.0
6.0,5.0,255.4,6.0,5.0,934.4,6.0,5.0,616.4,6.0,5.0,330.5,6.0,4.0,563.7,5.0,4.0,957.0
