1,中村 辰也,中村 辰也.1,2,川崎 智稔,川崎 智稔.1,3,小林 文彦,小林 文彦.1,4,小森 信雄,小森 信雄.1,5,山本 幸也,山本 幸也.1,6,桑島 和宏,桑島 和宏.1
2.0,3.0,5.6,1.0,3.0,15.9,1.0,2.0,52.1,1.0,2.0,305.2,1.0,2.0,1320.0,1.0,2.0,101.4
2.0,4.0,13.6,1.0,4.0,29.0,1.0,4.0,87.2,1.0,3.0,336.4,1.0,3.0,1386.0,1.0,3.0,134.0
2.0,5.0,100.3,1.0,5.0,135.2,1.0,5.0,352.4,1.0,5.0,712.7,1.0,4.0,1840.0,1.0,4.0,337.6
2.0,6.0,11.0,1.0,6.0,23.7,1.0,6.0,56.9,1.0,6.0,312.4,1.0,6.0,1444.0,1.0,5.0,835.0
3.0,2.0,7.8,3.0,1.0,36.3,2.0,1.0,64.8,2.0,1.0,345.2,2.0,1.0,1833.0,2.0,1.0,192.7
3.0,4.0,16.3,3.0,4.0,57.8,2.0,4.0,101.1,2.0,3.0,406.1,2.0,3.0,2228.0,2.0,3.0,231.0
3.0,5.0,104.5,3.0,5.0,244.6,2.0,5.0,409.2,2.0,5.0,897.9,2.0,4.0,2091.0,2.0,4.0,336.7
3.0,6.0,11.7,3.0,6.0,44.7,2.0,6.0,77.8,2.0,6.0,292.3,2.0,6.0,1324.0,2.0,5.0,687.0
4.0,2.0,31.0,4.0,1.0,86.0,4.0,1.0,177.9,3.0,1.0,460.2,3.0,1.0,2011.0,3.0,1.0,234.6
4.0,3.0,40.4,4.0,3.0,112.5,4.0,2.0,262.5,3.0,2.0,480.1,3.0,2.0,2360.0,3.0,2.0,307.2
4.0,5.0,227.1,4.0,5.0,339.6,4.0,5.0,836.5,3.0,5.0,1274.0,3.0,4.0,2889.0,3.0,4.0,536.9
4.0,6.0,50.2,4.0,6.0,86.3,4.0,6.0,234.4,3.0,6.0,543.6,3.0,6.0,2249.0,3.0,5.0,1374.0
5.0,2.0,342.0,5.0,1.0,611.2,5.0,1.0,1061.0,5.0,1.0,1054.0,4.0,1.0,1826.0,4.0,1.0,566.2
5.0,3.0,357.6,5.0,3.0,792.0,5.0,2.0,1137.0,5.0,2.0,1346.0,4.0,2.0,2167.0,4.0,2.0,444.3
5.0,4.0,476.8,5.0,4.0,837.9,5.0,4.0,1328.0,5.0,3.0,1508.0,4.0,3.0,2756.0,4.0,3.0,714.8
5.0,6.0,373.3,5.0,6.0,489.5,5.0,6.0,975.0,5.0,6.0,1050.0,4.0,6.0,1877.0,4.0,5.0,1568.0
6.0,2.0,32.9,6.0,1.0,84.5,6.0,1.0,125.9,6.0,1.0,402.0,6.0,1.0,1833.0,5.0,1.0,1673.0
6.0,3.0,30.3,6.0,3.0,100.3,6.0,2.0,168.9,6.0,2.0,369.6,6.0,2.0,1444.0,5.0,2.0,1471.0
6.0,4.0,69.8,6.0,4.0,135.4,6.0,4.0,286.3,6.0,3.0,542.4,6.0,3.0,2270.0,5.0,3.0,2157.0
6.0,5.0,169.7,6.0,5.0,380.8,6.0,5.0,760.4,6.0,5.0,909.9,6.0,4.0,2100.0,5.0,4.0,2325.0
