1,待鳥 雄紀,待鳥 雄紀.1,2,佐藤 航,佐藤 航.1,3,江夏 満,江夏 満.1,4,楠原 翔太,楠原 翔太.1,5,加藤 高史,加藤 高史.1,6,坂井 康嗣,坂井 康嗣.1
2.0,3.0,8.7,1.0,3.0,18.2,1.0,2.0,19.4,1.0,2.0,172.4,1.0,2.0,318.1,1.0,2.0,955.1
2.0,4.0,21.0,1.0,4.0,59.9,1.0,4.0,21.5,1.0,3.0,130.2,1.0,3.0,210.8,1.0,3.0,894.7
2.0,5.0,28.5,1.0,5.0,66.6,1.0,5.0,20.6,1.0,5.0,199.6,1.0,4.0,457.2,1.0,4.0,1101.0
2.0,6.0,84.5,1.0,6.0,154.1,1.0,6.0,71.4,1.0,6.0,266.4,1.0,6.0,552.0,1.0,5.0,1527.0
3.0,2.0,7.3,3.0,1.0,35.5,2.0,1.0,40.9,2.0,1.0,312.6,2.0,1.0,489.2,2.0,1.0,1600.0
3.0,4.0,9.3,3.0,4.0,86.2,2.0,4.0,78.4,2.0,3.0,306.9,2.0,3.0,423.0,2.0,3.0,1351.0
3.0,5.0,11.9,3.0,5.0,85.1,2.0,5.0,67.6,2.0,5.0,532.4,2.0,4.0,813.5,2.0,4.0,1368.0
3.0,6.0,48.0,3.0,6.0,169.0,2.0,6.0,175.5,2.0,6.0,586.4,2.0,6.0,887.3,2.0,5.0,1854.0
4.0,2.0,32.7,4.0,1.0,189.8,4.0,1.0,61.7,3.0,1.0,173.6,3.0,1.0,249.3,3.0,1.0,908.3
4.0,3.0,24.8,4.0,3.0,184.2,4.0,2.0,109.3,3.0,2.0,248.6,3.0,2.0,366.5,3.0,2.0,1211.0
4.0,5.0,57.3,4.0,5.0,353.3,4.0,5.0,86.7,3.0,5.0,236.9,3.0,4.0,433.3,3.0,4.0,1247.0
4.0,6.0,90.6,4.0,6.0,444.7,4.0,6.0,171.2,3.0,6.0,377.0,3.0,6.0,646.3,3.0,5.0,1481.0
5.0,2.0,65.4,5.0,1.0,259.1,5.0,1.0,71.2,5.0,1.0,306.5,4.0,1.0,589.6,4.0,1.0,1259.0
5.0,3.0,48.9,5.0,3.0,238.9,5.0,2.0,109.9,5.0,2.0,405.8,4.0,2.0,756.3,4.0,2.0,1262.0
5.0,4.0,113.1,5.0,4.0,602.8,5.0,4.0,123.1,5.0,3.0,327.8,4.0,3.0,536.1,4.0,3.0,1485.0
5.0,6.0,184.4,5.0,6.0,585.1,5.0,6.0,202.7,5.0,6.0,370.0,4.0,6.0,637.1,4.0,5.0,1804.0
6.0,2.0,240.1,6.0,1.0,757.3,6.0,1.0,325.3,6.0,1.0,528.2,6.0,1.0,1136.0,5.0,1.0,1913.0
6.0,3.0,193.5,6.0,3.0,567.2,6.0,2.0,433.6,6.0,2.0,607.6,6.0,2.0,1211.0,5.0,2.0,1976.0
6.0,4.0,245.0,6.0,4.0,946.7,6.0,4.0,446.9,6.0,3.0,617.3,6.0,3.0,1086.0,5.0,3.0,1675.0
6.0,5.0,345.1,6.0,5.0,975.9,6.0,5.0,387.7,6.0,5.0,633.3,6.0,4.0,995.8,5.0,4.0,1900.0
