1,加藤 高史,加藤 高史.1,2,楠原 翔太,楠原 翔太.1,3,久田 武,久田 武.1,4,草場 康幸,草場 康幸.1,5,塩田 北斗,塩田 北斗.1,6,牧原 崇,牧原 崇.1
2.0,3.0,14.0,1.0,3.0,39.7,1.0,2.0,66.0,1.0,2.0,282.4,1.0,2.0,36.4,1.0,2.0,993.2
2.0,4.0,32.7,1.0,4.0,82.8,1.0,4.0,91.2,1.0,3.0,260.2,1.0,3.0,29.9,1.0,3.0,755.9
2.0,5.0,11.7,1.0,5.0,27.1,1.0,5.0,28.0,1.0,5.0,167.6,1.0,4.0,90.3,1.0,4.0,1315.0
2.0,6.0,58.2,1.0,6.0,96.6,1.0,6.0,109.8,1.0,6.0,396.8,1.0,6.0,55.3,1.0,5.0,614.2
3.0,2.0,15.4,3.0,1.0,96.2,2.0,1.0,132.5,2.0,1.0,480.0,2.0,1.0,72.0,2.0,1.0,1364.0
3.0,4.0,27.1,3.0,4.0,302.8,2.0,4.0,332.5,2.0,3.0,762.2,2.0,3.0,113.0,2.0,3.0,1812.0
3.0,5.0,9.1,3.0,5.0,104.5,2.0,5.0,121.0,2.0,5.0,507.6,2.0,4.0,258.2,2.0,4.0,1947.0
3.0,6.0,45.0,3.0,6.0,340.5,2.0,6.0,359.3,2.0,6.0,841.9,2.0,6.0,151.0,2.0,5.0,1351.0
4.0,2.0,61.6,4.0,1.0,258.1,4.0,1.0,266.1,3.0,1.0,443.5,3.0,1.0,56.7,3.0,1.0,910.6
4.0,3.0,60.0,4.0,3.0,395.4,4.0,2.0,437.1,3.0,2.0,940.3,3.0,2.0,130.9,3.0,2.0,1619.0
4.0,5.0,51.8,4.0,5.0,284.9,4.0,5.0,180.8,3.0,5.0,349.0,3.0,4.0,196.7,3.0,4.0,1385.0
4.0,6.0,137.1,4.0,6.0,643.1,4.0,6.0,518.7,3.0,6.0,782.9,3.0,6.0,130.6,3.0,5.0,745.6
5.0,2.0,13.8,5.0,1.0,56.9,5.0,1.0,46.1,5.0,1.0,185.7,4.0,1.0,187.8,4.0,1.0,1788.0
5.0,3.0,11.4,5.0,3.0,87.9,5.0,2.0,91.9,5.0,2.0,365.5,4.0,2.0,356.5,4.0,2.0,2057.0
5.0,4.0,39.1,5.0,4.0,199.4,5.0,4.0,120.3,5.0,3.0,271.7,4.0,3.0,265.2,4.0,3.0,1683.0
5.0,6.0,32.0,5.0,6.0,161.2,5.0,6.0,118.0,5.0,6.0,275.8,4.0,6.0,266.8,4.0,5.0,1135.0
6.0,2.0,181.8,6.0,1.0,529.8,6.0,1.0,381.3,6.0,1.0,935.5,6.0,1.0,136.4,5.0,1.0,638.6
6.0,3.0,173.6,6.0,3.0,759.0,6.0,2.0,721.0,6.0,2.0,1224.0,6.0,2.0,268.2,5.0,2.0,1114.0
6.0,4.0,250.4,6.0,4.0,1024.0,6.0,4.0,726.8,6.0,3.0,1007.0,6.0,3.0,183.9,5.0,3.0,734.6
6.0,5.0,122.4,6.0,5.0,471.8,6.0,5.0,313.8,6.0,5.0,629.0,6.0,4.0,361.7,5.0,4.0,1017.0
