1,嶋田 貴支,嶋田 貴支.1,2,黒田 剛,黒田 剛.1,3,加藤 高史,加藤 高史.1,4,麻生 慎介,麻生 慎介.1,5,江夏 満,江夏 満.1,6,富永 大一,富永 大一.1
2.0,3.0,79.2,1.0,3.0,137.0,1.0,2.0,132.4,1.0,2.0,118.1,1.0,2.0,253.2,1.0,2.0,756.9
2.0,4.0,91.8,1.0,4.0,165.3,1.0,4.0,52.6,1.0,3.0,55.5,1.0,3.0,88.7,1.0,3.0,579.8
2.0,5.0,100.7,1.0,5.0,166.7,1.0,5.0,52.2,1.0,5.0,36.8,1.0,4.0,78.8,1.0,4.0,534.3
2.0,6.0,192.9,1.0,6.0,306.8,1.0,6.0,131.7,1.0,6.0,94.6,1.0,6.0,103.3,1.0,5.0,448.2
3.0,2.0,69.3,3.0,1.0,155.3,2.0,1.0,157.5,2.0,1.0,229.7,2.0,1.0,414.1,2.0,1.0,973.2
3.0,4.0,30.1,3.0,4.0,63.8,2.0,4.0,56.2,2.0,3.0,133.8,2.0,3.0,276.9,2.0,3.0,920.6
3.0,5.0,27.6,3.0,5.0,64.2,2.0,5.0,60.5,2.0,5.0,100.8,2.0,4.0,253.2,2.0,4.0,702.3
3.0,6.0,80.3,3.0,6.0,123.7,2.0,6.0,129.0,2.0,6.0,170.1,2.0,6.0,325.9,2.0,5.0,908.3
4.0,2.0,57.0,4.0,1.0,197.7,4.0,1.0,50.6,3.0,1.0,67.4,3.0,1.0,126.0,3.0,1.0,667.9
4.0,3.0,31.1,4.0,3.0,88.5,4.0,2.0,68.8,3.0,2.0,110.8,3.0,2.0,235.3,3.0,2.0,787.5
4.0,5.0,28.1,4.0,5.0,89.3,4.0,5.0,18.7,3.0,5.0,24.8,3.0,4.0,56.3,3.0,4.0,367.2
4.0,6.0,76.7,4.0,6.0,165.9,4.0,6.0,57.3,3.0,6.0,69.7,3.0,6.0,99.5,3.0,5.0,294.2
5.0,2.0,112.0,5.0,1.0,299.4,5.0,1.0,63.0,5.0,1.0,32.3,4.0,1.0,70.0,4.0,1.0,605.5
5.0,3.0,39.2,5.0,3.0,121.9,5.0,2.0,78.0,5.0,2.0,67.8,4.0,2.0,138.7,4.0,2.0,651.9
5.0,4.0,41.4,5.0,4.0,130.8,5.0,4.0,28.8,5.0,3.0,21.8,4.0,3.0,40.9,4.0,3.0,367.2
5.0,6.0,68.2,5.0,6.0,230.5,5.0,6.0,55.7,5.0,6.0,25.2,4.0,6.0,49.1,4.0,5.0,225.5
6.0,2.0,342.3,6.0,1.0,645.7,6.0,1.0,270.8,6.0,1.0,159.1,6.0,1.0,198.9,5.0,1.0,520.0
6.0,3.0,197.7,6.0,3.0,362.3,6.0,2.0,275.8,6.0,2.0,201.8,6.0,2.0,336.4,5.0,2.0,835.9
6.0,4.0,206.4,6.0,4.0,346.7,6.0,4.0,142.0,6.0,3.0,112.9,6.0,3.0,123.0,5.0,3.0,275.2
6.0,5.0,139.6,6.0,5.0,404.3,6.0,5.0,121.9,6.0,5.0,68.4,6.0,4.0,98.7,5.0,4.0,215.5
