1,星野 太郎,星野 太郎.1,2,草場 康幸,草場 康幸.1,3,牧原 崇,牧原 崇.1,4,上野　真之介,上野　真之介.1,5,佐藤 航,佐藤 航.1,6,木場　雄二郎,木場　雄二郎.1
2.0,3.0,26.7,1.0,3.0,133.2,1.0,2.0,188.0,1.0,2.0,38.0,1.0,2.0,161.2,1.0,2.0,1554.0
2.0,4.0,14.3,1.0,4.0,75.3,1.0,4.0,77.6,1.0,3.0,39.5,1.0,3.0,108.0,1.0,3.0,1736.0
2.0,5.0,29.9,1.0,5.0,149.0,1.0,5.0,94.5,1.0,5.0,19.1,1.0,4.0,60.9,1.0,4.0,1169.0
2.0,6.0,134.4,1.0,6.0,402.8,1.0,6.0,346.8,1.0,6.0,88.6,1.0,6.0,216.7,1.0,5.0,1817.0
3.0,2.0,29.9,3.0,1.0,271.3,2.0,1.0,335.9,2.0,1.0,86.7,2.0,1.0,381.6,2.0,1.0,2103.0
3.0,4.0,10.7,3.0,4.0,330.2,2.0,4.0,344.5,2.0,3.0,206.4,2.0,3.0,716.2,2.0,3.0,2732.0
3.0,5.0,16.9,3.0,5.0,604.2,2.0,5.0,540.3,2.0,5.0,111.9,2.0,4.0,427.3,2.0,4.0,1780.0
3.0,6.0,100.9,3.0,6.0,938.7,2.0,6.0,880.9,2.0,6.0,271.5,2.0,6.0,722.2,2.0,5.0,2938.0
4.0,2.0,12.9,4.0,1.0,119.3,4.0,1.0,110.2,3.0,1.0,86.7,3.0,1.0,282.6,3.0,1.0,2664.0
4.0,3.0,10.0,4.0,3.0,279.4,4.0,2.0,290.6,3.0,2.0,241.0,3.0,2.0,738.4,3.0,2.0,2879.0
4.0,5.0,8.6,4.0,5.0,227.9,4.0,5.0,108.8,3.0,5.0,106.6,3.0,4.0,253.1,3.0,4.0,1751.0
4.0,6.0,53.4,4.0,6.0,515.6,4.0,6.0,356.9,3.0,6.0,277.5,3.0,6.0,806.4,3.0,5.0,2616.0
5.0,2.0,38.4,5.0,1.0,390.0,5.0,1.0,212.4,5.0,1.0,25.1,4.0,1.0,74.5,4.0,1.0,1195.0
5.0,3.0,24.0,5.0,3.0,709.1,5.0,2.0,521.2,5.0,2.0,58.3,4.0,2.0,182.4,4.0,2.0,1758.0
5.0,4.0,16.4,5.0,4.0,403.9,5.0,4.0,178.6,5.0,3.0,70.2,4.0,3.0,156.4,4.0,3.0,2052.0
5.0,6.0,107.4,5.0,6.0,893.8,5.0,6.0,629.0,5.0,6.0,59.6,4.0,6.0,167.9,4.0,5.0,1165.0
6.0,2.0,331.8,6.0,1.0,1091.0,6.0,1.0,1150.0,6.0,1.0,236.8,6.0,1.0,556.4,5.0,1.0,2306.0
6.0,3.0,322.0,6.0,3.0,1795.0,6.0,2.0,1406.0,6.0,2.0,359.6,6.0,2.0,882.7,5.0,2.0,3201.0
6.0,4.0,209.9,6.0,4.0,1383.0,6.0,4.0,964.0,6.0,3.0,402.8,6.0,3.0,1056.0,5.0,3.0,2958.0
6.0,5.0,326.5,6.0,5.0,1986.0,6.0,5.0,1215.0,6.0,5.0,214.8,6.0,4.0,514.4,5.0,4.0,1261.0
