1,待鳥 雄紀,待鳥 雄紀.1,2,小林 基樹,小林 基樹.1,3,川島 拓郎,川島 拓郎.1,4,星野 太郎,星野 太郎.1,5,村本 大成,村本 大成.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,20.4,1.0,3.0,67.9,1.0,2.0,101.3,1.0,2.0,80.2,1.0,2.0,1689.0,1.0,2.0,40.1
2.0,4.0,17.0,1.0,4.0,48.6,1.0,4.0,58.2,1.0,3.0,83.6,1.0,3.0,1789.0,1.0,3.0,45.3
2.0,5.0,228.3,1.0,5.0,363.2,1.0,5.0,373.5,1.0,5.0,350.9,1.0,4.0,2083.0,1.0,4.0,31.2
2.0,6.0,17.4,1.0,6.0,47.6,1.0,6.0,50.9,1.0,6.0,37.3,1.0,6.0,1421.0,1.0,5.0,250.9
3.0,2.0,25.0,3.0,1.0,150.0,2.0,1.0,192.5,2.0,1.0,153.0,2.0,1.0,2302.0,2.0,1.0,69.4
3.0,4.0,15.1,3.0,4.0,226.0,2.0,4.0,241.1,2.0,3.0,294.0,2.0,3.0,2895.0,2.0,3.0,127.4
3.0,5.0,150.0,3.0,5.0,1207.0,2.0,5.0,1118.0,2.0,5.0,909.3,2.0,4.0,3100.0,2.0,4.0,84.9
3.0,6.0,14.7,3.0,6.0,196.3,2.0,6.0,214.8,2.0,6.0,122.9,2.0,6.0,2329.0,2.0,5.0,453.6
4.0,2.0,19.2,4.0,1.0,101.9,4.0,1.0,106.6,3.0,1.0,157.3,3.0,1.0,2343.0,3.0,1.0,85.9
4.0,3.0,19.9,4.0,3.0,227.6,4.0,2.0,227.2,3.0,2.0,315.2,3.0,2.0,3150.0,3.0,2.0,153.6
4.0,5.0,175.4,4.0,5.0,859.7,4.0,5.0,725.1,3.0,5.0,996.8,3.0,4.0,3423.0,3.0,4.0,101.8
4.0,6.0,11.1,4.0,6.0,98.4,4.0,6.0,85.5,3.0,6.0,110.3,3.0,6.0,2540.0,3.0,5.0,561.7
5.0,2.0,542.3,5.0,1.0,1480.0,5.0,1.0,1014.0,5.0,1.0,907.2,4.0,1.0,2237.0,4.0,1.0,43.7
5.0,3.0,529.2,5.0,3.0,1978.0,5.0,2.0,1474.0,5.0,2.0,1371.0,4.0,2.0,3076.0,4.0,2.0,80.4
5.0,4.0,562.5,5.0,4.0,1988.0,5.0,4.0,1532.0,5.0,3.0,1556.0,4.0,3.0,2832.0,4.0,3.0,87.3
5.0,6.0,355.3,5.0,6.0,1295.0,5.0,6.0,1125.0,5.0,6.0,644.4,4.0,6.0,1675.0,4.0,5.0,369.0
6.0,2.0,24.0,6.0,1.0,103.3,6.0,1.0,82.0,6.0,1.0,39.9,6.0,1.0,1930.0,5.0,1.0,621.0
6.0,3.0,20.8,6.0,3.0,209.1,6.0,2.0,179.6,6.0,2.0,69.2,6.0,2.0,2445.0,5.0,2.0,800.3
6.0,4.0,15.4,6.0,4.0,113.3,6.0,4.0,97.5,6.0,3.0,76.8,6.0,3.0,2960.0,5.0,3.0,837.7
6.0,5.0,204.8,6.0,5.0,640.2,6.0,5.0,622.0,6.0,5.0,301.9,6.0,4.0,1968.0,5.0,4.0,579.0
