1,井内　将太郎,井内　将太郎.1,2,渡邉 英児,渡邉 英児.1,3,永田 義紘,永田 義紘.1,4,田邉 亮蔵,田邉 亮蔵.1,5,嶋田 貴支,嶋田 貴支.1,6,黒田 剛,黒田 剛.1
2.0,3.0,3.9,1.0,3.0,47.0,1.0,2.0,122.4,1.0,2.0,226.4,1.0,2.0,248.4,1.0,2.0,136.4
2.0,4.0,11.4,1.0,4.0,88.4,1.0,4.0,227.8,1.0,3.0,444.9,1.0,3.0,397.3,1.0,3.0,218.1
2.0,5.0,6.7,1.0,5.0,65.0,1.0,5.0,160.7,1.0,5.0,366.6,1.0,4.0,756.8,1.0,4.0,403.5
2.0,6.0,14.4,1.0,6.0,113.8,1.0,6.0,211.1,1.0,6.0,412.0,1.0,6.0,496.5,1.0,5.0,400.6
3.0,2.0,7.8,3.0,1.0,158.3,2.0,1.0,207.0,2.0,1.0,426.9,2.0,1.0,395.7,2.0,1.0,221.0
3.0,4.0,21.4,3.0,4.0,458.5,2.0,4.0,732.6,2.0,3.0,1188.0,2.0,3.0,832.8,2.0,3.0,512.2
3.0,5.0,15.7,3.0,5.0,309.8,2.0,5.0,558.4,2.0,5.0,1073.0,2.0,4.0,1584.0,2.0,4.0,781.1
3.0,6.0,23.5,3.0,6.0,627.6,2.0,6.0,784.2,2.0,6.0,930.2,2.0,6.0,1233.0,2.0,5.0,864.2
4.0,2.0,30.0,4.0,1.0,336.8,4.0,1.0,582.6,3.0,1.0,829.3,3.0,1.0,685.0,3.0,1.0,470.1
4.0,3.0,46.0,4.0,3.0,604.3,4.0,2.0,1070.0,3.0,2.0,1214.0,3.0,2.0,1188.0,3.0,2.0,894.0
4.0,5.0,62.5,4.0,5.0,758.3,4.0,5.0,1221.0,3.0,5.0,1392.0,3.0,4.0,2106.0,3.0,4.0,1358.0
4.0,6.0,66.5,4.0,6.0,746.7,4.0,6.0,1241.0,3.0,6.0,1382.0,3.0,6.0,1948.0,3.0,5.0,1552.0
5.0,2.0,20.7,5.0,1.0,260.0,5.0,1.0,390.1,5.0,1.0,729.9,4.0,1.0,1253.0,4.0,1.0,974.4
5.0,3.0,30.8,5.0,3.0,459.6,5.0,2.0,745.2,5.0,2.0,1042.0,4.0,2.0,1812.0,4.0,2.0,1282.0
5.0,4.0,71.7,5.0,4.0,957.7,5.0,4.0,1422.0,5.0,3.0,1290.0,4.0,3.0,2095.0,4.0,3.0,1892.0
5.0,6.0,55.9,5.0,6.0,696.0,5.0,6.0,1082.0,5.0,6.0,906.4,4.0,6.0,1901.0,4.0,5.0,2084.0
6.0,2.0,36.3,6.0,1.0,350.8,6.0,1.0,466.8,6.0,1.0,709.9,6.0,1.0,881.8,5.0,1.0,829.3
6.0,3.0,54.6,6.0,3.0,885.8,6.0,2.0,1056.0,6.0,2.0,1076.0,6.0,2.0,1290.0,5.0,2.0,1397.0
6.0,4.0,101.0,6.0,4.0,943.7,6.0,4.0,1559.0,6.0,3.0,1465.0,6.0,3.0,1763.0,5.0,3.0,1901.0
6.0,5.0,95.5,6.0,5.0,856.6,6.0,5.0,1499.0,6.0,5.0,1358.0,6.0,4.0,1968.0,5.0,4.0,1796.0
