1,島川 海輝,島川 海輝.1,2,楠原 翔太,楠原 翔太.1,3,天野 友和,天野 友和.1,4,牧原 崇,牧原 崇.1,5,原村 拓也,原村 拓也.1,6,外崎 悟,外崎 悟.1
2.0,3.0,10.1,1.0,3.0,37.3,1.0,2.0,49.0,1.0,2.0,83.7,1.0,2.0,410.2,1.0,2.0,414.6
2.0,4.0,12.1,1.0,4.0,37.4,1.0,4.0,43.9,1.0,3.0,86.5,1.0,3.0,487.2,1.0,3.0,348.7
2.0,5.0,48.9,1.0,5.0,96.5,1.0,5.0,94.7,1.0,5.0,91.0,1.0,4.0,401.3,1.0,4.0,442.2
2.0,6.0,31.2,1.0,6.0,60.7,1.0,6.0,58.6,1.0,6.0,71.0,1.0,6.0,431.9,1.0,5.0,741.9
3.0,2.0,10.8,3.0,1.0,72.0,2.0,1.0,83.0,2.0,1.0,149.3,2.0,1.0,720.5,2.0,1.0,647.2
3.0,4.0,9.1,3.0,4.0,96.6,2.0,4.0,114.5,2.0,3.0,171.2,2.0,3.0,890.9,2.0,3.0,660.2
3.0,5.0,36.7,3.0,5.0,232.2,2.0,5.0,226.1,2.0,5.0,228.8,2.0,4.0,727.9,2.0,4.0,567.8
3.0,6.0,19.2,3.0,6.0,126.7,2.0,6.0,145.6,2.0,6.0,157.7,2.0,6.0,800.5,2.0,5.0,1259.0
4.0,2.0,16.7,4.0,1.0,91.5,4.0,1.0,104.6,3.0,1.0,134.9,3.0,1.0,726.7,3.0,1.0,428.0
4.0,3.0,16.4,4.0,3.0,124.5,4.0,2.0,134.6,3.0,2.0,182.6,3.0,2.0,925.7,3.0,2.0,609.2
4.0,5.0,44.8,4.0,5.0,241.4,4.0,5.0,190.8,3.0,5.0,236.4,3.0,4.0,720.5,3.0,4.0,422.9
4.0,6.0,27.2,4.0,6.0,119.2,4.0,6.0,100.4,3.0,6.0,151.5,3.0,6.0,719.3,3.0,5.0,1018.0
5.0,2.0,104.0,5.0,1.0,371.6,5.0,1.0,384.7,5.0,1.0,105.6,4.0,1.0,400.2,4.0,1.0,516.2
5.0,3.0,103.1,5.0,3.0,460.8,5.0,2.0,415.8,5.0,2.0,153.6,4.0,2.0,514.3,4.0,2.0,519.9
5.0,4.0,104.7,5.0,4.0,433.6,5.0,4.0,333.2,5.0,3.0,166.4,4.0,3.0,580.1,4.0,3.0,475.2
5.0,6.0,124.5,5.0,6.0,473.7,5.0,6.0,285.4,5.0,6.0,80.9,4.0,6.0,281.4,4.0,5.0,485.0
6.0,2.0,88.4,6.0,1.0,253.4,6.0,1.0,184.1,6.0,1.0,120.9,6.0,1.0,800.5,5.0,1.0,1203.0
6.0,3.0,69.3,6.0,3.0,334.0,6.0,2.0,259.9,6.0,2.0,175.1,6.0,2.0,976.7,5.0,2.0,1373.0
6.0,4.0,90.5,6.0,4.0,266.6,6.0,4.0,193.9,6.0,3.0,168.4,6.0,3.0,782.8,5.0,3.0,1114.0
6.0,5.0,169.2,6.0,5.0,644.2,6.0,5.0,382.6,6.0,5.0,127.2,6.0,4.0,413.0,5.0,4.0,551.6
