1,早川 尚人,早川 尚人.1,2,若林 将,若林 将.1,3,吉田 宗弘,吉田 宗弘.1,4,吉武 真也,吉武 真也.1,5,赤坂 俊輔,赤坂 俊輔.1,6,井手 良太,井手 良太.1
2.0,3.0,22.4,1.0,3.0,17.1,1.0,2.0,128.8,1.0,2.0,151.7,1.0,2.0,46.1,1.0,2.0,568.7
2.0,4.0,37.4,1.0,4.0,21.3,1.0,4.0,408.8,1.0,3.0,565.6,1.0,3.0,192.4,1.0,3.0,1226.0
2.0,5.0,15.8,1.0,5.0,9.3,1.0,5.0,217.0,1.0,5.0,200.4,1.0,4.0,174.3,1.0,4.0,1339.0
2.0,6.0,65.0,1.0,6.0,46.7,1.0,6.0,530.2,1.0,6.0,352.2,1.0,6.0,157.3,1.0,5.0,855.5
3.0,2.0,46.4,3.0,1.0,40.7,2.0,1.0,112.3,2.0,1.0,121.0,2.0,1.0,42.0,2.0,1.0,609.6
3.0,4.0,116.7,3.0,4.0,66.3,2.0,4.0,164.7,2.0,3.0,272.9,2.0,3.0,91.3,2.0,3.0,925.5
3.0,5.0,75.9,3.0,5.0,30.0,2.0,5.0,77.2,2.0,5.0,59.1,2.0,4.0,61.7,2.0,4.0,697.3
3.0,6.0,205.6,3.0,6.0,104.7,2.0,6.0,280.4,2.0,6.0,104.9,2.0,6.0,55.6,2.0,5.0,312.3
4.0,2.0,94.1,4.0,1.0,40.8,4.0,1.0,934.0,3.0,1.0,917.2,3.0,1.0,446.5,3.0,1.0,1497.0
4.0,3.0,195.4,4.0,3.0,61.0,4.0,2.0,514.2,3.0,2.0,571.9,3.0,2.0,214.7,3.0,2.0,1049.0
4.0,5.0,128.8,4.0,5.0,19.3,4.0,5.0,722.0,3.0,5.0,743.1,3.0,4.0,559.4,3.0,4.0,1725.0
4.0,6.0,262.4,4.0,6.0,49.9,4.0,6.0,789.2,3.0,6.0,644.3,3.0,6.0,473.5,3.0,5.0,1339.0
5.0,2.0,33.8,5.0,1.0,13.8,5.0,1.0,299.4,5.0,1.0,156.6,4.0,1.0,203.2,4.0,1.0,1755.0
5.0,3.0,110.3,5.0,3.0,25.9,5.0,2.0,158.8,5.0,2.0,72.0,4.0,2.0,92.1,4.0,2.0,801.6
5.0,4.0,119.9,5.0,4.0,16.1,5.0,4.0,527.5,5.0,3.0,371.5,4.0,3.0,504.0,4.0,3.0,2483.0
5.0,6.0,147.1,5.0,6.0,19.9,5.0,6.0,450.4,5.0,6.0,105.0,4.0,6.0,143.6,4.0,5.0,808.0
6.0,2.0,314.2,6.0,1.0,175.8,6.0,1.0,909.0,6.0,1.0,632.3,6.0,1.0,275.1,5.0,1.0,841.4
6.0,3.0,538.6,6.0,3.0,203.6,6.0,2.0,514.2,6.0,2.0,244.7,6.0,2.0,121.9,5.0,2.0,329.4
6.0,4.0,541.5,6.0,4.0,132.7,6.0,4.0,960.4,6.0,3.0,748.6,6.0,3.0,538.6,5.0,3.0,1454.0
6.0,5.0,347.4,6.0,5.0,75.9,6.0,5.0,636.3,6.0,5.0,250.1,6.0,4.0,263.0,5.0,4.0,716.9
