1,犬童 千秋,犬童 千秋.1,2,松尾 夏海,松尾 夏海.1,3,岸 恵子,岸 恵子.1,4,新田 芳美,新田 芳美.1,5,山下 友貴,山下 友貴.1,6,井上 未都,井上 未都.1
2.0,3.0,6.7,1.0,3.0,8.4,1.0,2.0,32.9,1.0,2.0,115.1,1.0,2.0,188.4,1.0,2.0,506.1
2.0,4.0,13.0,1.0,4.0,14.4,1.0,4.0,54.5,1.0,3.0,177.3,1.0,3.0,239.2,1.0,3.0,666.8
2.0,5.0,19.5,1.0,5.0,20.5,1.0,5.0,69.2,1.0,5.0,229.9,1.0,4.0,460.5,1.0,4.0,1257.0
2.0,6.0,71.3,1.0,6.0,65.4,1.0,6.0,155.7,1.0,6.0,388.2,1.0,6.0,733.8,1.0,5.0,1357.0
3.0,2.0,10.9,3.0,1.0,21.8,2.0,1.0,38.7,2.0,1.0,145.9,2.0,1.0,279.8,2.0,1.0,572.2
3.0,4.0,20.4,3.0,4.0,37.8,2.0,4.0,60.0,2.0,3.0,202.0,2.0,3.0,277.8,2.0,3.0,568.0
3.0,5.0,31.5,3.0,5.0,51.1,2.0,5.0,80.4,2.0,5.0,340.8,2.0,4.0,693.9,2.0,4.0,1111.0
3.0,6.0,98.9,3.0,6.0,137.3,2.0,6.0,176.9,2.0,6.0,394.2,2.0,6.0,902.1,2.0,5.0,1597.0
4.0,2.0,34.0,4.0,1.0,55.6,4.0,1.0,98.0,3.0,1.0,234.1,3.0,1.0,373.1,3.0,1.0,886.5
4.0,3.0,44.1,4.0,3.0,74.2,4.0,2.0,93.7,3.0,2.0,206.1,3.0,2.0,316.2,3.0,2.0,759.2
4.0,5.0,71.2,4.0,5.0,115.4,4.0,5.0,172.9,3.0,5.0,448.4,3.0,4.0,751.8,3.0,4.0,1072.0
4.0,6.0,197.3,4.0,6.0,253.5,4.0,6.0,268.6,3.0,6.0,518.1,3.0,6.0,1267.0,3.0,5.0,1804.0
5.0,2.0,59.4,5.0,1.0,94.4,5.0,1.0,164.3,5.0,1.0,432.0,4.0,1.0,798.8,4.0,1.0,2018.0
5.0,3.0,76.7,5.0,3.0,116.6,5.0,2.0,157.3,5.0,2.0,451.0,4.0,2.0,847.3,4.0,2.0,1804.0
5.0,4.0,130.1,5.0,4.0,190.2,5.0,4.0,236.6,5.0,3.0,658.2,4.0,3.0,940.9,4.0,3.0,1489.0
5.0,6.0,325.6,5.0,6.0,426.0,5.0,6.0,527.0,5.0,6.0,1050.0,4.0,6.0,1631.0,4.0,5.0,3651.0
6.0,2.0,221.3,6.0,1.0,232.7,6.0,1.0,428.4,6.0,1.0,751.8,6.0,1.0,1549.0,5.0,1.0,1804.0
6.0,3.0,293.2,6.0,3.0,296.0,6.0,2.0,390.2,6.0,2.0,633.7,6.0,2.0,1533.0,5.0,2.0,2840.0
6.0,4.0,375.9,6.0,4.0,467.5,6.0,4.0,530.7,6.0,3.0,710.0,6.0,3.0,2191.0,5.0,3.0,3263.0
6.0,5.0,574.4,6.0,5.0,723.4,6.0,5.0,748.1,6.0,5.0,1357.0,6.0,4.0,2644.0,5.0,4.0,4036.0
