1,片岡 恵里,片岡 恵里.1,2,三松 直美,三松 直美.1,3,津田 裕絵,津田 裕絵.1,4,松瀬 弘美,松瀬 弘美.1,5,新田 芳美,新田 芳美.1,6,宇野 弥生,宇野 弥生.1
2.0,3.0,53.1,1.0,3.0,197.7,1.0,2.0,65.6,1.0,2.0,325.5,1.0,2.0,741.3,1.0,2.0,130.3
2.0,4.0,87.5,1.0,4.0,371.9,1.0,4.0,21.1,1.0,3.0,85.9,1.0,3.0,346.2,1.0,3.0,44.9
2.0,5.0,129.2,1.0,5.0,514.5,1.0,5.0,50.7,1.0,5.0,162.8,1.0,4.0,510.6,1.0,4.0,78.1
2.0,6.0,86.5,1.0,6.0,296.9,1.0,6.0,14.0,1.0,6.0,75.3,1.0,6.0,343.0,1.0,5.0,173.1
3.0,2.0,29.0,3.0,1.0,267.2,2.0,1.0,148.7,2.0,1.0,605.8,2.0,1.0,1358.0,2.0,1.0,270.0
3.0,4.0,8.5,3.0,4.0,530.2,2.0,4.0,258.0,2.0,3.0,726.7,2.0,3.0,1428.0,2.0,3.0,265.1
3.0,5.0,22.4,3.0,5.0,660.1,2.0,5.0,279.8,2.0,5.0,770.6,2.0,4.0,1673.0,2.0,4.0,474.0
3.0,6.0,8.6,3.0,6.0,350.6,2.0,6.0,170.6,2.0,6.0,523.5,2.0,6.0,1320.0,2.0,5.0,633.6
4.0,2.0,88.5,4.0,1.0,772.4,4.0,1.0,44.4,3.0,1.0,105.2,3.0,1.0,452.7,3.0,1.0,48.9
4.0,3.0,18.0,4.0,3.0,760.0,4.0,2.0,183.0,3.0,2.0,466.0,3.0,2.0,1112.0,3.0,2.0,170.5
4.0,5.0,58.9,4.0,5.0,1179.0,4.0,5.0,86.8,3.0,5.0,199.0,3.0,4.0,733.1,3.0,4.0,71.2
4.0,6.0,25.2,4.0,6.0,620.5,4.0,6.0,31.7,3.0,6.0,81.8,3.0,6.0,458.9,3.0,5.0,161.9
5.0,2.0,222.2,5.0,1.0,1123.0,5.0,1.0,160.7,5.0,1.0,221.9,4.0,1.0,611.4,4.0,1.0,136.4
5.0,3.0,70.1,5.0,3.0,1255.0,5.0,2.0,382.6,5.0,2.0,608.0,4.0,2.0,1231.0,4.0,2.0,407.6
5.0,4.0,108.4,5.0,4.0,1486.0,5.0,4.0,181.6,5.0,3.0,341.2,4.0,3.0,760.0,4.0,3.0,112.2
5.0,6.0,98.1,5.0,6.0,1138.0,5.0,6.0,104.7,5.0,6.0,166.5,4.0,6.0,423.2,4.0,5.0,290.9
6.0,2.0,87.2,6.0,1.0,551.3,6.0,1.0,21.7,6.0,1.0,81.2,6.0,1.0,490.2,5.0,1.0,405.1
6.0,3.0,18.8,6.0,3.0,487.3,6.0,2.0,105.2,6.0,2.0,288.6,6.0,2.0,1162.0,5.0,2.0,890.8
6.0,4.0,30.9,6.0,4.0,715.7,6.0,4.0,27.5,6.0,3.0,85.8,6.0,3.0,509.8,5.0,3.0,375.7
6.0,5.0,77.3,6.0,5.0,995.1,6.0,5.0,62.9,6.0,5.0,129.4,6.0,4.0,550.4,5.0,4.0,459.6
