1,若林 将,若林 将.1,2,吉田 宗弘,吉田 宗弘.1,3,佐々木　完太,佐々木　完太.1,4,濱崎 直矢,濱崎 直矢.1,5,山本 浩輔,山本 浩輔.1,6,庄司 孝輔,庄司 孝輔.1
2.0,3.0,21.0,1.0,3.0,130.8,1.0,2.0,32.7,1.0,2.0,113.4,1.0,2.0,624.3,1.0,2.0,555.5
2.0,4.0,37.8,1.0,4.0,190.2,1.0,4.0,9.9,1.0,3.0,45.1,1.0,3.0,429.1,1.0,3.0,268.8
2.0,5.0,106.7,1.0,5.0,425.1,1.0,5.0,43.6,1.0,5.0,131.1,1.0,4.0,641.7,1.0,4.0,442.0
2.0,6.0,75.8,1.0,6.0,406.8,1.0,6.0,20.7,1.0,6.0,76.6,1.0,6.0,747.4,1.0,5.0,892.5
3.0,2.0,12.0,3.0,1.0,190.5,2.0,1.0,100.3,2.0,1.0,248.4,2.0,1.0,1069.0,2.0,1.0,960.1
3.0,4.0,4.9,3.0,4.0,371.8,2.0,4.0,138.8,2.0,3.0,333.1,2.0,3.0,1679.0,2.0,3.0,1124.0
3.0,5.0,28.0,3.0,5.0,833.9,2.0,5.0,337.0,2.0,5.0,648.5,2.0,4.0,1876.0,2.0,4.0,1178.0
3.0,6.0,13.8,3.0,6.0,529.1,2.0,6.0,228.9,2.0,6.0,409.9,2.0,6.0,1935.0,2.0,5.0,1977.0
4.0,2.0,30.3,4.0,1.0,328.6,4.0,1.0,20.0,3.0,1.0,51.7,3.0,1.0,493.6,3.0,1.0,332.8
4.0,3.0,12.0,4.0,3.0,483.2,4.0,2.0,71.4,3.0,2.0,166.8,3.0,2.0,1465.0,3.0,2.0,845.4
4.0,5.0,61.2,4.0,5.0,1263.0,4.0,5.0,66.5,3.0,5.0,161.0,3.0,4.0,802.9,3.0,4.0,335.8
4.0,6.0,30.5,4.0,6.0,696.4,4.0,6.0,31.3,3.0,6.0,80.2,3.0,6.0,1138.0,3.0,5.0,1104.0
5.0,2.0,167.6,5.0,1.0,875.5,5.0,1.0,135.8,5.0,1.0,235.4,4.0,1.0,762.9,4.0,1.0,662.6
5.0,3.0,105.4,5.0,3.0,1585.0,5.0,2.0,393.3,5.0,2.0,546.4,4.0,2.0,1605.0,4.0,2.0,985.9
5.0,4.0,159.8,5.0,4.0,1895.0,5.0,4.0,218.1,5.0,3.0,334.3,4.0,3.0,980.6,4.0,3.0,400.5
5.0,6.0,221.9,5.0,6.0,1671.0,5.0,6.0,228.1,5.0,6.0,304.4,4.0,6.0,1091.0,4.0,5.0,1357.0
6.0,2.0,153.8,6.0,1.0,1088.0,6.0,1.0,71.6,6.0,1.0,163.2,6.0,1.0,1342.0,5.0,1.0,1471.0
6.0,3.0,65.2,6.0,3.0,1197.0,6.0,2.0,259.8,6.0,2.0,383.0,6.0,2.0,2125.0,5.0,2.0,2138.0
6.0,4.0,98.4,6.0,4.0,1234.0,6.0,4.0,91.0,6.0,3.0,158.9,6.0,3.0,1571.0,5.0,3.0,1656.0
6.0,5.0,222.8,6.0,5.0,2403.0,6.0,5.0,247.4,6.0,5.0,343.0,6.0,4.0,1519.0,5.0,4.0,1620.0
