1,大峯 豊,大峯 豊.1,2,杉山 正樹,杉山 正樹.1,3,木山 和幸,木山 和幸.1,4,中野 希一,中野 希一.1,5,井手 良太,井手 良太.1,6,山田 丈,山田 丈.1
2.0,3.0,5.1,1.0,3.0,36.6,1.0,2.0,76.7,1.0,2.0,602.1,1.0,2.0,84.0,1.0,2.0,60.1
2.0,4.0,40.7,1.0,4.0,133.3,1.0,4.0,242.7,1.0,3.0,1022.0,1.0,3.0,162.8,1.0,3.0,84.2
2.0,5.0,10.3,1.0,5.0,56.2,1.0,5.0,102.7,1.0,5.0,1237.0,1.0,4.0,351.5,1.0,4.0,220.1
2.0,6.0,7.1,1.0,6.0,41.3,1.0,6.0,77.6,1.0,6.0,808.7,1.0,6.0,82.5,1.0,5.0,97.5
3.0,2.0,12.9,3.0,1.0,100.0,2.0,1.0,131.6,2.0,1.0,908.1,2.0,1.0,144.5,2.0,1.0,115.5
3.0,4.0,78.7,3.0,4.0,424.5,2.0,4.0,434.4,2.0,3.0,1836.0,2.0,3.0,290.2,2.0,3.0,220.5
3.0,5.0,24.1,3.0,5.0,206.4,2.0,5.0,231.4,2.0,5.0,1867.0,2.0,4.0,654.3,2.0,4.0,454.0
3.0,6.0,18.9,3.0,6.0,145.8,2.0,6.0,190.6,2.0,6.0,1158.0,2.0,6.0,169.4,2.0,5.0,222.1
4.0,2.0,125.4,4.0,1.0,478.9,4.0,1.0,701.2,3.0,1.0,1448.0,3.0,1.0,300.5,3.0,1.0,158.3
4.0,3.0,175.3,4.0,3.0,864.4,4.0,2.0,1306.0,3.0,2.0,2186.0,3.0,2.0,481.0,3.0,2.0,254.5
4.0,5.0,249.6,4.0,5.0,1056.0,4.0,5.0,1244.0,3.0,5.0,2117.0,3.0,4.0,1160.0,3.0,4.0,671.4
4.0,6.0,164.6,4.0,6.0,681.8,4.0,6.0,970.4,3.0,6.0,1249.0,3.0,6.0,377.2,3.0,5.0,293.4
5.0,2.0,24.8,5.0,1.0,178.7,5.0,1.0,215.8,5.0,1.0,1535.0,4.0,1.0,863.3,4.0,1.0,567.2
5.0,3.0,39.6,5.0,3.0,306.3,5.0,2.0,341.9,5.0,2.0,2223.0,4.0,2.0,1176.0,4.0,2.0,850.0
5.0,4.0,155.4,5.0,4.0,758.0,5.0,4.0,909.4,5.0,3.0,2357.0,4.0,3.0,1617.0,4.0,3.0,964.8
5.0,6.0,37.4,5.0,6.0,209.4,5.0,6.0,273.1,5.0,6.0,1740.0,4.0,6.0,937.6,4.0,5.0,942.9
6.0,2.0,16.1,6.0,1.0,130.6,6.0,1.0,141.4,6.0,1.0,1204.0,6.0,1.0,96.4,5.0,1.0,139.6
6.0,3.0,26.6,6.0,3.0,214.7,6.0,2.0,215.5,6.0,2.0,1637.0,6.0,2.0,133.3,5.0,2.0,185.0
6.0,4.0,93.8,6.0,4.0,552.1,6.0,4.0,566.2,6.0,3.0,1653.0,6.0,3.0,269.2,5.0,3.0,329.2
6.0,5.0,38.9,6.0,5.0,257.7,6.0,5.0,238.9,6.0,5.0,1851.0,6.0,4.0,374.5,5.0,4.0,469.4
