1,山本 浩輔,山本 浩輔.1,2,牧 宏次,牧 宏次.1,3,木山 和幸,木山 和幸.1,4,松田 竜馬,松田 竜馬.1,5,森野 正弘,森野 正弘.1,6,杉山 正樹,杉山 正樹.1
2.0,3.0,42.7,1.0,3.0,86.8,1.0,2.0,146.5,1.0,2.0,96.5,1.0,2.0,85.9,1.0,2.0,417.2
2.0,4.0,38.8,1.0,4.0,59.6,1.0,4.0,114.2,1.0,3.0,175.8,1.0,3.0,84.8,1.0,3.0,443.5
2.0,5.0,32.2,1.0,5.0,51.9,1.0,5.0,71.7,1.0,5.0,57.3,1.0,4.0,65.0,1.0,4.0,523.8
2.0,6.0,49.3,1.0,6.0,73.6,1.0,6.0,128.0,1.0,6.0,94.9,1.0,6.0,68.4,1.0,5.0,316.6
3.0,2.0,47.7,3.0,1.0,140.6,2.0,1.0,196.5,2.0,1.0,143.5,2.0,1.0,141.0,2.0,1.0,492.3
3.0,4.0,40.9,3.0,4.0,119.2,2.0,4.0,136.3,2.0,3.0,185.8,2.0,3.0,148.9,2.0,3.0,556.3
3.0,5.0,31.5,3.0,5.0,90.4,2.0,5.0,114.7,2.0,5.0,57.2,2.0,4.0,65.6,2.0,4.0,482.7
3.0,6.0,58.3,3.0,6.0,148.0,2.0,6.0,165.7,2.0,6.0,75.3,2.0,6.0,61.3,2.0,5.0,312.6
4.0,2.0,55.2,4.0,1.0,97.9,4.0,1.0,177.4,3.0,1.0,277.4,3.0,1.0,110.4,3.0,1.0,562.7
4.0,3.0,71.2,4.0,3.0,138.5,4.0,2.0,149.2,3.0,2.0,224.8,3.0,2.0,166.9,3.0,2.0,607.8
4.0,5.0,29.9,4.0,5.0,66.4,4.0,5.0,72.9,3.0,5.0,121.5,3.0,4.0,134.3,3.0,4.0,556.3
4.0,6.0,59.0,4.0,6.0,104.3,4.0,6.0,125.2,3.0,6.0,160.9,3.0,6.0,104.6,3.0,5.0,262.6
5.0,2.0,48.0,5.0,1.0,99.3,5.0,1.0,90.5,5.0,1.0,51.1,4.0,1.0,70.6,4.0,1.0,572.5
5.0,3.0,45.6,5.0,3.0,106.0,5.0,2.0,102.1,5.0,2.0,42.6,4.0,2.0,80.0,4.0,2.0,433.8
5.0,4.0,38.2,5.0,4.0,52.6,5.0,4.0,75.5,5.0,3.0,83.0,4.0,3.0,98.9,4.0,3.0,604.1
5.0,6.0,48.2,5.0,6.0,57.9,5.0,6.0,62.1,5.0,6.0,23.4,4.0,6.0,39.3,4.0,5.0,143.7
6.0,2.0,187.5,6.0,1.0,331.5,6.0,1.0,307.7,6.0,1.0,174.6,6.0,1.0,99.0,5.0,1.0,274.3
6.0,3.0,212.6,6.0,3.0,322.8,6.0,2.0,279.7,6.0,2.0,97.1,6.0,2.0,62.6,5.0,2.0,247.4
6.0,4.0,162.7,6.0,4.0,255.7,6.0,4.0,254.4,6.0,3.0,220.3,6.0,3.0,90.5,5.0,3.0,202.2
6.0,5.0,115.8,6.0,5.0,172.1,6.0,5.0,129.4,6.0,5.0,46.6,6.0,4.0,38.8,5.0,4.0,118.3
