1,山田 丈,山田 丈.1,2,川上 昇平,川上 昇平.1,3,北野 輝季,北野 輝季.1,4,濱崎 直矢,濱崎 直矢.1,5,吉田 宗弘,吉田 宗弘.1,6,中野 希一,中野 希一.1
2.0,3.0,22.2,1.0,3.0,103.1,1.0,2.0,35.7,1.0,2.0,100.7,1.0,2.0,712.9,1.0,2.0,1901.0
2.0,4.0,28.9,1.0,4.0,121.5,1.0,4.0,10.2,1.0,3.0,41.6,1.0,3.0,338.3,1.0,3.0,865.6
2.0,5.0,96.0,1.0,5.0,322.9,1.0,5.0,33.1,1.0,5.0,93.4,1.0,4.0,505.4,1.0,4.0,1513.0
2.0,6.0,167.5,1.0,6.0,627.5,1.0,6.0,64.4,1.0,6.0,175.1,1.0,6.0,1030.0,1.0,5.0,2187.0
3.0,2.0,10.7,3.0,1.0,161.6,2.0,1.0,97.6,2.0,1.0,201.9,2.0,1.0,1097.0,2.0,1.0,2314.0
3.0,4.0,4.3,3.0,4.0,193.3,2.0,4.0,102.0,2.0,3.0,208.2,2.0,3.0,1043.0,2.0,3.0,2535.0
3.0,5.0,17.9,3.0,5.0,453.0,2.0,5.0,217.2,2.0,5.0,323.9,2.0,4.0,1079.0,2.0,4.0,1432.0
3.0,6.0,39.8,3.0,6.0,658.6,2.0,6.0,395.8,2.0,6.0,521.0,2.0,6.0,2218.0,2.0,5.0,3671.0
4.0,2.0,20.3,4.0,1.0,241.2,4.0,1.0,17.7,3.0,1.0,43.0,3.0,1.0,436.9,3.0,1.0,915.2
4.0,3.0,9.1,4.0,3.0,241.4,4.0,2.0,56.4,3.0,2.0,121.2,3.0,2.0,998.1,3.0,2.0,2575.0
4.0,5.0,33.5,4.0,5.0,499.8,4.0,5.0,32.7,3.0,5.0,66.1,3.0,4.0,389.5,3.0,4.0,1010.0
4.0,6.0,63.7,4.0,6.0,604.9,4.0,6.0,69.3,3.0,6.0,139.6,3.0,6.0,1336.0,3.0,5.0,2383.0
5.0,2.0,168.0,5.0,1.0,925.8,5.0,1.0,114.7,5.0,1.0,173.2,4.0,1.0,541.3,4.0,1.0,1347.0
5.0,3.0,79.7,5.0,3.0,1004.0,5.0,2.0,280.6,5.0,2.0,328.6,4.0,2.0,851.7,4.0,2.0,1581.0
5.0,4.0,103.3,5.0,4.0,1071.0,5.0,4.0,114.4,5.0,3.0,163.1,4.0,3.0,380.7,4.0,3.0,1319.0
5.0,6.0,294.9,5.0,6.0,2074.0,5.0,6.0,361.7,5.0,6.0,361.7,4.0,6.0,1064.0,4.0,5.0,2060.0
6.0,2.0,464.2,6.0,1.0,2438.0,6.0,1.0,299.6,6.0,1.0,497.5,6.0,1.0,1983.0,5.0,1.0,2618.0
6.0,3.0,231.1,6.0,3.0,1867.0,6.0,2.0,769.6,6.0,2.0,756.9,6.0,2.0,2851.0,5.0,2.0,4043.0
6.0,4.0,295.4,6.0,4.0,1388.0,6.0,4.0,288.2,6.0,3.0,497.5,6.0,3.0,1935.0,5.0,3.0,2957.0
6.0,5.0,459.6,6.0,5.0,2801.0,6.0,5.0,518.5,6.0,5.0,641.4,6.0,4.0,1835.0,5.0,4.0,2495.0
