1,岡崎 恭裕,岡崎 恭裕.1,2,牧 宏次,牧 宏次.1,3,吉田 宗弘,吉田 宗弘.1,4,山田 丈,山田 丈.1,5,北野 輝季,北野 輝季.1,6,山本 浩輔,山本 浩輔.1
2.0,3.0,15.1,1.0,3.0,226.0,1.0,2.0,374.0,1.0,2.0,62.7,1.0,2.0,69.5,1.0,2.0,1774.0
2.0,4.0,8.1,1.0,4.0,169.8,1.0,4.0,422.4,1.0,3.0,180.6,1.0,3.0,160.6,1.0,3.0,2822.0
2.0,5.0,8.2,1.0,5.0,131.9,1.0,5.0,357.5,1.0,5.0,30.0,1.0,4.0,52.3,1.0,4.0,1693.0
2.0,6.0,87.1,1.0,6.0,571.4,1.0,6.0,996.2,1.0,6.0,131.5,1.0,6.0,147.5,1.0,5.0,1663.0
3.0,2.0,23.8,3.0,1.0,526.2,2.0,1.0,606.8,2.0,1.0,180.8,2.0,1.0,174.4,2.0,1.0,2244.0
3.0,4.0,20.6,3.0,4.0,1046.0,2.0,4.0,782.7,2.0,3.0,724.8,2.0,3.0,827.9,2.0,3.0,3963.0
3.0,5.0,24.1,3.0,5.0,1070.0,2.0,5.0,955.3,2.0,5.0,229.7,2.0,4.0,356.8,2.0,4.0,2739.0
3.0,6.0,106.2,3.0,6.0,1709.0,2.0,6.0,1648.0,2.0,6.0,538.4,2.0,6.0,642.4,2.0,5.0,3268.0
4.0,2.0,8.9,4.0,1.0,361.7,4.0,1.0,827.9,3.0,1.0,633.6,3.0,1.0,533.8,3.0,1.0,3449.0
4.0,3.0,20.0,4.0,3.0,1379.0,4.0,2.0,1284.0,3.0,2.0,1225.0,3.0,2.0,1225.0,3.0,2.0,4776.0
4.0,5.0,7.1,4.0,5.0,602.9,4.0,5.0,1340.0,3.0,5.0,899.9,3.0,4.0,1276.0,3.0,4.0,3104.0
4.0,6.0,53.9,4.0,6.0,2299.0,4.0,6.0,2517.0,3.0,6.0,1164.0,3.0,6.0,1791.0,3.0,5.0,5821.0
5.0,2.0,11.5,5.0,1.0,257.6,5.0,1.0,644.6,5.0,1.0,39.7,4.0,1.0,67.4,4.0,1.0,1900.0
5.0,3.0,22.9,5.0,3.0,996.2,5.0,2.0,1514.0,5.0,2.0,109.5,4.0,2.0,181.9,4.0,2.0,2910.0
5.0,4.0,10.8,5.0,4.0,604.8,5.0,4.0,1330.0,5.0,3.0,329.1,4.0,3.0,536.8,4.0,3.0,4049.0
5.0,6.0,48.3,5.0,6.0,1040.0,5.0,6.0,2358.0,5.0,6.0,114.9,4.0,6.0,195.6,4.0,5.0,2141.0
6.0,2.0,307.4,6.0,1.0,1844.0,6.0,1.0,2587.0,6.0,1.0,445.6,6.0,1.0,502.1,5.0,1.0,2024.0
6.0,3.0,401.5,6.0,3.0,3157.0,6.0,2.0,4435.0,6.0,2.0,824.3,6.0,2.0,1012.0,5.0,2.0,3387.0
6.0,4.0,255.2,6.0,4.0,2661.0,6.0,4.0,3652.0,6.0,3.0,1379.0,6.0,3.0,2328.0,5.0,3.0,4902.0
6.0,5.0,257.6,6.0,5.0,2419.0,6.0,5.0,4543.0,6.0,5.0,476.4,6.0,4.0,672.5,5.0,4.0,2003.0
