1,大瀧　明日香,大瀧　明日香.1,2,藤田 美代,藤田 美代.1,3,伊藤 玲奈,伊藤 玲奈.1,4,宇野 弥生,宇野 弥生.1,5,福島 陽子,福島 陽子.1,6,小池 礼乃,小池 礼乃.1
2.0,3.0,20.1,1.0,3.0,99.8,1.0,2.0,293.4,1.0,2.0,18.5,1.0,2.0,612.8,1.0,2.0,498.6
2.0,4.0,8.1,1.0,4.0,38.2,1.0,4.0,176.3,1.0,3.0,29.2,1.0,3.0,1006.0,1.0,3.0,783.6
2.0,5.0,42.0,1.0,5.0,164.4,1.0,5.0,505.9,1.0,5.0,21.3,1.0,4.0,387.7,1.0,4.0,291.1
2.0,6.0,41.0,1.0,6.0,137.0,1.0,6.0,469.0,1.0,6.0,19.8,1.0,6.0,620.4,1.0,5.0,840.7
3.0,2.0,31.1,3.0,1.0,251.5,2.0,1.0,432.5,2.0,1.0,44.6,2.0,1.0,1225.0,2.0,1.0,779.5
3.0,4.0,17.5,3.0,4.0,289.8,2.0,4.0,515.2,2.0,3.0,141.4,2.0,3.0,2194.0,2.0,3.0,1806.0
3.0,5.0,64.5,3.0,5.0,754.7,2.0,5.0,1249.0,2.0,5.0,108.8,2.0,4.0,1259.0,2.0,4.0,758.5
3.0,6.0,64.5,3.0,6.0,650.0,2.0,6.0,1193.0,2.0,6.0,97.5,2.0,6.0,1556.0,2.0,5.0,1835.0
4.0,2.0,7.0,4.0,1.0,71.4,4.0,1.0,260.0,3.0,1.0,103.1,3.0,1.0,1678.0,3.0,1.0,1703.0
4.0,3.0,11.3,4.0,3.0,213.2,4.0,2.0,617.8,3.0,2.0,243.1,3.0,2.0,3190.0,3.0,2.0,2661.0
4.0,5.0,13.7,4.0,5.0,241.3,4.0,5.0,733.7,3.0,5.0,288.3,3.0,4.0,2260.0,3.0,4.0,1914.0
4.0,6.0,14.2,4.0,6.0,192.9,4.0,6.0,716.2,3.0,6.0,229.8,3.0,6.0,3460.0,3.0,5.0,3598.0
5.0,2.0,117.7,5.0,1.0,602.1,5.0,1.0,1058.0,5.0,1.0,40.0,4.0,1.0,344.1,4.0,1.0,298.0
5.0,3.0,178.0,5.0,3.0,1212.0,5.0,2.0,2330.0,5.0,2.0,88.1,4.0,2.0,696.3,4.0,2.0,603.7
5.0,4.0,71.0,5.0,4.0,668.3,5.0,4.0,1504.0,5.0,3.0,203.9,4.0,3.0,1267.0,4.0,3.0,1068.0
5.0,6.0,130.8,5.0,6.0,887.2,5.0,6.0,2498.0,5.0,6.0,57.8,4.0,6.0,471.5,4.0,5.0,711.7
6.0,2.0,95.0,6.0,1.0,484.7,6.0,1.0,1130.0,6.0,1.0,43.7,6.0,1.0,1091.0,5.0,1.0,1514.0
6.0,3.0,140.8,6.0,3.0,1013.0,6.0,2.0,1889.0,6.0,2.0,94.2,6.0,2.0,1509.0,5.0,2.0,2271.0
6.0,4.0,56.7,6.0,4.0,456.2,6.0,4.0,1222.0,6.0,3.0,165.7,6.0,3.0,2661.0,5.0,3.0,2978.0
6.0,5.0,166.7,6.0,5.0,1015.0,6.0,5.0,2585.0,6.0,5.0,77.9,6.0,4.0,908.7,5.0,4.0,1326.0
