1,庄司 孝輔,庄司 孝輔.1,2,若林 将,若林 将.1,3,赤坂 俊輔,赤坂 俊輔.1,4,牧 宏次,牧 宏次.1,5,吉武 真也,吉武 真也.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,8.5,1.0,3.0,20.9,1.0,2.0,27.5,1.0,2.0,274.9,1.0,2.0,243.9,1.0,2.0,163.0
2.0,4.0,36.0,1.0,4.0,68.0,1.0,4.0,57.7,1.0,3.0,273.4,1.0,3.0,213.9,1.0,3.0,166.0
2.0,5.0,46.2,1.0,5.0,79.4,1.0,5.0,51.6,1.0,5.0,379.4,1.0,4.0,490.7,1.0,4.0,419.6
2.0,6.0,20.5,1.0,6.0,39.2,1.0,6.0,34.8,1.0,6.0,266.1,1.0,6.0,213.7,1.0,5.0,398.1
3.0,2.0,9.3,3.0,1.0,33.1,2.0,1.0,39.5,2.0,1.0,367.6,2.0,1.0,328.7,2.0,1.0,188.4
3.0,4.0,23.2,3.0,4.0,67.8,2.0,4.0,72.7,2.0,3.0,275.8,2.0,3.0,322.7,2.0,3.0,125.9
3.0,5.0,28.2,3.0,5.0,79.7,2.0,5.0,77.2,2.0,5.0,550.4,2.0,4.0,644.5,2.0,4.0,345.9
3.0,6.0,16.9,3.0,6.0,29.6,2.0,6.0,34.8,2.0,6.0,281.5,2.0,6.0,293.9,2.0,5.0,444.7
4.0,2.0,83.7,4.0,1.0,198.0,4.0,1.0,128.1,3.0,1.0,334.0,3.0,1.0,272.3,3.0,1.0,206.1
4.0,3.0,76.2,4.0,3.0,160.2,4.0,2.0,130.0,3.0,2.0,284.4,3.0,2.0,298.0,3.0,2.0,139.1
4.0,5.0,136.0,4.0,5.0,326.0,4.0,5.0,138.2,3.0,5.0,382.4,3.0,4.0,436.6,3.0,4.0,354.5
4.0,6.0,110.7,4.0,6.0,183.1,4.0,6.0,98.8,3.0,6.0,269.5,3.0,6.0,255.5,3.0,5.0,382.7
5.0,2.0,95.9,5.0,1.0,218.2,5.0,1.0,114.6,5.0,1.0,468.0,4.0,1.0,685.4,4.0,1.0,627.5
5.0,3.0,79.7,5.0,3.0,207.0,5.0,2.0,121.7,5.0,2.0,527.8,4.0,2.0,699.6,4.0,2.0,473.1
5.0,4.0,162.7,5.0,4.0,422.2,5.0,4.0,148.4,5.0,3.0,475.9,4.0,3.0,577.1,4.0,3.0,462.9
5.0,6.0,103.2,5.0,6.0,232.8,5.0,6.0,91.5,5.0,6.0,329.4,4.0,6.0,484.7,4.0,5.0,713.2
6.0,2.0,51.3,6.0,1.0,104.4,6.0,1.0,81.2,6.0,1.0,400.1,6.0,1.0,287.7,5.0,1.0,451.5
6.0,3.0,50.1,6.0,3.0,65.1,6.0,2.0,66.2,6.0,2.0,323.3,6.0,2.0,294.5,5.0,2.0,494.8
6.0,4.0,146.4,6.0,4.0,187.1,6.0,4.0,138.7,6.0,3.0,312.5,6.0,3.0,278.7,5.0,3.0,402.2
6.0,5.0,139.5,6.0,5.0,219.4,6.0,5.0,132.3,6.0,5.0,392.9,6.0,4.0,434.6,5.0,4.0,632.5
