1,小林 遼太,小林 遼太.1,2,仲谷 颯仁,仲谷 颯仁.1,3,深川　麻奈美,深川　麻奈美.1,4,安部 慎一,安部 慎一.1,5,山田 丈,山田 丈.1,6,中島 真二,中島 真二.1
2.0,3.0,8.4,1.0,3.0,9.2,1.0,2.0,82.8,1.0,2.0,288.6,1.0,2.0,59.6,1.0,2.0,751.3
2.0,4.0,24.2,1.0,4.0,27.9,1.0,4.0,178.3,1.0,3.0,391.7,1.0,3.0,114.6,1.0,3.0,1523.0
2.0,5.0,10.2,1.0,5.0,10.6,1.0,5.0,116.4,1.0,5.0,390.3,1.0,4.0,261.1,1.0,4.0,1523.0
2.0,6.0,31.0,1.0,6.0,36.8,1.0,6.0,270.8,1.0,6.0,476.9,1.0,6.0,178.9,1.0,5.0,1290.0
3.0,2.0,21.6,3.0,1.0,24.5,2.0,1.0,76.3,2.0,1.0,315.2,2.0,1.0,59.7,2.0,1.0,783.5
3.0,4.0,68.3,3.0,4.0,51.3,2.0,4.0,129.9,2.0,3.0,357.3,2.0,3.0,80.3,2.0,3.0,1218.0
3.0,5.0,34.0,3.0,5.0,19.3,2.0,5.0,65.1,2.0,5.0,320.7,2.0,4.0,203.1,2.0,4.0,1130.0
3.0,6.0,143.5,3.0,6.0,81.9,2.0,6.0,166.7,2.0,6.0,545.7,2.0,6.0,138.6,2.0,5.0,937.5
4.0,2.0,88.7,4.0,1.0,110.1,4.0,1.0,255.7,3.0,1.0,512.6,3.0,1.0,215.5,3.0,1.0,1958.0
4.0,3.0,132.3,4.0,3.0,119.2,4.0,2.0,193.4,3.0,2.0,444.1,3.0,2.0,129.6,3.0,2.0,1424.0
4.0,5.0,131.5,4.0,5.0,94.8,4.0,5.0,217.2,3.0,5.0,491.9,3.0,4.0,383.5,3.0,4.0,1687.0
4.0,6.0,284.1,4.0,6.0,191.7,4.0,6.0,338.5,3.0,6.0,997.2,3.0,6.0,421.9,3.0,5.0,2150.0
5.0,2.0,29.9,5.0,1.0,27.7,5.0,1.0,147.0,5.0,1.0,393.1,4.0,1.0,360.8,4.0,1.0,2333.0
5.0,3.0,49.1,5.0,3.0,26.9,5.0,2.0,95.6,5.0,2.0,326.4,4.0,2.0,334.4,4.0,2.0,1462.0
5.0,4.0,121.4,5.0,4.0,78.0,5.0,4.0,223.4,5.0,3.0,430.1,4.0,3.0,417.0,4.0,3.0,2611.0
5.0,6.0,134.9,5.0,6.0,66.5,5.0,6.0,273.5,5.0,6.0,707.7,4.0,6.0,777.9,4.0,5.0,2886.0
6.0,2.0,205.4,6.0,1.0,209.3,6.0,1.0,359.6,6.0,1.0,1232.0,6.0,1.0,369.3,5.0,1.0,1246.0
6.0,3.0,331.4,6.0,3.0,198.3,6.0,2.0,294.0,6.0,2.0,899.1,6.0,2.0,313.4,5.0,2.0,929.6
6.0,4.0,457.0,6.0,4.0,358.4,6.0,4.0,442.3,6.0,3.0,1054.0,6.0,3.0,537.7,5.0,3.0,1958.0
6.0,5.0,270.1,6.0,5.0,194.4,6.0,5.0,464.8,6.0,5.0,1321.0,6.0,4.0,812.5,5.0,4.0,2551.0
