1,原田　才一郎,原田　才一郎.1,2,関 裕也,関 裕也.1,3,日高 逸子,日高 逸子.1,4,池永 太,池永 太.1,5,大場 広孝,大場 広孝.1,6,沖島 広和,沖島 広和.1
2.0,3.0,18.9,1.0,3.0,105.5,1.0,2.0,119.0,1.0,2.0,42.3,1.0,2.0,551.7,1.0,2.0,914.3
2.0,4.0,11.5,1.0,4.0,67.3,1.0,4.0,49.1,1.0,3.0,31.2,1.0,3.0,696.7,1.0,3.0,819.4
2.0,5.0,54.0,1.0,5.0,233.2,1.0,5.0,166.5,1.0,5.0,44.6,1.0,4.0,428.6,1.0,4.0,447.3
2.0,6.0,44.6,1.0,6.0,183.8,1.0,6.0,128.6,1.0,6.0,33.2,1.0,6.0,509.4,1.0,5.0,1228.0
3.0,2.0,17.6,3.0,1.0,265.8,2.0,1.0,369.2,2.0,1.0,113.6,2.0,1.0,978.3,2.0,1.0,1350.0
3.0,4.0,7.3,3.0,4.0,287.6,2.0,4.0,315.5,2.0,3.0,217.1,2.0,3.0,1517.0,2.0,3.0,2326.0
3.0,5.0,33.7,3.0,5.0,743.7,2.0,5.0,737.2,2.0,5.0,242.7,2.0,4.0,1424.0,2.0,4.0,1070.0
3.0,6.0,32.9,3.0,6.0,631.5,2.0,6.0,580.7,2.0,6.0,163.4,2.0,6.0,1405.0,2.0,5.0,2392.0
4.0,2.0,8.4,4.0,1.0,135.9,4.0,1.0,74.8,3.0,1.0,67.5,3.0,1.0,1093.0,3.0,1.0,1041.0
4.0,3.0,7.0,4.0,3.0,250.4,4.0,2.0,239.0,3.0,2.0,200.5,3.0,2.0,1956.0,3.0,2.0,2275.0
4.0,5.0,17.2,4.0,5.0,445.0,4.0,5.0,253.3,3.0,5.0,194.1,3.0,4.0,1522.0,3.0,4.0,827.5
4.0,6.0,13.5,4.0,6.0,284.6,4.0,6.0,153.7,3.0,6.0,113.7,3.0,6.0,1562.0,3.0,5.0,2275.0
5.0,2.0,115.4,5.0,1.0,840.8,5.0,1.0,534.8,5.0,1.0,87.7,4.0,1.0,419.5,4.0,1.0,446.9
5.0,3.0,110.4,5.0,3.0,1511.0,5.0,2.0,1031.0,5.0,2.0,180.8,4.0,2.0,926.4,4.0,2.0,1009.0
5.0,4.0,66.5,5.0,4.0,1076.0,5.0,4.0,599.9,5.0,3.0,201.0,4.0,3.0,1036.0,4.0,3.0,788.6
5.0,6.0,125.9,5.0,6.0,1506.0,5.0,6.0,912.3,5.0,6.0,101.0,4.0,6.0,522.7,4.0,5.0,1238.0
6.0,2.0,127.5,6.0,1.0,605.1,6.0,1.0,472.6,6.0,1.0,85.4,6.0,1.0,904.4,5.0,1.0,1912.0
6.0,3.0,116.3,6.0,3.0,1261.0,6.0,2.0,816.2,6.0,2.0,181.1,6.0,2.0,1894.0,5.0,2.0,2507.0
6.0,4.0,67.5,6.0,4.0,661.5,6.0,4.0,432.1,6.0,3.0,158.7,6.0,3.0,1929.0,5.0,3.0,3034.0
6.0,5.0,179.9,6.0,5.0,1550.0,6.0,5.0,1084.0,6.0,5.0,138.2,6.0,4.0,1144.0,5.0,4.0,1562.0
