1,水摩 敦,水摩 敦.1,2,篠原 飛翔,篠原 飛翔.1,3,池永 太,池永 太.1,4,前田 将太,前田 将太.1,5,森 晋太郎,森 晋太郎.1,6,岡村 将也,岡村 将也.1
2.0,3.0,12.6,1.0,3.0,32.2,1.0,2.0,41.0,1.0,2.0,74.6,1.0,2.0,756.4,1.0,2.0,1017.0
2.0,4.0,14.7,1.0,4.0,34.2,1.0,4.0,17.3,1.0,3.0,39.7,1.0,3.0,543.5,1.0,3.0,990.7
2.0,5.0,87.6,1.0,5.0,160.3,1.0,5.0,96.3,1.0,5.0,141.4,1.0,4.0,755.5,1.0,4.0,956.8
2.0,6.0,73.3,1.0,6.0,110.7,1.0,6.0,65.5,1.0,6.0,87.2,1.0,6.0,898.0,1.0,5.0,1644.0
3.0,2.0,12.4,3.0,1.0,51.4,2.0,1.0,64.7,2.0,1.0,130.9,2.0,1.0,1068.0,2.0,1.0,1376.0
3.0,4.0,7.6,3.0,4.0,43.4,2.0,4.0,44.7,2.0,3.0,100.0,2.0,3.0,1132.0,2.0,3.0,1130.0
3.0,5.0,57.5,3.0,5.0,189.3,2.0,5.0,185.1,2.0,5.0,312.7,2.0,4.0,1400.0,2.0,4.0,1195.0
3.0,6.0,40.3,3.0,6.0,113.7,2.0,6.0,113.2,2.0,6.0,176.4,2.0,6.0,1505.0,2.0,5.0,2963.0
4.0,2.0,16.5,4.0,1.0,65.3,4.0,1.0,24.9,3.0,1.0,45.5,3.0,1.0,733.1,3.0,1.0,1095.0
4.0,3.0,10.7,4.0,3.0,60.1,4.0,2.0,40.9,3.0,2.0,80.7,3.0,2.0,1124.0,3.0,2.0,1323.0
4.0,5.0,66.1,4.0,5.0,252.2,4.0,5.0,83.8,3.0,5.0,145.7,3.0,4.0,880.8,3.0,4.0,575.1
4.0,6.0,41.1,4.0,6.0,141.9,4.0,6.0,51.4,3.0,6.0,83.1,3.0,6.0,1538.0,3.0,5.0,2783.0
5.0,2.0,198.7,5.0,1.0,536.2,5.0,1.0,273.3,5.0,1.0,266.2,4.0,1.0,860.7,4.0,1.0,1086.0
5.0,3.0,174.3,5.0,3.0,508.7,5.0,2.0,374.4,5.0,2.0,398.3,4.0,2.0,1227.0,4.0,2.0,1238.0
5.0,4.0,198.8,5.0,4.0,546.3,5.0,4.0,237.8,5.0,3.0,270.7,4.0,3.0,883.2,4.0,3.0,626.1
5.0,6.0,285.9,5.0,6.0,797.7,5.0,6.0,403.3,5.0,6.0,323.6,4.0,6.0,1110.0,4.0,5.0,2280.0
6.0,2.0,200.8,6.0,1.0,397.4,6.0,1.0,243.8,6.0,1.0,216.1,6.0,1.0,1523.0,5.0,1.0,2264.0
6.0,3.0,160.2,6.0,3.0,378.4,6.0,2.0,292.4,6.0,2.0,276.2,6.0,2.0,2087.0,5.0,2.0,3136.0
6.0,4.0,156.3,6.0,4.0,376.9,6.0,4.0,162.1,6.0,3.0,173.5,6.0,3.0,2108.0,5.0,3.0,3199.0
6.0,5.0,351.7,6.0,5.0,886.9,6.0,5.0,401.3,6.0,5.0,426.1,6.0,4.0,1705.0,5.0,4.0,2624.0
