1,池永 太,池永 太.1,2,竹井 貴史,竹井 貴史.1,3,野田部　宏子,野田部　宏子.1,4,関 裕也,関 裕也.1,5,岡村 将也,岡村 将也.1,6,竹之内 極,竹之内 極.1
2.0,3.0,10.9,1.0,3.0,53.3,1.0,2.0,184.3,1.0,2.0,125.2,1.0,2.0,77.6,1.0,2.0,212.4
2.0,4.0,6.4,1.0,4.0,39.9,1.0,4.0,316.3,1.0,3.0,354.7,1.0,3.0,181.8,1.0,3.0,564.3
2.0,5.0,6.2,1.0,5.0,28.2,1.0,5.0,214.2,1.0,5.0,185.1,1.0,4.0,128.5,1.0,4.0,419.2
2.0,6.0,13.9,1.0,6.0,48.4,1.0,6.0,338.9,1.0,6.0,277.4,1.0,6.0,94.3,1.0,5.0,243.1
3.0,2.0,27.5,3.0,1.0,165.5,2.0,1.0,295.9,2.0,1.0,228.9,2.0,1.0,132.6,2.0,1.0,353.2
3.0,4.0,44.2,3.0,4.0,424.0,2.0,4.0,558.2,2.0,3.0,808.9,2.0,3.0,370.3,2.0,3.0,973.0
3.0,5.0,41.8,3.0,5.0,269.1,2.0,5.0,371.3,2.0,5.0,445.5,2.0,4.0,274.4,2.0,4.0,847.1
3.0,6.0,71.2,3.0,6.0,382.7,2.0,6.0,550.0,2.0,6.0,718.7,2.0,6.0,221.5,2.0,5.0,537.1
4.0,2.0,12.0,4.0,1.0,138.3,4.0,1.0,661.1,3.0,1.0,859.4,3.0,1.0,359.9,3.0,1.0,1008.0
4.0,3.0,37.5,4.0,3.0,435.6,4.0,2.0,922.9,3.0,2.0,1250.0,3.0,2.0,511.8,3.0,2.0,1398.0
4.0,5.0,22.6,4.0,5.0,265.6,4.0,5.0,863.0,3.0,5.0,1408.0,3.0,4.0,772.5,3.0,4.0,1918.0
4.0,6.0,39.2,4.0,6.0,412.1,4.0,6.0,1165.0,3.0,6.0,1550.0,3.0,6.0,447.4,3.0,5.0,1063.0
5.0,2.0,16.4,5.0,1.0,101.5,5.0,1.0,320.8,5.0,1.0,347.5,4.0,1.0,270.7,4.0,1.0,852.3
5.0,3.0,43.7,5.0,3.0,280.2,5.0,2.0,441.7,5.0,2.0,544.2,4.0,2.0,391.0,4.0,2.0,1133.0
5.0,4.0,32.6,5.0,4.0,273.5,5.0,4.0,744.6,5.0,3.0,1224.0,4.0,3.0,847.1,4.0,3.0,1755.0
5.0,6.0,37.9,5.0,6.0,191.5,5.0,6.0,439.8,5.0,6.0,746.0,4.0,6.0,478.5,4.0,5.0,1206.0
6.0,2.0,47.2,6.0,1.0,207.2,6.0,1.0,648.6,6.0,1.0,784.3,6.0,1.0,128.0,5.0,1.0,297.2
6.0,3.0,124.4,6.0,3.0,577.8,6.0,2.0,887.2,6.0,2.0,1100.0,6.0,2.0,166.9,5.0,2.0,409.2
6.0,4.0,82.6,6.0,4.0,544.2,6.0,4.0,1289.0,6.0,3.0,1936.0,6.0,3.0,314.4,5.0,3.0,618.5
6.0,5.0,63.7,6.0,5.0,313.2,6.0,5.0,704.0,6.0,5.0,1088.0,6.0,4.0,271.0,5.0,4.0,651.7
