1,西山 貴浩,西山 貴浩.1,2,小林 遼太,小林 遼太.1,3,沖島 広和,沖島 広和.1,4,富永 修一,富永 修一.1,5,小松 卓司,小松 卓司.1,6,池永 太,池永 太.1
2.0,3.0,10.0,1.0,3.0,168.4,1.0,2.0,194.0,1.0,2.0,217.3,1.0,2.0,671.7,1.0,2.0,105.3
2.0,4.0,12.4,1.0,4.0,210.8,1.0,4.0,159.8,1.0,3.0,237.5,1.0,3.0,611.0,1.0,3.0,112.2
2.0,5.0,29.1,1.0,5.0,301.3,1.0,5.0,257.0,1.0,5.0,208.8,1.0,4.0,658.5,1.0,4.0,99.6
2.0,6.0,11.1,1.0,6.0,163.0,1.0,6.0,130.2,1.0,6.0,107.9,1.0,6.0,357.2,1.0,5.0,176.1
3.0,2.0,11.5,3.0,1.0,536.5,2.0,1.0,574.8,2.0,1.0,579.1,2.0,1.0,1447.0,2.0,1.0,308.9
3.0,4.0,10.4,3.0,4.0,1607.0,2.0,4.0,1246.0,2.0,3.0,1513.0,2.0,3.0,3027.0,2.0,3.0,910.5
3.0,5.0,26.9,3.0,5.0,1967.0,2.0,5.0,1707.0,2.0,5.0,1714.0,2.0,4.0,2988.0,2.0,4.0,930.5
3.0,6.0,8.9,3.0,6.0,1131.0,2.0,6.0,947.6,2.0,6.0,941.8,2.0,6.0,1975.0,2.0,5.0,1162.0
4.0,2.0,18.5,4.0,1.0,672.7,4.0,1.0,495.9,3.0,1.0,543.3,3.0,1.0,1223.0,3.0,1.0,363.9
4.0,3.0,18.1,4.0,3.0,1926.0,4.0,2.0,1513.0,3.0,2.0,1671.0,3.0,2.0,3917.0,3.0,2.0,1000.0
4.0,5.0,40.0,4.0,5.0,2178.0,4.0,5.0,1707.0,3.0,5.0,1739.0,3.0,4.0,3330.0,3.0,4.0,794.2
4.0,6.0,10.5,4.0,6.0,1256.0,4.0,6.0,805.2,3.0,6.0,815.0,3.0,6.0,3505.0,3.0,5.0,1624.0
5.0,2.0,54.8,5.0,1.0,1195.0,5.0,1.0,987.7,5.0,1.0,379.3,4.0,1.0,941.8,4.0,1.0,251.4
5.0,3.0,66.2,5.0,3.0,2913.0,5.0,2.0,2808.0,5.0,2.0,1038.0,4.0,2.0,2493.0,4.0,2.0,822.2
5.0,4.0,73.2,5.0,4.0,3330.0,5.0,4.0,2791.0,5.0,3.0,1217.0,4.0,3.0,2466.0,4.0,3.0,672.7
5.0,6.0,38.9,5.0,6.0,2009.0,5.0,6.0,2168.0,5.0,6.0,425.3,4.0,6.0,1076.0,4.0,5.0,812.2
6.0,2.0,17.6,6.0,1.0,462.9,6.0,1.0,409.6,6.0,1.0,167.5,6.0,1.0,569.9,5.0,1.0,535.2
6.0,3.0,16.4,6.0,3.0,1538.0,6.0,2.0,1328.0,6.0,2.0,529.1,6.0,2.0,1992.0,5.0,2.0,1772.0
6.0,4.0,17.1,6.0,4.0,1528.0,6.0,4.0,1006.0,6.0,3.0,515.7,6.0,3.0,2590.0,5.0,3.0,2090.0
6.0,5.0,38.4,6.0,5.0,1689.0,6.0,5.0,1683.0,6.0,5.0,399.8,6.0,4.0,1404.0,5.0,4.0,1320.0
