1,谷村 啓司,谷村 啓司.1,2,冨名腰　桃奈,冨名腰　桃奈.1,3,中尾 優香,中尾 優香.1,4,土井 歩夢,土井 歩夢.1,5,上野 秀和,上野 秀和.1,6,松尾 宣邦,松尾 宣邦.1
2.0,3.0,26.5,1.0,3.0,57.1,1.0,2.0,191.8,1.0,2.0,76.5,1.0,2.0,39.1,1.0,2.0,231.9
2.0,4.0,20.5,1.0,4.0,35.6,1.0,4.0,222.7,1.0,3.0,195.1,1.0,3.0,107.2,1.0,3.0,543.8
2.0,5.0,13.2,1.0,5.0,20.4,1.0,5.0,125.4,1.0,5.0,47.3,1.0,4.0,49.4,1.0,4.0,330.4
2.0,6.0,31.4,1.0,6.0,49.5,1.0,6.0,244.0,1.0,6.0,89.7,1.0,6.0,44.6,1.0,5.0,172.6
3.0,2.0,43.7,3.0,1.0,116.3,2.0,1.0,177.8,2.0,1.0,110.7,2.0,1.0,59.4,2.0,1.0,283.6
3.0,4.0,68.4,3.0,4.0,186.7,2.0,4.0,250.6,2.0,3.0,290.2,2.0,3.0,172.3,2.0,3.0,778.0
3.0,5.0,40.6,3.0,5.0,113.7,2.0,5.0,166.4,2.0,5.0,92.4,2.0,4.0,102.5,2.0,4.0,560.1
3.0,6.0,96.6,3.0,6.0,211.3,2.0,6.0,292.5,2.0,6.0,160.7,2.0,6.0,70.1,2.0,5.0,255.2
4.0,2.0,40.4,4.0,1.0,104.3,4.0,1.0,305.2,3.0,1.0,379.7,3.0,1.0,191.1,3.0,1.0,875.3
4.0,3.0,93.9,4.0,3.0,192.1,4.0,2.0,360.2,3.0,2.0,506.9,3.0,2.0,288.7,3.0,2.0,991.4
4.0,5.0,34.7,4.0,5.0,93.1,4.0,5.0,290.2,3.0,5.0,323.8,3.0,4.0,324.7,3.0,4.0,1143.0
4.0,6.0,81.2,4.0,6.0,169.2,4.0,6.0,419.6,3.0,6.0,497.9,3.0,6.0,303.6,3.0,5.0,957.5
5.0,2.0,17.4,5.0,1.0,41.4,5.0,1.0,162.3,5.0,1.0,41.3,4.0,1.0,72.5,4.0,1.0,372.2
5.0,3.0,43.9,5.0,3.0,107.5,5.0,2.0,229.1,5.0,2.0,64.2,4.0,2.0,85.0,4.0,2.0,549.2
5.0,4.0,29.4,5.0,4.0,83.9,5.0,4.0,264.8,5.0,3.0,157.5,4.0,3.0,245.1,4.0,3.0,1067.0
5.0,6.0,25.6,5.0,6.0,61.2,5.0,6.0,276.6,5.0,6.0,43.9,4.0,6.0,63.6,4.0,5.0,258.1
6.0,2.0,93.1,6.0,1.0,176.4,6.0,1.0,533.5,6.0,1.0,122.0,6.0,1.0,68.7,5.0,1.0,189.2
6.0,3.0,155.8,6.0,3.0,427.6,6.0,2.0,704.6,6.0,2.0,170.7,6.0,2.0,82.4,5.0,2.0,230.5
6.0,4.0,143.8,6.0,4.0,317.3,6.0,4.0,757.0,6.0,3.0,295.6,6.0,3.0,259.3,5.0,3.0,651.3
6.0,5.0,64.2,6.0,5.0,153.8,6.0,5.0,518.6,6.0,5.0,87.2,6.0,4.0,89.4,5.0,4.0,228.1
