1,安部 慎一,安部 慎一.1,2,富永 修一,富永 修一.1,3,上野 秀和,上野 秀和.1,4,山口 広樹,山口 広樹.1,5,大庭 元明,大庭 元明.1,6,日高 逸子,日高 逸子.1
2.0,3.0,11.2,1.0,3.0,16.8,1.0,2.0,52.3,1.0,2.0,202.1,1.0,2.0,72.7,1.0,2.0,182.3
2.0,4.0,26.3,1.0,4.0,35.9,1.0,4.0,81.0,1.0,3.0,215.0,1.0,3.0,132.5,1.0,3.0,302.2
2.0,5.0,16.6,1.0,5.0,19.5,1.0,5.0,72.2,1.0,5.0,211.1,1.0,4.0,225.6,1.0,4.0,340.8
2.0,6.0,24.9,1.0,6.0,28.8,1.0,6.0,92.0,1.0,6.0,223.6,1.0,6.0,84.2,1.0,5.0,239.1
3.0,2.0,15.9,3.0,1.0,36.3,2.0,1.0,64.1,2.0,1.0,264.7,2.0,1.0,82.3,2.0,1.0,224.4
3.0,4.0,36.1,3.0,4.0,74.4,2.0,4.0,94.8,2.0,3.0,239.5,2.0,3.0,134.9,2.0,3.0,314.1
3.0,5.0,28.3,3.0,5.0,48.5,2.0,5.0,81.8,2.0,5.0,317.2,2.0,4.0,252.2,2.0,4.0,552.4
3.0,6.0,39.4,3.0,6.0,58.1,2.0,6.0,89.0,2.0,6.0,241.8,2.0,6.0,84.0,2.0,5.0,184.9
4.0,2.0,65.8,4.0,1.0,116.4,4.0,1.0,153.6,3.0,1.0,306.5,3.0,1.0,211.8,3.0,1.0,514.6
4.0,3.0,80.0,4.0,3.0,136.0,4.0,2.0,144.9,3.0,2.0,265.3,3.0,2.0,192.1,3.0,2.0,474.6
4.0,5.0,105.8,4.0,5.0,152.9,4.0,5.0,158.4,3.0,5.0,350.1,3.0,4.0,438.8,3.0,4.0,1175.0
4.0,6.0,123.3,4.0,6.0,143.8,4.0,6.0,178.4,3.0,6.0,291.2,3.0,6.0,207.7,3.0,5.0,538.4
5.0,2.0,36.7,5.0,1.0,46.7,5.0,1.0,115.0,5.0,1.0,231.7,4.0,1.0,305.1,4.0,1.0,724.0
5.0,3.0,50.2,5.0,3.0,69.5,5.0,2.0,109.8,5.0,2.0,272.6,4.0,2.0,408.1,4.0,2.0,935.4
5.0,4.0,118.5,5.0,4.0,145.9,5.0,4.0,171.3,5.0,3.0,329.4,4.0,3.0,554.7,4.0,3.0,1439.0
5.0,6.0,61.8,5.0,6.0,51.7,5.0,6.0,135.0,5.0,6.0,236.8,4.0,6.0,404.2,4.0,5.0,1104.0
6.0,2.0,84.3,6.0,1.0,85.8,6.0,1.0,247.4,6.0,1.0,471.1,6.0,1.0,123.2,5.0,1.0,305.8
6.0,3.0,133.9,6.0,3.0,122.8,6.0,2.0,230.9,6.0,2.0,452.8,6.0,2.0,100.9,5.0,2.0,209.4
6.0,4.0,225.2,6.0,4.0,206.0,6.0,4.0,308.8,6.0,3.0,554.7,6.0,3.0,184.1,5.0,3.0,421.5
6.0,5.0,136.0,6.0,5.0,84.5,6.0,5.0,249.8,6.0,5.0,531.7,6.0,4.0,371.4,5.0,4.0,772.0
