1,乙藤 智史,乙藤 智史.1,2,日高 逸子,日高 逸子.1,3,大庭 元明,大庭 元明.1,4,山田 丈,山田 丈.1,5,米丸 乃絵,米丸 乃絵.1,6,山口 広樹,山口 広樹.1
2.0,3.0,8.9,1.0,3.0,39.9,1.0,2.0,116.3,1.0,2.0,79.2,1.0,2.0,98.8,1.0,2.0,1117.0
2.0,4.0,6.3,1.0,4.0,28.7,1.0,4.0,112.5,1.0,3.0,166.0,1.0,3.0,180.6,1.0,3.0,1707.0
2.0,5.0,11.2,1.0,5.0,47.6,1.0,5.0,148.7,1.0,5.0,100.3,1.0,4.0,150.4,1.0,4.0,1344.0
2.0,6.0,61.1,1.0,6.0,187.9,1.0,6.0,424.2,1.0,6.0,257.8,1.0,6.0,227.6,1.0,5.0,1324.0
3.0,2.0,13.2,3.0,1.0,127.8,2.0,1.0,200.5,2.0,1.0,142.0,2.0,1.0,169.6,2.0,1.0,1740.0
3.0,4.0,14.3,3.0,4.0,158.1,2.0,4.0,241.3,2.0,3.0,308.2,2.0,3.0,339.8,2.0,3.0,2446.0
3.0,5.0,18.9,3.0,5.0,219.6,2.0,5.0,355.4,2.0,5.0,227.0,2.0,4.0,336.0,2.0,4.0,1751.0
3.0,6.0,95.2,3.0,6.0,600.7,2.0,6.0,840.6,2.0,6.0,526.2,2.0,6.0,470.6,2.0,5.0,2121.0
4.0,2.0,9.0,4.0,1.0,86.7,4.0,1.0,240.3,3.0,1.0,356.3,3.0,1.0,367.9,3.0,1.0,2636.0
4.0,3.0,19.2,4.0,3.0,175.6,4.0,2.0,301.7,3.0,2.0,402.8,3.0,2.0,511.3,3.0,2.0,2858.0
4.0,5.0,16.8,4.0,5.0,150.6,4.0,5.0,377.1,3.0,5.0,512.3,3.0,4.0,729.9,3.0,4.0,2244.0
4.0,6.0,81.3,4.0,6.0,345.4,4.0,6.0,939.5,3.0,6.0,994.6,3.0,6.0,1001.0,3.0,5.0,2919.0
5.0,2.0,20.9,5.0,1.0,147.4,5.0,1.0,319.4,5.0,1.0,140.2,4.0,1.0,267.5,4.0,1.0,2281.0
5.0,3.0,35.3,5.0,3.0,274.5,5.0,2.0,402.8,5.0,2.0,190.2,4.0,2.0,368.9,4.0,2.0,1834.0
5.0,4.0,25.8,5.0,4.0,197.4,5.0,4.0,392.9,5.0,3.0,355.8,4.0,3.0,689.1,4.0,3.0,3121.0
5.0,6.0,85.8,5.0,6.0,463.3,5.0,6.0,980.2,5.0,6.0,301.3,4.0,6.0,569.2,4.0,5.0,2446.0
6.0,2.0,216.7,6.0,1.0,864.7,6.0,1.0,1578.0,6.0,1.0,549.6,6.0,1.0,596.7,5.0,1.0,2281.0
6.0,3.0,295.1,6.0,3.0,969.7,6.0,2.0,1635.0,6.0,2.0,603.4,6.0,2.0,689.1,5.0,2.0,2514.0
6.0,4.0,219.5,6.0,4.0,680.5,6.0,4.0,862.0,6.0,3.0,752.1,6.0,3.0,994.6,5.0,3.0,3311.0
6.0,5.0,264.4,6.0,5.0,920.4,6.0,5.0,1686.0,6.0,5.0,559.8,6.0,4.0,875.9,5.0,4.0,2320.0
