1,樫葉 次郎,樫葉 次郎.1,2,永嶋 裕一,永嶋 裕一.1,3,高橋 英之,高橋 英之.1,4,大橋　純一郎,大橋　純一郎.1,5,松尾 昂明,松尾 昂明.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,26.8,1.0,3.0,32.7,1.0,2.0,46.2,1.0,2.0,91.1,1.0,2.0,108.1,1.0,2.0,943.4
2.0,4.0,39.8,1.0,4.0,35.9,1.0,4.0,35.3,1.0,3.0,74.3,1.0,3.0,95.1,1.0,3.0,963.9
2.0,5.0,53.0,1.0,5.0,41.1,1.0,5.0,38.7,1.0,5.0,66.5,1.0,4.0,91.9,1.0,4.0,1970.0
2.0,6.0,337.1,1.0,6.0,487.2,1.0,6.0,270.3,1.0,6.0,464.2,1.0,6.0,595.1,1.0,5.0,2015.0
3.0,2.0,27.9,3.0,1.0,37.5,2.0,1.0,58.5,2.0,1.0,95.8,2.0,1.0,120.4,2.0,1.0,1231.0
3.0,4.0,24.8,3.0,4.0,37.5,2.0,4.0,40.1,2.0,3.0,69.7,2.0,3.0,80.3,2.0,3.0,1809.0
3.0,5.0,34.2,3.0,5.0,40.5,2.0,5.0,46.5,2.0,5.0,54.6,2.0,4.0,65.5,2.0,4.0,1847.0
3.0,6.0,250.5,3.0,6.0,471.7,2.0,6.0,484.5,2.0,6.0,479.3,2.0,6.0,506.7,2.0,5.0,1773.0
4.0,2.0,54.5,4.0,1.0,54.5,4.0,1.0,40.4,3.0,1.0,67.1,3.0,1.0,102.7,3.0,1.0,860.9
4.0,3.0,38.2,4.0,3.0,43.9,4.0,2.0,42.5,3.0,2.0,66.3,3.0,2.0,78.6,3.0,2.0,1068.0
4.0,5.0,48.6,4.0,5.0,45.4,4.0,5.0,18.7,3.0,5.0,29.8,3.0,4.0,58.3,3.0,4.0,1019.0
4.0,6.0,351.9,4.0,6.0,459.4,4.0,6.0,279.7,3.0,6.0,342.3,3.0,6.0,474.2,3.0,5.0,1182.0
5.0,2.0,80.9,5.0,1.0,67.4,5.0,1.0,59.7,5.0,1.0,51.3,4.0,1.0,87.5,4.0,1.0,2273.0
5.0,3.0,65.7,5.0,3.0,53.0,5.0,2.0,50.0,5.0,2.0,42.9,4.0,2.0,65.6,4.0,2.0,1364.0
5.0,4.0,75.6,5.0,4.0,49.2,5.0,4.0,32.5,5.0,3.0,33.8,4.0,3.0,60.2,4.0,3.0,1738.0
5.0,6.0,666.7,5.0,6.0,540.7,5.0,6.0,353.3,5.0,6.0,231.5,4.0,6.0,422.2,4.0,5.0,1738.0
6.0,2.0,715.1,6.0,1.0,1094.0,6.0,1.0,953.5,6.0,1.0,953.5,6.0,1.0,1031.0,5.0,1.0,1970.0
6.0,3.0,587.2,6.0,3.0,1249.0,6.0,2.0,1055.0,6.0,2.0,1343.0,6.0,2.0,798.9,5.0,2.0,1407.0
6.0,4.0,633.4,6.0,4.0,1430.0,6.0,4.0,745.2,6.0,3.0,656.8,6.0,3.0,914.2,5.0,3.0,1453.0
6.0,5.0,1122.0,6.0,5.0,1430.0,6.0,5.0,1081.0,6.0,5.0,933.4,6.0,4.0,821.1,5.0,4.0,1555.0
