1,川崎 公靖,川崎 公靖.1,2,作間 章,作間 章.1,3,大野 芳顕,大野 芳顕.1,4,森林 太,森林 太.1,5,市川 猛,市川 猛.1,6,河合 佑樹,河合 佑樹.1
2.0,3.0,35.4,1.0,3.0,31.2,1.0,2.0,63.1,1.0,2.0,392.2,1.0,2.0,885.7,1.0,2.0,19.6
2.0,4.0,120.5,1.0,4.0,111.0,1.0,4.0,137.0,1.0,3.0,510.3,1.0,3.0,1508.0,1.0,3.0,22.9
2.0,5.0,242.9,1.0,5.0,219.6,1.0,5.0,289.0,1.0,5.0,696.8,1.0,4.0,1430.0,1.0,4.0,46.7
2.0,6.0,23.8,1.0,6.0,26.5,1.0,6.0,38.2,1.0,6.0,292.0,1.0,6.0,1040.0,1.0,5.0,83.3
3.0,2.0,42.0,3.0,1.0,55.0,2.0,1.0,76.3,2.0,1.0,435.8,2.0,1.0,1193.0,2.0,1.0,23.5
3.0,4.0,107.7,3.0,4.0,127.1,2.0,4.0,122.2,2.0,3.0,442.8,2.0,3.0,624.0,2.0,3.0,18.0
3.0,5.0,225.4,3.0,5.0,281.8,2.0,5.0,262.9,2.0,5.0,444.2,2.0,4.0,1072.0,2.0,4.0,40.9
3.0,6.0,29.2,3.0,6.0,24.4,2.0,6.0,33.1,2.0,6.0,235.8,2.0,6.0,711.3,2.0,5.0,80.6
4.0,2.0,216.5,4.0,1.0,279.0,4.0,1.0,335.6,3.0,1.0,696.8,3.0,1.0,1098.0,3.0,1.0,33.6
4.0,3.0,276.7,4.0,3.0,274.5,4.0,2.0,256.1,3.0,2.0,504.7,3.0,2.0,788.9,3.0,2.0,22.3
4.0,5.0,536.2,4.0,5.0,610.1,4.0,5.0,521.9,3.0,5.0,842.2,3.0,4.0,852.7,3.0,4.0,47.8
4.0,6.0,172.6,4.0,6.0,158.5,4.0,6.0,160.1,3.0,6.0,322.2,3.0,6.0,909.1,3.0,5.0,115.2
5.0,2.0,650.6,5.0,1.0,852.7,5.0,1.0,666.4,5.0,1.0,632.6,4.0,1.0,1024.0,4.0,1.0,68.9
5.0,3.0,514.1,5.0,3.0,615.6,5.0,2.0,555.8,5.0,2.0,594.3,4.0,2.0,766.9,4.0,2.0,51.8
5.0,4.0,885.7,5.0,4.0,940.3,5.0,4.0,707.6,5.0,3.0,802.8,4.0,3.0,927.6,4.0,3.0,67.2
5.0,6.0,460.6,5.0,6.0,463.8,5.0,6.0,368.0,5.0,6.0,486.8,4.0,6.0,863.4,4.0,5.0,86.5
6.0,2.0,19.5,6.0,1.0,24.0,6.0,1.0,33.8,6.0,1.0,229.5,6.0,1.0,1144.0,5.0,1.0,150.3
6.0,3.0,21.1,6.0,3.0,21.3,6.0,2.0,25.6,6.0,2.0,176.6,6.0,2.0,738.0,5.0,2.0,123.1
6.0,4.0,60.5,6.0,4.0,74.8,6.0,4.0,61.9,6.0,3.0,232.2,6.0,3.0,946.7,5.0,3.0,196.9
6.0,5.0,137.5,6.0,5.0,157.9,6.0,5.0,117.9,6.0,5.0,388.9,6.0,4.0,921.3,5.0,4.0,130.7
