1,坂井 康嗣,坂井 康嗣.1,2,村田 友也,村田 友也.1,3,永嶋 裕一,永嶋 裕一.1,4,熊本 英一,熊本 英一.1,5,森林 太,森林 太.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,22.2,1.0,3.0,75.0,1.0,2.0,28.7,1.0,2.0,188.5,1.0,2.0,126.6,1.0,2.0,709.8
2.0,4.0,50.1,1.0,4.0,117.3,1.0,4.0,18.5,1.0,3.0,103.3,1.0,3.0,61.6,1.0,3.0,559.9
2.0,5.0,40.1,1.0,5.0,95.1,1.0,5.0,12.9,1.0,5.0,98.3,1.0,4.0,102.5,1.0,4.0,919.8
2.0,6.0,206.7,1.0,6.0,539.8,1.0,6.0,93.0,1.0,6.0,512.2,1.0,6.0,326.6,1.0,5.0,901.4
3.0,2.0,17.8,3.0,1.0,90.2,2.0,1.0,65.5,2.0,1.0,243.6,2.0,1.0,136.5,2.0,1.0,797.7
3.0,4.0,13.6,3.0,4.0,115.1,2.0,4.0,80.1,2.0,3.0,228.8,2.0,3.0,141.0,2.0,3.0,959.0
3.0,5.0,9.8,3.0,5.0,91.9,2.0,5.0,60.4,2.0,5.0,240.3,2.0,4.0,223.6,2.0,4.0,1287.0
3.0,6.0,84.4,3.0,6.0,372.5,2.0,6.0,260.5,2.0,6.0,515.1,2.0,6.0,819.5,2.0,5.0,1287.0
4.0,2.0,53.4,4.0,1.0,205.8,4.0,1.0,45.7,3.0,1.0,107.9,3.0,1.0,57.2,3.0,1.0,709.8
4.0,3.0,32.3,4.0,3.0,170.4,4.0,2.0,72.2,3.0,2.0,172.6,3.0,2.0,100.2,3.0,2.0,979.8
4.0,5.0,49.5,4.0,5.0,236.6,4.0,5.0,30.8,3.0,5.0,79.7,3.0,4.0,67.2,3.0,4.0,812.1
4.0,6.0,283.4,4.0,6.0,842.5,4.0,6.0,179.9,3.0,6.0,435.4,3.0,6.0,184.7,3.0,5.0,589.2
5.0,2.0,42.6,5.0,1.0,137.0,5.0,1.0,21.5,5.0,1.0,150.7,4.0,1.0,129.1,4.0,1.0,1155.0
5.0,3.0,17.0,5.0,3.0,123.3,5.0,2.0,37.6,5.0,2.0,205.8,4.0,2.0,175.7,4.0,2.0,1365.0
5.0,4.0,36.4,5.0,4.0,231.7,5.0,4.0,24.8,5.0,3.0,128.4,4.0,3.0,105.6,4.0,3.0,901.4
5.0,6.0,215.1,5.0,6.0,929.3,5.0,6.0,92.8,5.0,6.0,375.6,4.0,6.0,342.7,4.0,5.0,1112.0
6.0,2.0,487.2,6.0,1.0,866.8,6.0,1.0,421.2,6.0,1.0,677.8,6.0,1.0,553.0,5.0,1.0,990.6
6.0,3.0,380.3,6.0,3.0,929.3,6.0,2.0,559.9,6.0,2.0,858.5,6.0,2.0,819.5,5.0,2.0,1155.0
6.0,4.0,536.5,6.0,4.0,1430.0,6.0,4.0,331.4,6.0,3.0,609.1,6.0,3.0,427.2,5.0,3.0,653.2
6.0,5.0,609.1,6.0,5.0,1345.0,6.0,5.0,317.4,6.0,5.0,653.2,6.0,4.0,539.8,5.0,4.0,1060.0
