1,熊本 英一,熊本 英一.1,2,佐藤 旭,佐藤 旭.1,3,山本　景士郎,山本　景士郎.1,4,市川 猛,市川 猛.1,5,柳生 泰二,柳生 泰二.1,6,藤丸 光一,藤丸 光一.1
2.0,3.0,132.4,1.0,3.0,143.5,1.0,2.0,92.5,1.0,2.0,783.9,1.0,2.0,45.6,1.0,2.0,182.0
2.0,4.0,285.3,1.0,4.0,243.0,1.0,4.0,194.6,1.0,3.0,1061.0,1.0,3.0,35.3,1.0,3.0,209.1
2.0,5.0,87.1,1.0,5.0,99.2,1.0,5.0,37.9,1.0,5.0,813.2,1.0,4.0,124.4,1.0,4.0,406.6
2.0,6.0,156.7,1.0,6.0,174.0,1.0,6.0,68.6,1.0,6.0,836.7,1.0,6.0,28.9,1.0,5.0,131.4
3.0,2.0,113.0,3.0,1.0,134.9,2.0,1.0,145.0,2.0,1.0,600.1,2.0,1.0,60.0,2.0,1.0,200.5
3.0,4.0,217.5,3.0,4.0,235.1,2.0,4.0,239.7,2.0,3.0,428.6,2.0,3.0,24.4,2.0,3.0,149.0
3.0,5.0,37.8,3.0,5.0,42.9,2.0,5.0,60.0,2.0,5.0,381.6,2.0,4.0,121.0,2.0,4.0,362.5
3.0,6.0,97.2,3.0,6.0,103.7,2.0,6.0,107.8,2.0,6.0,378.3,2.0,6.0,21.9,2.0,5.0,91.2
4.0,2.0,486.1,4.0,1.0,422.4,4.0,1.0,537.1,3.0,1.0,1011.0,3.0,1.0,32.5,3.0,1.0,226.0
4.0,3.0,426.5,4.0,3.0,304.2,4.0,2.0,488.8,3.0,2.0,674.5,3.0,2.0,27.7,3.0,2.0,166.3
4.0,5.0,383.3,4.0,5.0,217.0,4.0,5.0,210.1,3.0,5.0,554.2,3.0,4.0,79.1,3.0,4.0,381.6
4.0,6.0,494.4,4.0,6.0,402.8,4.0,6.0,465.3,3.0,6.0,879.0,3.0,6.0,18.3,3.0,5.0,85.7
5.0,2.0,63.0,5.0,1.0,82.6,5.0,1.0,37.7,5.0,1.0,540.5,4.0,1.0,162.9,4.0,1.0,537.1
5.0,3.0,36.0,5.0,3.0,45.7,5.0,2.0,37.4,5.0,2.0,350.8,4.0,2.0,137.4,4.0,2.0,383.3
5.0,4.0,171.9,5.0,4.0,190.8,5.0,4.0,95.4,5.0,3.0,410.4,4.0,3.0,130.8,4.0,3.0,422.4
5.0,6.0,44.7,5.0,6.0,45.3,5.0,6.0,26.3,5.0,6.0,286.2,4.0,6.0,83.2,4.0,5.0,197.7
6.0,2.0,165.7,6.0,1.0,209.1,6.0,1.0,121.3,6.0,1.0,550.7,6.0,1.0,25.4,5.0,1.0,100.9
6.0,3.0,146.5,6.0,3.0,126.1,6.0,2.0,104.2,6.0,2.0,420.3,6.0,2.0,15.1,5.0,2.0,64.4
6.0,4.0,365.6,6.0,4.0,416.3,6.0,4.0,247.2,6.0,3.0,514.9,6.0,3.0,16.8,5.0,3.0,65.4
6.0,5.0,92.8,6.0,5.0,84.8,6.0,5.0,55.8,6.0,5.0,298.0,6.0,4.0,43.1,5.0,4.0,128.3
