1,松尾 昂明,松尾 昂明.1,2,樫葉 次郎,樫葉 次郎.1,3,大橋　純一郎,大橋　純一郎.1,4,竹下 大樹,竹下 大樹.1,5,加倉 侑征,加倉 侑征.1,6,香月 大輝,香月 大輝.1
2.0,3.0,41.5,1.0,3.0,278.4,1.0,2.0,57.5,1.0,2.0,100.7,1.0,2.0,613.8,1.0,2.0,2596.0
2.0,4.0,54.3,1.0,4.0,346.9,1.0,4.0,9.4,1.0,3.0,25.2,1.0,3.0,193.3,1.0,3.0,1603.0
2.0,5.0,103.3,1.0,5.0,725.4,1.0,5.0,19.2,1.0,5.0,39.0,1.0,4.0,213.4,1.0,4.0,2032.0
2.0,6.0,436.8,1.0,6.0,1404.0,1.0,6.0,128.6,1.0,6.0,181.5,1.0,6.0,1065.0,1.0,5.0,2796.0
3.0,2.0,18.7,3.0,1.0,436.2,2.0,1.0,191.9,2.0,1.0,292.6,2.0,1.0,1288.0,2.0,1.0,2704.0
3.0,4.0,5.3,3.0,4.0,553.6,2.0,4.0,170.5,2.0,3.0,259.6,2.0,3.0,1308.0,2.0,3.0,2845.0
3.0,5.0,13.5,3.0,5.0,834.6,2.0,5.0,211.2,2.0,5.0,322.0,2.0,4.0,1374.0,2.0,4.0,3239.0
3.0,6.0,107.1,3.0,6.0,1677.0,2.0,6.0,563.1,2.0,6.0,865.5,2.0,6.0,2478.0,2.0,5.0,4883.0
4.0,2.0,29.8,4.0,1.0,782.7,4.0,1.0,13.1,3.0,1.0,25.6,3.0,1.0,223.1,3.0,1.0,1848.0
4.0,3.0,8.7,4.0,3.0,757.3,4.0,2.0,61.9,3.0,2.0,97.7,3.0,2.0,932.1,3.0,2.0,2638.0
4.0,5.0,21.1,4.0,5.0,1181.0,4.0,5.0,19.9,3.0,5.0,33.8,3.0,4.0,211.6,3.0,4.0,1580.0
4.0,6.0,137.6,4.0,6.0,1995.0,4.0,6.0,96.3,3.0,6.0,164.7,3.0,6.0,874.8,3.0,5.0,2596.0
5.0,2.0,137.1,5.0,1.0,1695.0,5.0,1.0,64.8,5.0,1.0,61.4,4.0,1.0,237.4,4.0,1.0,2241.0
5.0,3.0,46.5,5.0,3.0,1473.0,5.0,2.0,146.6,5.0,2.0,167.4,4.0,2.0,555.5,4.0,2.0,3760.0
5.0,4.0,57.4,5.0,4.0,1536.0,5.0,4.0,56.2,5.0,3.0,62.4,4.0,3.0,220.3,4.0,3.0,1959.0
5.0,6.0,432.2,5.0,6.0,2947.0,5.0,6.0,249.9,5.0,6.0,216.1,4.0,6.0,694.6,4.0,5.0,3057.0
6.0,2.0,1035.0,6.0,1.0,3176.0,6.0,1.0,513.6,6.0,1.0,515.2,6.0,1.0,2181.0,5.0,1.0,3444.0
6.0,3.0,558.3,6.0,3.0,3304.0,6.0,2.0,817.9,6.0,2.0,997.5,6.0,2.0,3304.0,5.0,2.0,4608.0
6.0,4.0,598.1,6.0,4.0,3146.0,6.0,4.0,462.1,6.0,3.0,480.4,6.0,3.0,1686.0,5.0,3.0,2870.0
6.0,5.0,886.6,6.0,5.0,3556.0,6.0,5.0,608.1,6.0,5.0,557.3,6.0,4.0,2110.0,5.0,4.0,3146.0
