1,寺田 祥,寺田 祥.1,2,伊藤 啓三,伊藤 啓三.1,3,高橋 英之,高橋 英之.1,4,峰重 力也,峰重 力也.1,5,田添 康介,田添 康介.1,6,渡 修平,渡 修平.1
2.0,3.0,3.8,1.0,3.0,51.2,1.0,2.0,59.7,1.0,2.0,123.5,1.0,2.0,462.0,1.0,2.0,2365.0
2.0,4.0,7.2,1.0,4.0,78.4,1.0,4.0,80.9,1.0,3.0,183.3,1.0,3.0,563.9,1.0,3.0,2506.0
2.0,5.0,11.0,1.0,5.0,145.6,1.0,5.0,152.4,1.0,5.0,164.8,1.0,4.0,554.8,1.0,4.0,2628.0
2.0,6.0,40.6,1.0,6.0,311.9,1.0,6.0,328.2,1.0,6.0,295.1,1.0,6.0,901.0,1.0,5.0,3983.0
3.0,2.0,5.8,3.0,1.0,119.5,2.0,1.0,116.6,2.0,1.0,296.3,2.0,1.0,1001.0,2.0,1.0,3262.0
3.0,4.0,8.7,3.0,4.0,304.9,2.0,4.0,297.9,2.0,3.0,601.6,2.0,3.0,2023.0,2.0,3.0,4252.0
3.0,5.0,13.8,3.0,5.0,707.3,2.0,5.0,630.7,2.0,5.0,791.7,2.0,4.0,2114.0,2.0,4.0,4349.0
3.0,6.0,45.6,3.0,6.0,1100.0,2.0,6.0,901.0,2.0,6.0,1190.0,2.0,6.0,2380.0,2.0,5.0,6203.0
4.0,2.0,16.5,4.0,1.0,308.4,4.0,1.0,288.0,3.0,1.0,403.8,3.0,1.0,1332.0,3.0,1.0,4204.0
4.0,3.0,19.8,4.0,3.0,530.7,4.0,2.0,451.0,3.0,2.0,675.7,3.0,2.0,2506.0,3.0,2.0,4452.0
4.0,5.0,35.6,4.0,5.0,1228.0,4.0,5.0,839.1,3.0,5.0,1248.0,3.0,4.0,2683.0,3.0,4.0,3983.0
4.0,6.0,72.7,4.0,6.0,1892.0,4.0,6.0,1337.0,3.0,6.0,1466.0,3.0,6.0,3536.0,3.0,5.0,4615.0
5.0,2.0,33.5,5.0,1.0,752.3,5.0,1.0,727.7,5.0,1.0,305.6,4.0,1.0,752.3,4.0,1.0,3440.0
5.0,3.0,45.4,5.0,3.0,1366.0,5.0,2.0,1291.0,5.0,2.0,652.4,4.0,2.0,1396.0,4.0,2.0,6307.0
5.0,4.0,66.0,5.0,4.0,1752.0,5.0,4.0,1396.0,5.0,3.0,1009.0,4.0,3.0,1971.0,4.0,3.0,5565.0
5.0,6.0,126.3,5.0,6.0,2425.0,5.0,6.0,2307.0,5.0,6.0,655.8,4.0,6.0,1631.0,4.0,5.0,6414.0
6.0,2.0,234.0,6.0,1.0,1484.0,6.0,1.0,1538.0,6.0,1.0,946.1,6.0,1.0,2034.0,5.0,1.0,4452.0
6.0,3.0,243.9,6.0,3.0,2441.0,6.0,2.0,2239.0,6.0,2.0,1760.0,6.0,2.0,3471.0,5.0,2.0,7008.0
6.0,4.0,287.1,6.0,4.0,3378.0,6.0,4.0,2911.0,6.0,3.0,2067.0,6.0,3.0,4252.0,5.0,3.0,7277.0
6.0,5.0,268.2,6.0,5.0,3234.0,6.0,5.0,3076.0,6.0,5.0,1381.0,6.0,4.0,2888.0,5.0,4.0,5733.0
