1,柳生 泰二,柳生 泰二.1,2,坂井 康嗣,坂井 康嗣.1,3,村田 友也,村田 友也.1,4,川北 浩貴,川北 浩貴.1,5,大野 芳顕,大野 芳顕.1,6,奥平 拓也,奥平 拓也.1
2.0,3.0,42.7,1.0,3.0,492.9,1.0,2.0,523.8,1.0,2.0,31.1,1.0,2.0,141.5,1.0,2.0,3004.0
2.0,4.0,10.1,1.0,4.0,190.7,1.0,4.0,294.8,1.0,3.0,93.4,1.0,3.0,277.4,1.0,3.0,3661.0
2.0,5.0,18.0,1.0,5.0,312.4,1.0,5.0,421.9,1.0,5.0,13.0,1.0,4.0,59.1,1.0,4.0,1941.0
2.0,6.0,91.1,1.0,6.0,883.1,1.0,6.0,1027.0,1.0,6.0,50.0,1.0,6.0,147.8,1.0,5.0,2881.0
3.0,2.0,46.3,3.0,1.0,1024.0,2.0,1.0,674.6,2.0,1.0,130.4,2.0,1.0,431.2,2.0,1.0,3949.0
3.0,4.0,22.9,3.0,4.0,2020.0,2.0,4.0,781.0,2.0,3.0,793.4,2.0,3.0,1341.0,2.0,3.0,3949.0
3.0,5.0,39.1,3.0,5.0,2811.0,2.0,5.0,1470.0,2.0,5.0,171.3,2.0,4.0,457.0,2.0,4.0,3862.0
3.0,6.0,180.2,3.0,6.0,2746.0,2.0,6.0,1033.0,2.0,6.0,489.5,2.0,6.0,830.9,2.0,5.0,6166.0
4.0,2.0,6.3,4.0,1.0,363.8,4.0,1.0,396.2,3.0,1.0,287.6,3.0,1.0,715.8,3.0,1.0,5579.0
4.0,3.0,18.5,4.0,3.0,1775.0,4.0,2.0,1464.0,3.0,2.0,968.2,3.0,2.0,1642.0,3.0,2.0,5858.0
4.0,5.0,4.4,4.0,5.0,682.5,4.0,5.0,634.4,3.0,5.0,417.9,3.0,4.0,855.2,3.0,4.0,4393.0
4.0,6.0,27.6,4.0,6.0,1634.0,4.0,6.0,1731.0,3.0,6.0,995.7,3.0,6.0,1748.0,3.0,5.0,5407.0
5.0,2.0,26.3,5.0,1.0,767.4,5.0,1.0,791.6,5.0,1.0,19.4,4.0,1.0,52.0,4.0,1.0,2703.0
5.0,3.0,54.9,5.0,3.0,2510.0,5.0,2.0,2358.0,5.0,2.0,54.9,4.0,2.0,134.6,4.0,2.0,4286.0
5.0,4.0,13.0,5.0,4.0,939.8,5.0,4.0,1015.0,5.0,3.0,180.3,4.0,3.0,379.1,4.0,3.0,5094.0
5.0,6.0,66.7,5.0,6.0,1784.0,5.0,6.0,2196.0,5.0,6.0,47.9,4.0,6.0,119.2,4.0,5.0,2358.0
6.0,2.0,263.2,6.0,1.0,2584.0,6.0,1.0,2584.0,6.0,1.0,204.4,6.0,1.0,558.8,5.0,1.0,3083.0
6.0,3.0,356.4,6.0,3.0,3820.0,6.0,2.0,3315.0,6.0,2.0,579.0,6.0,2.0,1091.0,5.0,2.0,5246.0
6.0,4.0,153.7,6.0,4.0,4506.0,6.0,4.0,3224.0,6.0,3.0,952.5,6.0,3.0,1698.0,5.0,3.0,5325.0
6.0,5.0,216.3,6.0,5.0,4339.0,6.0,5.0,4564.0,6.0,5.0,252.8,6.0,4.0,562.3,5.0,4.0,2117.0
