1,竹下 大樹,竹下 大樹.1,2,松田　大志郎,松田　大志郎.1,3,峰重 力也,峰重 力也.1,4,柳生 泰二,柳生 泰二.1,5,松尾 昂明,松尾 昂明.1,6,上田 洋平,上田 洋平.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,45.0,1,3,24.1,1,3,102.0,1,3,654.8
2,5,欠場,1,5,欠場,1,5,84.6,1,5,13.4,1,4,55.5,1,4,407.6
2,6,欠場,1,6,欠場,1,6,175.0,1,6,28.2,1,6,90.4,1,5,570.5
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,8.1,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,20.3,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,欠場
3,6,37.5,3,6,欠場,2,6,欠場,2,6,欠場,2,6,欠場,2,5,欠場
4,2,欠場,4,1,欠場,4,1,61.5,3,1,63.3,3,1,247.5,3,1,1298
4,3,6.5,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,5.3,4,5,欠場,4,5,112.1,3,5,83.2,3,4,244.1,3,4,1072
4,6,10.8,4,6,欠場,4,6,175.2,3,6,136.1,3,6,345.4,3,5,1327
5,2,欠場,5,1,欠場,5,1,223.6,5,1,21.2,4,1,58.9,4,1,475.1
5,3,28.4,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,欠場
5,4,11.9,5,4,欠場,5,4,201.3,5,3,55.5,4,3,125.5,4,3,981.2
5,6,32.3,5,6,欠場,5,6,343.4,5,6,38.2,4,6,91.2,4,5,614.7
6,2,欠場,6,1,欠場,6,1,539.8,6,1,98.6,6,1,193.1,5,1,632.8
6,3,86.9,6,3,欠場,6,2,欠場,6,2,欠場,6,2,欠場,5,2,欠場
6,4,47.8,6,4,欠場,6,4,460.6,6,3,190.5,6,3,312.8,5,3,1209
6,5,72.9,6,5,欠場,6,5,595.3,6,5,105.5,6,4,204.6,5,4,590.6
