1,福山　恵里奈,福山　恵里奈.1,2,小池 礼乃,小池 礼乃.1,3,橋谷田　佳織,橋谷田　佳織.1,4,田村 美和,田村 美和.1,5,金田 幸子,金田 幸子.1,6,中谷 朋子,中谷 朋子.1
2.0,3.0,117.1,1.0,3.0,198.0,1.0,2.0,430.8,1.0,2.0,452.8,1.0,2.0,240.2,1.0,2.0,27.0
2.0,4.0,156.3,1.0,4.0,181.4,1.0,4.0,556.7,1.0,3.0,575.9,1.0,3.0,461.6,1.0,3.0,57.8
2.0,5.0,93.2,1.0,5.0,105.2,1.0,5.0,350.1,1.0,5.0,342.5,1.0,4.0,435.4,1.0,4.0,65.1
2.0,6.0,54.8,1.0,6.0,70.2,1.0,6.0,283.3,1.0,6.0,330.5,1.0,6.0,139.4,1.0,5.0,32.1
3.0,2.0,192.2,3.0,1.0,275.4,2.0,1.0,429.5,2.0,1.0,442.9,2.0,1.0,193.5,2.0,1.0,25.8
3.0,4.0,292.1,3.0,4.0,232.1,2.0,4.0,363.5,2.0,3.0,435.4,2.0,3.0,201.9,2.0,3.0,25.4
3.0,5.0,250.6,3.0,5.0,129.2,2.0,5.0,263.3,2.0,5.0,216.0,2.0,4.0,173.0,2.0,4.0,24.8
3.0,6.0,186.4,3.0,6.0,108.3,2.0,6.0,197.4,2.0,6.0,175.4,2.0,6.0,46.2,2.0,5.0,10.3
4.0,2.0,221.4,4.0,1.0,224.8,4.0,1.0,536.7,3.0,1.0,655.7,3.0,1.0,554.5,3.0,1.0,90.4
4.0,3.0,303.0,4.0,3.0,206.5,4.0,2.0,391.1,3.0,2.0,555.6,3.0,2.0,386.3,3.0,2.0,57.5
4.0,5.0,265.3,4.0,5.0,97.1,4.0,5.0,242.0,3.0,5.0,345.8,3.0,4.0,447.8,3.0,4.0,71.3
4.0,6.0,203.9,4.0,6.0,80.5,4.0,6.0,193.5,3.0,6.0,282.8,3.0,6.0,243.9,3.0,5.0,48.4
5.0,2.0,124.7,5.0,1.0,102.9,5.0,1.0,423.7,5.0,1.0,290.6,4.0,1.0,398.7,4.0,1.0,107.1
5.0,3.0,243.9,5.0,3.0,92.3,5.0,2.0,339.6,5.0,2.0,192.5,4.0,2.0,234.4,4.0,2.0,52.1
5.0,4.0,302.3,5.0,4.0,87.7,5.0,4.0,311.6,5.0,3.0,287.3,4.0,3.0,352.7,4.0,3.0,76.8
5.0,6.0,83.2,5.0,6.0,24.6,5.0,6.0,179.0,5.0,6.0,100.7,4.0,6.0,134.1,4.0,5.0,41.2
6.0,2.0,38.8,6.0,1.0,50.8,6.0,1.0,268.1,6.0,1.0,249.0,6.0,1.0,83.0,5.0,1.0,38.5
6.0,3.0,83.1,6.0,3.0,51.5,6.0,2.0,203.2,6.0,2.0,141.3,6.0,2.0,36.0,5.0,2.0,15.3
6.0,4.0,91.5,6.0,4.0,45.7,6.0,4.0,210.0,6.0,3.0,213.3,6.0,3.0,109.1,5.0,3.0,40.8
6.0,5.0,49.3,6.0,5.0,19.9,6.0,5.0,164.6,6.0,5.0,99.3,6.0,4.0,83.9,5.0,4.0,35.6
