1,宇野 弥生,宇野 弥生.1,2,福島 陽子,福島 陽子.1,3,川野 芽唯,川野 芽唯.1,4,土屋 千明,土屋 千明.1,5,武藤 綾子,武藤 綾子.1,6,小池 礼乃,小池 礼乃.1
2.0,3.0,16.9,1.0,3.0,119.5,1.0,2.0,60.0,1.0,2.0,69.0,1.0,2.0,610.6,1.0,2.0,943.4
2.0,4.0,16.6,1.0,4.0,121.9,1.0,4.0,21.4,1.0,3.0,38.3,1.0,3.0,448.9,1.0,3.0,721.1
2.0,5.0,49.7,1.0,5.0,287.2,1.0,5.0,52.8,1.0,5.0,44.5,1.0,4.0,406.2,1.0,4.0,703.1
2.0,6.0,61.3,1.0,6.0,321.1,1.0,6.0,80.7,1.0,6.0,59.8,1.0,6.0,647.4,1.0,5.0,1513.0
3.0,2.0,12.8,3.0,1.0,257.7,2.0,1.0,190.5,2.0,1.0,202.9,2.0,1.0,1000.0,2.0,1.0,1664.0
3.0,4.0,5.3,3.0,4.0,439.2,2.0,4.0,288.9,2.0,3.0,384.8,2.0,3.0,1637.0,2.0,3.0,2190.0
3.0,5.0,17.6,3.0,5.0,948.9,2.0,5.0,523.4,2.0,5.0,386.4,2.0,4.0,1524.0,2.0,4.0,2232.0
3.0,6.0,23.5,3.0,6.0,1117.0,2.0,6.0,646.9,2.0,6.0,419.6,2.0,6.0,1634.0,2.0,5.0,2798.0
4.0,2.0,14.9,4.0,1.0,247.4,4.0,1.0,43.0,3.0,1.0,73.2,3.0,1.0,714.8,3.0,1.0,1073.0
4.0,3.0,7.8,4.0,3.0,458.7,4.0,2.0,140.1,3.0,2.0,268.3,3.0,2.0,1852.0,3.0,2.0,2652.0
4.0,5.0,16.3,4.0,5.0,769.3,4.0,5.0,96.3,3.0,5.0,160.1,3.0,4.0,1039.0,3.0,4.0,1262.0
4.0,6.0,20.1,4.0,6.0,751.6,4.0,6.0,128.4,3.0,6.0,187.7,3.0,6.0,1913.0,3.0,5.0,2361.0
5.0,2.0,106.9,5.0,1.0,957.8,5.0,1.0,207.3,5.0,1.0,84.1,4.0,1.0,457.7,4.0,1.0,766.4
5.0,3.0,66.8,5.0,3.0,1611.0,5.0,2.0,473.6,5.0,2.0,243.1,4.0,2.0,1089.0,4.0,2.0,1895.0
5.0,4.0,65.5,5.0,4.0,1469.0,5.0,4.0,249.1,5.0,3.0,153.7,4.0,3.0,747.5,4.0,3.0,1139.0
5.0,6.0,125.2,5.0,6.0,1640.0,5.0,6.0,507.8,5.0,6.0,126.4,4.0,6.0,659.9,4.0,5.0,1413.0
6.0,2.0,163.5,6.0,1.0,1139.0,6.0,1.0,361.8,6.0,1.0,164.3,6.0,1.0,1260.0,5.0,1.0,2105.0
6.0,3.0,93.9,6.0,3.0,1987.0,6.0,2.0,804.9,6.0,2.0,405.6,6.0,2.0,1983.0,5.0,2.0,2827.0
6.0,4.0,84.4,6.0,4.0,1780.0,6.0,4.0,414.9,6.0,3.0,280.2,6.0,3.0,2022.0,5.0,3.0,2403.0
6.0,5.0,193.2,6.0,5.0,2301.0,6.0,5.0,765.0,6.0,5.0,236.6,6.0,4.0,1241.0,5.0,4.0,1568.0
