1,橋谷田　佳織,橋谷田　佳織.1,2,平川 香織,平川 香織.1,3,田村 美和,田村 美和.1,4,川野 芽唯,川野 芽唯.1,5,金田 幸子,金田 幸子.1,6,森田 梨湖,森田 梨湖.1
2.0,3.0,140.1,1.0,3.0,90.6,1.0,2.0,402.9,1.0,2.0,61.0,1.0,2.0,179.2,1.0,2.0,1220.0
2.0,4.0,49.3,1.0,4.0,28.1,1.0,4.0,402.4,1.0,3.0,189.6,1.0,3.0,413.9,1.0,3.0,1695.0
2.0,5.0,73.3,1.0,5.0,48.8,1.0,5.0,454.4,1.0,5.0,60.9,1.0,4.0,160.7,1.0,4.0,2147.0
2.0,6.0,547.0,1.0,6.0,380.0,1.0,6.0,1164.0,1.0,6.0,282.0,1.0,6.0,505.5,1.0,5.0,1972.0
3.0,2.0,219.4,3.0,1.0,100.8,2.0,1.0,303.6,2.0,1.0,31.5,2.0,1.0,118.9,2.0,1.0,1806.0
3.0,4.0,256.2,3.0,4.0,30.6,2.0,4.0,112.5,2.0,3.0,42.3,2.0,3.0,156.6,2.0,3.0,2049.0
3.0,5.0,327.0,3.0,5.0,53.6,2.0,5.0,172.2,2.0,5.0,9.8,2.0,4.0,38.2,2.0,4.0,1210.0
3.0,6.0,981.1,3.0,6.0,434.3,2.0,6.0,748.2,2.0,6.0,92.3,2.0,6.0,225.5,2.0,5.0,1117.0
4.0,2.0,61.1,4.0,1.0,15.9,4.0,1.0,332.1,3.0,1.0,231.7,3.0,1.0,549.1,3.0,1.0,2510.0
4.0,3.0,193.9,4.0,3.0,17.1,4.0,2.0,143.4,3.0,2.0,98.0,3.0,2.0,327.0,3.0,2.0,2588.0
4.0,5.0,75.7,4.0,5.0,6.7,4.0,5.0,165.0,3.0,5.0,102.5,3.0,4.0,269.3,3.0,4.0,2814.0
4.0,6.0,458.7,4.0,6.0,103.5,4.0,6.0,783.6,3.0,6.0,574.1,3.0,6.0,1046.0,3.0,5.0,2588.0
5.0,2.0,122.2,5.0,1.0,43.8,5.0,1.0,446.0,5.0,1.0,24.9,4.0,1.0,68.1,4.0,1.0,1979.0
5.0,3.0,319.6,5.0,3.0,47.4,5.0,2.0,269.2,5.0,2.0,9.4,4.0,2.0,29.2,4.0,2.0,1115.0
5.0,4.0,126.2,5.0,4.0,13.6,5.0,4.0,233.4,5.0,3.0,42.8,4.0,3.0,107.9,4.0,3.0,2292.0
5.0,6.0,723.0,5.0,6.0,152.2,5.0,6.0,914.6,5.0,6.0,29.0,4.0,6.0,79.8,4.0,5.0,574.1
6.0,2.0,1268.0,6.0,1.0,746.3,6.0,1.0,1563.0,6.0,1.0,421.7,6.0,1.0,745.3,5.0,1.0,1901.0
6.0,3.0,1538.0,6.0,3.0,870.6,6.0,2.0,1490.0,6.0,2.0,226.6,6.0,2.0,506.0,5.0,2.0,1431.0
6.0,4.0,1320.0,6.0,4.0,427.6,6.0,4.0,1475.0,6.0,3.0,590.5,6.0,3.0,888.0,5.0,3.0,2328.0
6.0,5.0,1460.0,6.0,5.0,472.6,6.0,5.0,1526.0,6.0,5.0,159.3,6.0,4.0,287.7,5.0,4.0,595.9
