1,深川　麻奈美,深川　麻奈美.1,2,廣中　智紗衣,廣中　智紗衣.1,3,岩崎 芳美,岩崎 芳美.1,4,野田部　宏子,野田部　宏子.1,5,今井 美亜,今井 美亜.1,6,武藤 綾子,武藤 綾子.1
2.0,3.0,6.4,1.0,3.0,15.4,1.0,2.0,35.9,1.0,2.0,84.5,1.0,2.0,81.3,1.0,2.0,1820.0
2.0,4.0,13.7,1.0,4.0,33.0,1.0,4.0,78.1,1.0,3.0,145.9,1.0,3.0,113.8,1.0,3.0,2024.0
2.0,5.0,11.3,1.0,5.0,22.2,1.0,5.0,55.1,1.0,5.0,90.5,1.0,4.0,160.1,1.0,4.0,2942.0
2.0,6.0,103.5,1.0,6.0,184.3,1.0,6.0,291.3,1.0,6.0,315.9,1.0,6.0,293.7,1.0,5.0,2638.0
3.0,2.0,9.6,3.0,1.0,34.6,2.0,1.0,51.3,2.0,1.0,133.5,2.0,1.0,126.0,2.0,1.0,2500.0
3.0,4.0,22.0,3.0,4.0,76.9,2.0,4.0,128.0,2.0,3.0,214.4,2.0,3.0,151.1,2.0,3.0,2736.0
3.0,5.0,16.8,3.0,5.0,56.0,2.0,5.0,77.2,2.0,5.0,149.8,2.0,4.0,290.5,2.0,4.0,2422.0
3.0,6.0,121.0,3.0,6.0,318.1,2.0,6.0,318.3,2.0,6.0,537.2,2.0,6.0,501.3,2.0,5.0,2689.0
4.0,2.0,32.2,4.0,1.0,108.2,4.0,1.0,182.6,3.0,1.0,278.8,3.0,1.0,195.7,3.0,1.0,2534.0
4.0,3.0,42.1,4.0,3.0,169.8,4.0,2.0,186.3,3.0,2.0,268.6,3.0,2.0,182.1,3.0,2.0,2588.0
4.0,5.0,45.8,4.0,5.0,176.1,4.0,5.0,164.2,3.0,5.0,336.0,3.0,4.0,468.0,3.0,4.0,3484.0
4.0,6.0,175.7,4.0,6.0,571.0,4.0,6.0,544.1,3.0,6.0,896.6,3.0,6.0,744.5,3.0,5.0,3181.0
5.0,2.0,25.5,5.0,1.0,78.6,5.0,1.0,113.2,5.0,1.0,99.5,4.0,1.0,199.6,4.0,1.0,3850.0
5.0,3.0,31.3,5.0,3.0,112.2,5.0,2.0,112.8,5.0,2.0,115.1,4.0,2.0,241.9,4.0,2.0,2828.0
5.0,4.0,52.9,5.0,4.0,206.1,5.0,4.0,201.0,5.0,3.0,233.1,4.0,3.0,408.1,4.0,3.0,3495.0
5.0,6.0,153.9,5.0,6.0,476.9,5.0,6.0,346.5,5.0,6.0,260.6,4.0,6.0,441.4,4.0,5.0,3325.0
6.0,2.0,403.3,6.0,1.0,919.1,6.0,1.0,946.1,6.0,1.0,770.7,6.0,1.0,834.6,5.0,1.0,2417.0
6.0,3.0,447.2,6.0,3.0,1195.0,6.0,2.0,1194.0,6.0,2.0,830.8,6.0,2.0,908.5,5.0,2.0,3190.0
6.0,4.0,411.0,6.0,4.0,1291.0,6.0,4.0,1473.0,6.0,3.0,1308.0,6.0,3.0,1114.0,5.0,3.0,3346.0
6.0,5.0,445.2,6.0,5.0,1155.0,6.0,5.0,966.9,6.0,5.0,780.5,6.0,4.0,1158.0,5.0,4.0,3285.0
