1,植田 太一,植田 太一.1,2,宇野 博之,宇野 博之.1,3,今坂 晃広,今坂 晃広.1,4,竹田 広樹,竹田 広樹.1,5,角浜 修,角浜 修.1,6,奥田 誠,奥田 誠.1
2.0,3.0,6.6,1.0,3.0,24.9,1.0,2.0,34.3,1.0,2.0,126.6,1.0,2.0,286.4,1.0,2.0,607.1
2.0,4.0,12.8,1.0,4.0,41.9,1.0,4.0,43.4,1.0,3.0,155.4,1.0,3.0,222.2,1.0,3.0,789.9
2.0,5.0,20.3,1.0,5.0,52.5,1.0,5.0,53.0,1.0,5.0,138.6,1.0,4.0,327.2,1.0,4.0,1184.0
2.0,6.0,21.8,1.0,6.0,87.2,1.0,6.0,95.8,1.0,6.0,195.1,1.0,6.0,419.8,1.0,5.0,1386.0
3.0,2.0,7.1,3.0,1.0,48.4,2.0,1.0,58.3,2.0,1.0,224.6,2.0,1.0,472.4,2.0,1.0,816.3
3.0,4.0,11.1,3.0,4.0,90.7,2.0,4.0,103.3,2.0,3.0,368.2,2.0,3.0,522.9,2.0,3.0,1360.0
3.0,5.0,15.8,3.0,5.0,95.4,2.0,5.0,109.2,2.0,5.0,456.3,2.0,4.0,979.5,2.0,4.0,1933.0
3.0,6.0,25.4,3.0,6.0,161.6,2.0,6.0,170.8,2.0,6.0,475.5,2.0,6.0,879.8,2.0,5.0,1933.0
4.0,2.0,25.8,4.0,1.0,146.7,4.0,1.0,94.0,3.0,1.0,220.2,3.0,1.0,354.0,3.0,1.0,1255.0
4.0,3.0,26.1,4.0,3.0,194.6,4.0,2.0,166.9,3.0,2.0,331.6,3.0,2.0,597.3,3.0,2.0,1530.0
4.0,5.0,44.0,4.0,5.0,286.4,4.0,5.0,150.3,3.0,5.0,385.6,3.0,4.0,677.1,3.0,4.0,1224.0
4.0,6.0,62.0,4.0,6.0,403.6,4.0,6.0,181.1,3.0,6.0,424.6,3.0,6.0,1088.0,3.0,5.0,2260.0
5.0,2.0,58.2,5.0,1.0,207.5,5.0,1.0,149.1,5.0,1.0,213.2,4.0,1.0,403.6,4.0,1.0,1708.0
5.0,3.0,54.4,5.0,3.0,234.7,5.0,2.0,231.3,5.0,2.0,355.7,4.0,2.0,727.4,4.0,2.0,2160.0
5.0,4.0,88.4,5.0,4.0,404.7,5.0,4.0,281.4,5.0,3.0,454.9,4.0,3.0,713.2,4.0,3.0,1650.0
5.0,6.0,106.8,5.0,6.0,513.7,5.0,6.0,327.2,5.0,6.0,334.7,4.0,6.0,789.9,4.0,5.0,2533.0
6.0,2.0,103.3,6.0,1.0,427.1,6.0,1.0,410.4,6.0,1.0,513.7,6.0,1.0,947.9,5.0,1.0,1791.0
6.0,3.0,120.2,6.0,3.0,641.6,6.0,2.0,612.2,6.0,2.0,680.2,6.0,2.0,1245.0,5.0,2.0,2099.0
6.0,4.0,173.8,6.0,4.0,816.3,6.0,4.0,670.9,6.0,3.0,839.6,6.0,3.0,1484.0,5.0,3.0,1933.0
6.0,5.0,198.5,6.0,5.0,789.9,6.0,5.0,667.8,6.0,5.0,592.4,6.0,4.0,1563.0,5.0,4.0,2369.0
