1,川尻 泰輔,川尻 泰輔.1,2,松本 浩貴,松本 浩貴.1,3,平見 真彦,平見 真彦.1,4,今出 晋二,今出 晋二.1,5,河野 真也,河野 真也.1,6,立間 充宏,立間 充宏.1
2.0,3.0,26.9,1.0,3.0,113.8,1.0,2.0,60.8,1.0,2.0,310.7,1.0,2.0,155.2,1.0,2.0,219.4
2.0,4.0,68.1,1.0,4.0,217.3,1.0,4.0,55.9,1.0,3.0,211.8,1.0,3.0,66.3,1.0,3.0,75.3
2.0,5.0,45.0,1.0,5.0,171.0,1.0,5.0,19.2,1.0,5.0,211.6,1.0,4.0,227.3,1.0,4.0,267.7
2.0,6.0,53.3,1.0,6.0,171.9,1.0,6.0,20.7,1.0,6.0,219.7,1.0,6.0,67.0,1.0,5.0,100.7
3.0,2.0,20.9,3.0,1.0,236.7,2.0,1.0,180.4,2.0,1.0,452.4,2.0,1.0,365.8,2.0,1.0,419.3
3.0,4.0,22.3,3.0,4.0,493.7,2.0,4.0,309.2,2.0,3.0,685.3,2.0,3.0,469.7,2.0,3.0,526.3
3.0,5.0,9.3,3.0,5.0,327.4,2.0,5.0,198.3,2.0,5.0,631.2,2.0,4.0,932.3,2.0,4.0,831.1
3.0,6.0,10.3,3.0,6.0,342.0,2.0,6.0,182.2,2.0,6.0,646.7,2.0,6.0,342.0,2.0,5.0,488.5
4.0,2.0,79.5,4.0,1.0,377.9,4.0,1.0,142.1,3.0,1.0,297.2,3.0,1.0,110.6,3.0,1.0,80.7
4.0,3.0,45.1,4.0,3.0,577.6,4.0,2.0,338.2,3.0,2.0,672.8,3.0,2.0,338.8,3.0,2.0,264.6
4.0,5.0,58.3,4.0,5.0,690.5,4.0,5.0,124.4,3.0,5.0,290.1,3.0,4.0,312.3,3.0,4.0,193.7
4.0,6.0,62.3,4.0,6.0,663.1,4.0,6.0,111.7,3.0,6.0,283.4,3.0,6.0,85.9,3.0,5.0,72.6
5.0,2.0,48.0,5.0,1.0,386.6,5.0,1.0,48.6,5.0,1.0,248.2,4.0,1.0,369.5,4.0,1.0,501.8
5.0,3.0,18.5,5.0,3.0,485.9,5.0,2.0,165.0,5.0,2.0,590.6,4.0,2.0,904.8,4.0,2.0,827.3
5.0,4.0,60.6,5.0,4.0,862.3,5.0,4.0,130.9,5.0,3.0,301.1,4.0,3.0,371.8,4.0,3.0,527.8
5.0,6.0,23.7,5.0,6.0,493.7,5.0,6.0,33.7,5.0,6.0,188.0,4.0,6.0,287.9,4.0,5.0,438.3
6.0,2.0,83.3,6.0,1.0,417.4,6.0,1.0,41.3,6.0,1.0,301.6,6.0,1.0,94.0,5.0,1.0,120.6
6.0,3.0,27.2,6.0,3.0,501.8,6.0,2.0,145.2,6.0,2.0,656.0,6.0,2.0,256.8,5.0,2.0,336.4
6.0,4.0,89.2,6.0,4.0,838.7,6.0,4.0,108.9,6.0,3.0,321.6,6.0,3.0,89.1,5.0,3.0,90.3
6.0,5.0,37.4,6.0,5.0,554.9,6.0,5.0,36.7,6.0,5.0,245.5,6.0,4.0,274.5,5.0,4.0,325.1
