1,本橋 克洋,本橋 克洋.1,2,河野 真也,河野 真也.1,3,山田 竜一,山田 竜一.1,4,上野 俊樹,上野 俊樹.1,5,小坂 尚哉,小坂 尚哉.1,6,平見 真彦,平見 真彦.1
2.0,3.0,13.0,1.0,3.0,19.8,1.0,2.0,65.9,1.0,2.0,727.4,1.0,2.0,44.5,1.0,2.0,681.2
2.0,4.0,63.6,1.0,4.0,82.0,1.0,4.0,201.9,1.0,3.0,1059.0,1.0,3.0,77.9,1.0,3.0,1210.0
2.0,5.0,8.4,1.0,5.0,12.7,1.0,5.0,49.3,1.0,5.0,683.0,1.0,4.0,288.7,1.0,4.0,2025.0
2.0,6.0,32.6,1.0,6.0,39.2,1.0,6.0,129.0,1.0,6.0,1040.0,1.0,6.0,70.4,1.0,5.0,541.8
3.0,2.0,20.2,3.0,1.0,36.6,2.0,1.0,75.2,2.0,1.0,954.0,2.0,1.0,62.8,2.0,1.0,680.4
3.0,4.0,84.8,3.0,4.0,92.8,2.0,4.0,142.1,2.0,3.0,957.5,2.0,3.0,99.6,2.0,3.0,897.1
3.0,5.0,18.1,3.0,5.0,26.2,2.0,5.0,45.0,2.0,5.0,692.0,2.0,4.0,346.7,2.0,4.0,1517.0
3.0,6.0,59.6,3.0,6.0,54.2,2.0,6.0,90.7,2.0,6.0,954.0,2.0,6.0,88.7,2.0,5.0,513.2
4.0,2.0,160.1,4.0,1.0,257.5,4.0,1.0,452.4,3.0,1.0,1272.0,3.0,1.0,122.9,3.0,1.0,1755.0
4.0,3.0,188.1,4.0,3.0,206.2,4.0,2.0,343.0,3.0,2.0,901.7,3.0,2.0,129.2,3.0,2.0,1207.0
4.0,5.0,149.8,4.0,5.0,179.5,4.0,5.0,259.4,3.0,5.0,831.9,3.0,4.0,433.4,3.0,4.0,2250.0
4.0,6.0,243.2,4.0,6.0,278.7,4.0,6.0,437.4,3.0,6.0,1290.0,3.0,6.0,145.7,3.0,5.0,991.7
5.0,2.0,14.3,5.0,1.0,30.7,5.0,1.0,65.9,5.0,1.0,645.3,4.0,1.0,663.2,4.0,1.0,2531.0
5.0,3.0,22.9,5.0,3.0,34.1,5.0,2.0,59.9,5.0,2.0,657.4,4.0,2.0,676.0,4.0,2.0,1943.0
5.0,4.0,122.2,5.0,4.0,118.2,5.0,4.0,190.9,5.0,3.0,784.8,4.0,3.0,742.7,4.0,3.0,2771.0
5.0,6.0,32.2,5.0,6.0,42.4,5.0,6.0,82.7,5.0,6.0,610.2,4.0,6.0,588.4,4.0,5.0,2212.0
6.0,2.0,124.3,6.0,1.0,162.1,6.0,1.0,378.3,6.0,1.0,1630.0,6.0,1.0,126.4,5.0,1.0,511.2
6.0,3.0,182.8,6.0,3.0,171.4,6.0,2.0,276.0,6.0,2.0,1336.0,6.0,2.0,134.3,5.0,2.0,490.3
6.0,4.0,301.4,6.0,4.0,365.7,6.0,4.0,697.5,6.0,3.0,1822.0,6.0,3.0,207.0,5.0,3.0,791.9
6.0,5.0,117.0,6.0,5.0,115.9,6.0,5.0,201.3,6.0,5.0,1265.0,6.0,4.0,527.6,5.0,4.0,1595.0
