1,岸本 隆,岸本 隆.1,2,山田 竜一,山田 竜一.1,3,植田 太一,植田 太一.1,4,松本 浩貴,松本 浩貴.1,5,金子 萌,金子 萌.1,6,今坂 晃広,今坂 晃広.1
2.0,3.0,7.3,1.0,3.0,24.5,1.0,2.0,35.4,1.0,2.0,406.2,1.0,2.0,40.4,1.0,2.0,837.0
2.0,4.0,32.4,1.0,4.0,61.9,1.0,4.0,109.0,1.0,3.0,625.8,1.0,3.0,48.3,1.0,3.0,1251.0
2.0,5.0,10.3,1.0,5.0,23.5,1.0,5.0,34.6,1.0,5.0,454.0,1.0,4.0,203.4,1.0,4.0,1654.0
2.0,6.0,62.5,1.0,6.0,94.0,1.0,6.0,145.4,1.0,6.0,606.7,1.0,6.0,107.2,1.0,5.0,873.8
3.0,2.0,10.1,3.0,1.0,41.8,2.0,1.0,52.9,2.0,1.0,518.4,2.0,1.0,58.0,2.0,1.0,793.9
3.0,4.0,42.9,3.0,4.0,129.3,2.0,4.0,140.9,2.0,3.0,643.2,2.0,3.0,62.3,2.0,3.0,1263.0
3.0,5.0,13.5,3.0,5.0,38.5,2.0,5.0,43.5,2.0,5.0,518.4,2.0,4.0,223.0,2.0,4.0,1758.0
3.0,6.0,76.7,3.0,6.0,136.8,2.0,6.0,129.0,2.0,6.0,767.6,2.0,6.0,123.9,2.0,5.0,723.6
4.0,2.0,91.4,4.0,1.0,256.8,4.0,1.0,301.3,3.0,1.0,812.5,3.0,1.0,63.3,3.0,1.0,2105.0
4.0,3.0,112.7,4.0,3.0,299.4,4.0,2.0,300.0,3.0,2.0,698.2,3.0,2.0,79.2,3.0,2.0,1715.0
4.0,5.0,99.5,4.0,5.0,249.8,4.0,5.0,239.5,3.0,5.0,677.7,3.0,4.0,284.7,3.0,4.0,2835.0
4.0,6.0,227.0,4.0,6.0,470.9,4.0,6.0,482.4,3.0,6.0,964.8,3.0,6.0,183.3,3.0,5.0,1060.0
5.0,2.0,17.2,5.0,1.0,45.7,5.0,1.0,52.5,5.0,1.0,445.3,4.0,1.0,480.7,4.0,1.0,2573.0
5.0,3.0,21.1,5.0,3.0,44.7,5.0,2.0,50.9,5.0,2.0,402.7,4.0,2.0,532.3,4.0,2.0,2956.0
5.0,4.0,89.0,5.0,4.0,174.9,5.0,4.0,169.2,5.0,3.0,526.3,4.0,3.0,588.7,4.0,3.0,2835.0
5.0,6.0,80.9,5.0,6.0,136.2,5.0,6.0,133.4,5.0,6.0,528.3,4.0,6.0,637.3,4.0,5.0,2437.0
6.0,2.0,223.7,6.0,1.0,490.9,6.0,1.0,583.7,6.0,1.0,1263.0,6.0,1.0,209.8,5.0,1.0,868.3
6.0,3.0,254.9,6.0,3.0,524.3,6.0,2.0,428.8,6.0,2.0,1543.0,6.0,2.0,217.7,5.0,2.0,759.2
6.0,4.0,421.0,6.0,4.0,932.5,6.0,4.0,831.9,6.0,3.0,1615.0,6.0,3.0,284.1,5.0,3.0,896.4
6.0,5.0,216.0,6.0,5.0,385.9,6.0,5.0,368.5,6.0,5.0,1348.0,6.0,4.0,569.4,5.0,4.0,1929.0
