1,海老澤　泰行,海老澤　泰行.1,2,今出 晋二,今出 晋二.1,3,久富 政弘,久富 政弘.1,4,平見 真彦,平見 真彦.1,5,松村 敏,松村 敏.1,6,角浜 修,角浜 修.1
2.0,3.0,66.6,1.0,3.0,188.3,1.0,2.0,226.8,1.0,2.0,169.5,1.0,2.0,36.6,1.0,2.0,1083.0
2.0,4.0,57.3,1.0,4.0,184.3,1.0,4.0,94.0,1.0,3.0,98.4,1.0,3.0,24.1,1.0,3.0,1490.0
2.0,5.0,41.4,1.0,5.0,119.2,1.0,5.0,61.3,1.0,5.0,35.7,1.0,4.0,13.7,1.0,4.0,1199.0
2.0,6.0,207.8,1.0,6.0,534.3,1.0,6.0,420.1,1.0,6.0,181.3,1.0,6.0,43.8,1.0,5.0,794.8
3.0,2.0,65.1,3.0,1.0,304.7,2.0,1.0,335.2,2.0,1.0,349.3,2.0,1.0,80.0,2.0,1.0,1207.0
3.0,4.0,35.0,3.0,4.0,386.1,2.0,4.0,302.8,2.0,3.0,438.5,2.0,3.0,99.7,2.0,3.0,2847.0
3.0,5.0,20.2,3.0,5.0,237.5,2.0,5.0,196.2,2.0,5.0,168.3,2.0,4.0,68.9,2.0,4.0,2725.0
3.0,6.0,159.9,3.0,6.0,1020.0,2.0,6.0,949.0,2.0,6.0,609.4,2.0,6.0,138.9,2.0,5.0,1630.0
4.0,2.0,61.1,4.0,1.0,368.2,4.0,1.0,124.7,3.0,1.0,135.2,3.0,1.0,47.9,3.0,1.0,1526.0
4.0,3.0,35.4,4.0,3.0,450.9,4.0,2.0,325.5,3.0,2.0,357.9,3.0,2.0,104.9,3.0,2.0,2725.0
4.0,5.0,16.3,4.0,5.0,215.0,4.0,5.0,63.2,3.0,5.0,70.0,3.0,4.0,41.4,3.0,4.0,1297.0
4.0,6.0,120.0,4.0,6.0,887.2,4.0,6.0,350.0,3.0,6.0,356.5,3.0,6.0,114.9,3.0,5.0,939.7
5.0,2.0,30.6,5.0,1.0,139.9,5.0,1.0,60.8,5.0,1.0,25.2,4.0,1.0,17.5,4.0,1.0,1589.0
5.0,3.0,16.6,5.0,3.0,178.7,5.0,2.0,145.1,5.0,2.0,71.6,4.0,2.0,50.4,4.0,2.0,2725.0
5.0,4.0,13.1,5.0,4.0,151.4,5.0,4.0,53.9,5.0,3.0,40.4,4.0,3.0,25.5,4.0,3.0,1222.0
5.0,6.0,57.7,5.0,6.0,358.5,5.0,6.0,171.5,5.0,6.0,49.0,4.0,6.0,40.2,4.0,5.0,540.4
6.0,2.0,390.1,6.0,1.0,1324.0,6.0,1.0,988.4,6.0,1.0,392.5,6.0,1.0,104.1,5.0,1.0,678.8
6.0,3.0,409.3,6.0,3.0,2218.0,6.0,2.0,1888.0,6.0,2.0,760.0,6.0,2.0,170.3,5.0,2.0,1009.0
6.0,4.0,363.3,6.0,4.0,1870.0,6.0,4.0,730.9,6.0,3.0,578.0,6.0,3.0,141.7,5.0,3.0,686.2
6.0,5.0,212.6,6.0,5.0,998.7,6.0,5.0,524.0,6.0,5.0,185.5,6.0,4.0,89.8,5.0,4.0,440.5
