1,坂東 満,坂東 満.1,2,角浜 修,角浜 修.1,3,宇野 博之,宇野 博之.1,4,加藤 翔,加藤 翔.1,5,山下 大輝,山下 大輝.1,6,藤森 拓海,藤森 拓海.1
2.0,3.0,8.3,1.0,3.0,25.3,1.0,2.0,56.9,1.0,2.0,134.0,1.0,2.0,70.9,1.0,2.0,1174.0
2.0,4.0,14.7,1.0,4.0,33.3,1.0,4.0,66.7,1.0,3.0,208.8,1.0,3.0,68.0,1.0,3.0,1603.0
2.0,5.0,11.7,1.0,5.0,28.1,1.0,5.0,44.6,1.0,5.0,151.2,1.0,4.0,111.1,1.0,4.0,1553.0
2.0,6.0,168.2,1.0,6.0,230.8,1.0,6.0,338.8,1.0,6.0,434.6,1.0,6.0,256.6,1.0,5.0,1380.0
3.0,2.0,10.6,3.0,1.0,51.0,2.0,1.0,74.7,2.0,1.0,170.0,2.0,1.0,98.9,2.0,1.0,1263.0
3.0,4.0,14.3,3.0,4.0,96.4,2.0,4.0,126.4,2.0,3.0,276.1,2.0,3.0,127.2,2.0,3.0,1775.0
3.0,5.0,10.4,3.0,5.0,70.5,2.0,5.0,86.0,2.0,5.0,203.9,2.0,4.0,190.6,2.0,4.0,1491.0
3.0,6.0,160.1,3.0,6.0,450.4,2.0,6.0,626.4,2.0,6.0,554.2,2.0,6.0,369.9,2.0,5.0,1694.0
4.0,2.0,29.4,4.0,1.0,83.4,4.0,1.0,164.7,3.0,1.0,281.8,3.0,1.0,97.3,3.0,1.0,1713.0
4.0,3.0,37.4,4.0,3.0,137.0,4.0,2.0,187.7,3.0,2.0,273.0,3.0,2.0,134.4,3.0,2.0,1961.0
4.0,5.0,37.0,4.0,5.0,106.6,4.0,5.0,150.6,3.0,5.0,263.8,3.0,4.0,208.2,3.0,4.0,1911.0
4.0,6.0,195.4,4.0,6.0,387.2,4.0,6.0,674.6,3.0,6.0,920.3,3.0,6.0,552.2,3.0,5.0,1887.0
5.0,2.0,21.9,5.0,1.0,68.2,5.0,1.0,77.4,5.0,1.0,184.9,4.0,1.0,173.7,4.0,1.0,1863.0
5.0,3.0,22.7,5.0,3.0,97.3,5.0,2.0,97.1,5.0,2.0,185.9,4.0,2.0,198.2,4.0,2.0,1656.0
5.0,4.0,42.5,5.0,4.0,143.6,5.0,4.0,158.7,5.0,3.0,267.6,4.0,3.0,222.8,4.0,3.0,1988.0
5.0,6.0,185.6,5.0,6.0,455.9,5.0,6.0,458.7,5.0,6.0,442.4,4.0,6.0,371.8,4.0,5.0,2070.0
6.0,2.0,534.4,6.0,1.0,832.9,6.0,1.0,1174.0,6.0,1.0,716.8,6.0,1.0,566.9,5.0,1.0,1476.0
6.0,3.0,540.2,6.0,3.0,1065.0,6.0,2.0,1393.0,6.0,2.0,784.7,6.0,2.0,639.9,5.0,2.0,1603.0
6.0,4.0,530.6,6.0,4.0,842.3,6.0,4.0,1367.0,6.0,3.0,1007.0,6.0,3.0,805.9,5.0,3.0,1586.0
6.0,5.0,634.4,6.0,5.0,871.9,6.0,5.0,1057.0,6.0,5.0,793.0,6.0,4.0,861.8,5.0,4.0,1818.0
