1,本橋 克洋,本橋 克洋.1,2,菊池 峰晴,菊池 峰晴.1,3,高橋 勲,高橋 勲.1,4,中嶋 達也,中嶋 達也.1,5,出畑 孝成,出畑 孝成.1,6,小坂 尚哉,小坂 尚哉.1
2.0,3.0,16.4,1.0,3.0,34.8,1.0,2.0,93.9,1.0,2.0,90.5,1.0,2.0,1279.0,1.0,2.0,26.9
2.0,4.0,22.4,1.0,4.0,40.4,1.0,4.0,115.4,1.0,3.0,150.8,1.0,3.0,1461.0,1.0,3.0,47.2
2.0,5.0,211.8,1.0,5.0,357.6,1.0,5.0,525.3,1.0,5.0,348.9,1.0,4.0,1822.0,1.0,4.0,43.7
2.0,6.0,9.2,1.0,6.0,20.1,1.0,6.0,56.9,1.0,6.0,45.4,1.0,6.0,1156.0,1.0,5.0,252.3
3.0,2.0,25.5,3.0,1.0,98.6,2.0,1.0,153.4,2.0,1.0,148.8,2.0,1.0,1919.0,2.0,1.0,49.5
3.0,4.0,38.6,3.0,4.0,221.4,2.0,4.0,263.1,2.0,3.0,335.5,2.0,3.0,2690.0,2.0,3.0,107.0
3.0,5.0,211.8,3.0,5.0,947.0,2.0,5.0,1078.0,2.0,5.0,827.3,2.0,4.0,2742.0,2.0,4.0,86.4
3.0,6.0,16.1,3.0,6.0,118.9,2.0,6.0,122.7,2.0,6.0,94.4,2.0,6.0,1894.0,2.0,5.0,528.2
4.0,2.0,40.5,4.0,1.0,101.0,4.0,1.0,209.8,3.0,1.0,266.3,3.0,1.0,1755.0,3.0,1.0,103.6
4.0,3.0,53.4,4.0,3.0,268.8,4.0,2.0,320.6,3.0,2.0,428.4,3.0,2.0,2879.0,3.0,2.0,130.9
4.0,5.0,262.4,4.0,5.0,891.3,4.0,5.0,989.4,3.0,5.0,914.0,3.0,4.0,2439.0,3.0,4.0,179.2
4.0,6.0,24.0,4.0,6.0,90.9,4.0,6.0,153.2,3.0,6.0,187.3,3.0,6.0,2593.0,3.0,5.0,834.5
5.0,2.0,429.7,5.0,1.0,1468.0,5.0,1.0,1320.0,5.0,1.0,736.3,4.0,1.0,2164.0,4.0,1.0,49.4
5.0,3.0,495.5,5.0,3.0,1693.0,5.0,2.0,1491.0,5.0,2.0,975.9,4.0,2.0,2768.0,4.0,2.0,61.8
5.0,4.0,527.3,5.0,4.0,1777.0,5.0,4.0,1693.0,5.0,3.0,1411.0,4.0,3.0,2570.0,4.0,3.0,122.9
5.0,6.0,421.5,5.0,6.0,1345.0,5.0,6.0,1377.0,5.0,6.0,565.6,4.0,6.0,1857.0,4.0,5.0,211.5
6.0,2.0,10.2,6.0,1.0,40.4,6.0,1.0,89.4,6.0,1.0,37.6,6.0,1.0,1432.0,5.0,1.0,571.2
6.0,3.0,16.4,6.0,3.0,104.1,6.0,2.0,109.2,6.0,2.0,47.4,6.0,2.0,1985.0,5.0,2.0,663.4
6.0,4.0,20.2,6.0,4.0,79.4,6.0,4.0,130.6,6.0,3.0,104.5,6.0,3.0,2665.0,5.0,3.0,1184.0
6.0,5.0,202.6,6.0,5.0,660.3,6.0,5.0,734.4,6.0,5.0,183.1,6.0,4.0,2249.0,5.0,4.0,969.4
