1,大熊 辰弥,大熊 辰弥.1,2,仲谷 颯仁,仲谷 颯仁.1,3,森作 雄大,森作 雄大.1,4,仲本 舜,仲本 舜.1,5,佐竹 太一,佐竹 太一.1,6,多田 有佑,多田 有佑.1
2.0,3.0,14.0,1.0,3.0,7.3,1.0,2.0,56.2,1.0,2.0,406.6,1.0,2.0,219.1,1.0,2.0,1251.0
2.0,4.0,53.6,1.0,4.0,29.0,1.0,4.0,212.1,1.0,3.0,519.0,1.0,3.0,320.0,1.0,3.0,2166.0
2.0,5.0,22.4,1.0,5.0,11.6,1.0,5.0,105.8,1.0,5.0,608.8,1.0,4.0,682.6,1.0,4.0,1681.0
2.0,6.0,121.5,1.0,6.0,36.8,1.0,6.0,306.9,1.0,6.0,1014.0,1.0,6.0,465.4,1.0,5.0,2619.0
3.0,2.0,22.7,3.0,1.0,10.1,2.0,1.0,34.2,2.0,1.0,332.2,2.0,1.0,163.4,2.0,1.0,1501.0
3.0,4.0,97.4,3.0,4.0,24.3,2.0,4.0,74.9,2.0,3.0,327.4,2.0,3.0,110.2,2.0,3.0,1062.0
3.0,5.0,46.2,3.0,5.0,7.9,2.0,5.0,31.7,2.0,5.0,333.2,2.0,4.0,354.2,2.0,4.0,1942.0
3.0,6.0,199.7,3.0,6.0,26.6,2.0,6.0,91.5,2.0,6.0,618.9,2.0,6.0,283.0,2.0,5.0,1115.0
4.0,2.0,133.7,4.0,1.0,74.5,4.0,1.0,347.6,3.0,1.0,682.6,3.0,1.0,331.2,3.0,1.0,3044.0
4.0,3.0,161.3,4.0,3.0,57.0,4.0,2.0,217.4,3.0,2.0,469.3,3.0,2.0,146.6,3.0,2.0,1357.0
4.0,5.0,258.9,4.0,5.0,73.1,4.0,5.0,334.2,3.0,5.0,761.0,3.0,4.0,541.5,3.0,4.0,2964.0
4.0,6.0,428.2,4.0,6.0,144.9,4.0,6.0,636.3,3.0,6.0,1062.0,3.0,6.0,514.3,3.0,5.0,1846.0
5.0,2.0,76.9,5.0,1.0,28.2,5.0,1.0,151.1,5.0,1.0,873.1,4.0,1.0,1390.0,4.0,1.0,2503.0
5.0,3.0,107.2,5.0,3.0,17.3,5.0,2.0,77.4,5.0,2.0,519.0,4.0,2.0,717.4,4.0,2.0,2888.0
5.0,4.0,275.4,5.0,4.0,65.4,5.0,4.0,323.6,5.0,3.0,771.5,4.0,3.0,930.9,4.0,3.0,3884.0
5.0,6.0,337.2,5.0,6.0,48.4,5.0,6.0,247.5,5.0,6.0,1462.0,4.0,6.0,2396.0,4.0,5.0,6257.0
6.0,2.0,577.6,6.0,1.0,176.5,6.0,1.0,873.1,6.0,1.0,1462.0,6.0,1.0,1093.0,5.0,1.0,3218.0
6.0,3.0,750.9,6.0,3.0,95.4,6.0,2.0,405.1,6.0,2.0,1462.0,6.0,2.0,605.5,5.0,2.0,1357.0
6.0,4.0,938.6,6.0,4.0,326.4,6.0,4.0,1149.0,6.0,3.0,1656.0,6.0,3.0,908.3,5.0,3.0,2166.0
6.0,5.0,893.9,6.0,5.0,102.6,6.0,5.0,625.7,6.0,5.0,2619.0,6.0,4.0,2503.0,5.0,4.0,6257.0
