1,芝田 浩治,芝田 浩治.1,2,寺島 吉彦,寺島 吉彦.1,3,廣中 良一,廣中 良一.1,4,黒井 達矢,黒井 達矢.1,5,酒見 峻介,酒見 峻介.1,6,笹木 香吾,笹木 香吾.1
2.0,3.0,31.0,1.0,3.0,153.9,1.0,2.0,342.3,1.0,2.0,22.1,1.0,2.0,67.5,1.0,2.0,1067.0
2.0,4.0,9.0,1.0,4.0,49.9,1.0,4.0,228.0,1.0,3.0,79.8,1.0,3.0,179.7,1.0,3.0,2087.0
2.0,5.0,22.0,1.0,5.0,82.1,1.0,5.0,303.7,1.0,5.0,15.5,1.0,4.0,44.7,1.0,4.0,945.2
2.0,6.0,84.5,1.0,6.0,245.6,1.0,6.0,786.7,1.0,6.0,79.4,1.0,6.0,101.9,1.0,5.0,924.5
3.0,2.0,44.3,3.0,1.0,443.9,2.0,1.0,652.9,2.0,1.0,69.5,2.0,1.0,133.6,2.0,1.0,1900.0
3.0,4.0,30.4,3.0,4.0,617.9,2.0,4.0,749.5,2.0,3.0,283.5,2.0,3.0,418.0,2.0,3.0,3220.0
3.0,5.0,55.3,3.0,5.0,742.2,2.0,5.0,1007.0,2.0,5.0,78.4,2.0,4.0,135.4,2.0,4.0,1674.0
3.0,6.0,166.9,3.0,6.0,1439.0,2.0,6.0,1617.0,2.0,6.0,222.8,2.0,6.0,255.7,2.0,5.0,2159.0
4.0,2.0,7.2,4.0,1.0,96.4,4.0,1.0,321.4,3.0,1.0,237.6,3.0,1.0,465.6,3.0,1.0,3725.0
4.0,3.0,20.3,4.0,3.0,383.0,4.0,2.0,577.5,3.0,2.0,470.8,3.0,2.0,735.0,3.0,2.0,3877.0
4.0,5.0,7.9,4.0,5.0,144.2,4.0,5.0,429.3,3.0,5.0,306.4,3.0,4.0,546.7,3.0,4.0,3619.0
4.0,6.0,50.8,4.0,6.0,400.4,4.0,6.0,865.6,3.0,6.0,589.1,3.0,6.0,790.0,3.0,5.0,3653.0
5.0,2.0,28.2,5.0,1.0,218.8,5.0,1.0,582.8,5.0,1.0,18.6,4.0,1.0,42.6,4.0,1.0,1180.0
5.0,3.0,61.9,5.0,3.0,796.6,5.0,2.0,1041.0,5.0,2.0,29.5,4.0,2.0,71.4,4.0,2.0,1551.0
5.0,4.0,21.0,5.0,4.0,225.6,5.0,4.0,644.0,5.0,3.0,151.4,4.0,3.0,192.7,4.0,3.0,2794.0
5.0,6.0,77.2,5.0,6.0,692.1,5.0,6.0,1221.0,5.0,6.0,38.8,4.0,6.0,92.3,4.0,5.0,1120.0
6.0,2.0,251.9,6.0,1.0,1098.0,6.0,1.0,1871.0,6.0,1.0,203.1,6.0,1.0,192.7,5.0,1.0,831.5
6.0,3.0,381.9,6.0,3.0,2360.0,6.0,2.0,2550.0,6.0,2.0,323.6,6.0,2.0,266.4,5.0,2.0,1155.0
6.0,4.0,219.5,6.0,4.0,1169.0,6.0,4.0,2261.0,6.0,3.0,614.9,6.0,3.0,542.0,5.0,3.0,1792.0
6.0,5.0,243.9,6.0,5.0,1357.0,6.0,5.0,2054.0,6.0,5.0,180.0,6.0,4.0,233.5,5.0,4.0,881.6
