1,渡邉 和将,渡邉 和将.1,2,平石 和男,平石 和男.1,3,大熊 辰弥,大熊 辰弥.1,4,岡崎 恭裕,岡崎 恭裕.1,5,桂林 寛,桂林 寛.1,6,芝田 浩治,芝田 浩治.1
2.0,3.0,37.3,1.0,3.0,256.0,1.0,2.0,710.7,1.0,2.0,18.5,1.0,2.0,255.0,1.0,2.0,597.3
2.0,4.0,7.2,1.0,4.0,64.7,1.0,4.0,601.0,1.0,3.0,112.6,1.0,3.0,593.6,1.0,3.0,1497.0
2.0,5.0,30.6,1.0,5.0,177.4,1.0,5.0,946.7,1.0,5.0,16.6,1.0,4.0,132.8,1.0,4.0,312.0
2.0,6.0,24.6,1.0,6.0,164.1,1.0,6.0,1215.0,1.0,6.0,16.0,1.0,6.0,215.1,1.0,5.0,680.4
3.0,2.0,83.0,3.0,1.0,601.8,2.0,1.0,981.6,2.0,1.0,58.0,2.0,1.0,499.5,2.0,1.0,905.5
3.0,4.0,62.9,3.0,4.0,668.1,2.0,4.0,661.6,2.0,3.0,282.9,2.0,3.0,1388.0,2.0,3.0,2868.0
3.0,5.0,157.9,3.0,5.0,1404.0,2.0,5.0,1555.0,2.0,5.0,102.6,2.0,4.0,514.5,2.0,4.0,793.1
3.0,6.0,155.4,3.0,6.0,1244.0,2.0,6.0,1735.0,2.0,6.0,94.8,2.0,6.0,637.8,2.0,5.0,1754.0
4.0,2.0,5.5,4.0,1.0,113.5,4.0,1.0,811.9,3.0,1.0,426.9,3.0,1.0,1520.0,3.0,1.0,2801.0
4.0,3.0,30.1,4.0,3.0,453.6,4.0,2.0,770.1,3.0,2.0,521.2,3.0,2.0,2197.0,3.0,2.0,3548.0
4.0,5.0,11.4,4.0,5.0,325.4,4.0,5.0,1704.0,3.0,5.0,547.4,3.0,4.0,1807.0,3.0,4.0,2706.0
4.0,6.0,9.8,4.0,6.0,250.0,4.0,6.0,1487.0,3.0,6.0,558.3,3.0,6.0,2055.0,3.0,5.0,3801.0
5.0,2.0,59.6,5.0,1.0,475.2,5.0,1.0,1525.0,5.0,1.0,27.0,4.0,1.0,130.3,4.0,1.0,309.8
5.0,3.0,161.7,5.0,3.0,1312.0,5.0,2.0,2047.0,5.0,2.0,58.1,4.0,2.0,240.4,4.0,2.0,581.3
5.0,4.0,39.4,5.0,4.0,589.9,5.0,4.0,2082.0,5.0,3.0,248.2,4.0,3.0,716.0,4.0,3.0,1570.0
5.0,6.0,79.2,5.0,6.0,841.9,5.0,6.0,2721.0,5.0,6.0,31.7,4.0,6.0,140.3,4.0,5.0,419.1
6.0,2.0,71.8,6.0,1.0,537.6,6.0,1.0,2187.0,6.0,1.0,39.5,6.0,1.0,383.8,5.0,1.0,853.9
6.0,3.0,228.6,6.0,3.0,1451.0,6.0,2.0,2359.0,6.0,2.0,74.0,6.0,2.0,598.8,5.0,2.0,1434.0
6.0,4.0,50.1,6.0,4.0,543.1,6.0,4.0,2055.0,6.0,3.0,305.5,6.0,3.0,1244.0,5.0,3.0,2975.0
6.0,5.0,128.0,6.0,5.0,1043.0,6.0,5.0,3421.0,6.0,5.0,49.6,6.0,4.0,283.1,5.0,4.0,494.8
