1,萩原 秀人,萩原 秀人.1,2,小林 文彦,小林 文彦.1,3,岡部 浩,岡部 浩.1,4,多田 有佑,多田 有佑.1,5,川田 正人,川田 正人.1,6,渡邉 和将,渡邉 和将.1
2.0,3.0,9.2,1.0,3.0,96.6,1.0,2.0,326.9,1.0,2.0,244.7,1.0,2.0,422.1,1.0,2.0,20.8
2.0,4.0,15.5,1.0,4.0,164.9,1.0,4.0,570.7,1.0,3.0,564.8,1.0,3.0,931.8,1.0,3.0,46.0
2.0,5.0,15.7,1.0,5.0,145.5,1.0,5.0,472.7,1.0,5.0,278.7,1.0,4.0,872.8,1.0,4.0,54.5
2.0,6.0,6.3,1.0,6.0,50.4,1.0,6.0,262.4,1.0,6.0,145.3,1.0,6.0,298.8,1.0,5.0,57.9
3.0,2.0,21.4,3.0,1.0,336.3,2.0,1.0,440.9,2.0,1.0,588.1,2.0,1.0,762.4,2.0,1.0,38.5
3.0,4.0,46.0,3.0,4.0,718.4,2.0,4.0,787.3,2.0,3.0,1194.0,2.0,3.0,1753.0,2.0,3.0,100.5
3.0,5.0,48.7,3.0,5.0,866.9,2.0,5.0,903.5,2.0,5.0,1007.0,2.0,4.0,1819.0,2.0,4.0,130.6
3.0,6.0,23.2,3.0,6.0,373.1,2.0,6.0,432.5,2.0,6.0,482.8,2.0,6.0,578.4,2.0,5.0,115.6
4.0,2.0,28.5,4.0,1.0,518.5,4.0,1.0,1138.0,3.0,1.0,1428.0,3.0,1.0,1472.0,3.0,1.0,155.6
4.0,3.0,55.5,4.0,3.0,1092.0,4.0,2.0,1220.0,3.0,2.0,1483.0,3.0,2.0,2505.0,3.0,2.0,200.4
4.0,5.0,52.9,4.0,5.0,1102.0,4.0,5.0,1240.0,3.0,5.0,1594.0,3.0,4.0,2679.0,3.0,4.0,349.4
4.0,6.0,24.5,4.0,6.0,441.9,4.0,6.0,952.6,3.0,6.0,1034.0,3.0,6.0,2063.0,3.0,5.0,394.0
5.0,2.0,49.0,5.0,1.0,618.2,5.0,1.0,1099.0,5.0,1.0,430.5,4.0,1.0,947.9,4.0,1.0,120.1
5.0,3.0,86.6,5.0,3.0,1316.0,5.0,2.0,1881.0,5.0,2.0,754.9,4.0,2.0,1377.0,4.0,2.0,172.8
5.0,4.0,99.9,5.0,4.0,1483.0,5.0,4.0,2096.0,5.0,3.0,1372.0,4.0,3.0,2143.0,4.0,3.0,334.8
5.0,6.0,38.5,5.0,6.0,564.0,5.0,6.0,1543.0,5.0,6.0,400.6,4.0,6.0,782.5,4.0,5.0,297.6
6.0,2.0,9.0,6.0,1.0,96.3,6.0,1.0,432.0,6.0,1.0,194.0,6.0,1.0,424.8,5.0,1.0,169.8
6.0,3.0,21.2,6.0,3.0,290.2,6.0,2.0,544.1,6.0,2.0,301.6,6.0,2.0,682.8,5.0,2.0,276.3
6.0,4.0,23.5,6.0,4.0,379.3,6.0,4.0,1115.0,6.0,3.0,719.7,6.0,3.0,1561.0,5.0,3.0,529.2
6.0,5.0,24.6,6.0,5.0,283.0,6.0,5.0,1194.0,6.0,5.0,360.9,6.0,4.0,901.4,5.0,4.0,418.8
