1,乙津 康志,乙津 康志.1,2,原村 拓也,原村 拓也.1,3,森作 雄大,森作 雄大.1,4,桂林 寛,桂林 寛.1,5,大熊 辰弥,大熊 辰弥.1,6,照屋 厚仁,照屋 厚仁.1
2.0,3.0,11.7,1.0,3.0,19.8,1.0,2.0,26.5,1.0,2.0,95.0,1.0,2.0,790.4,1.0,2.0,275.4
2.0,4.0,17.4,1.0,4.0,30.0,1.0,4.0,25.9,1.0,3.0,105.8,1.0,3.0,1124.0,1.0,3.0,188.0
2.0,5.0,95.2,1.0,5.0,145.8,1.0,5.0,114.9,1.0,5.0,307.2,1.0,4.0,932.3,1.0,4.0,384.1
2.0,6.0,24.9,1.0,6.0,38.8,1.0,6.0,28.1,1.0,6.0,97.1,1.0,6.0,1010.0,1.0,5.0,1124.0
3.0,2.0,9.9,3.0,1.0,29.7,2.0,1.0,44.1,2.0,1.0,177.9,2.0,1.0,583.3,2.0,1.0,345.2
3.0,4.0,12.2,3.0,4.0,41.6,2.0,4.0,59.4,2.0,3.0,206.9,2.0,3.0,1558.0,2.0,3.0,317.1
3.0,5.0,61.3,3.0,5.0,232.1,2.0,5.0,205.8,2.0,5.0,517.0,2.0,4.0,1212.0,2.0,4.0,553.7
3.0,6.0,17.7,3.0,6.0,63.0,2.0,6.0,52.4,2.0,6.0,221.7,2.0,6.0,1652.0,2.0,5.0,1474.0
4.0,2.0,27.5,4.0,1.0,52.9,4.0,1.0,44.3,3.0,1.0,129.2,3.0,1.0,1113.0,3.0,1.0,197.2
4.0,3.0,30.3,4.0,3.0,59.7,4.0,2.0,68.4,3.0,2.0,194.7,3.0,2.0,1731.0,3.0,2.0,325.6
4.0,5.0,142.0,4.0,5.0,456.4,4.0,5.0,175.1,3.0,5.0,407.0,3.0,4.0,1330.0,3.0,4.0,272.7
4.0,6.0,38.3,4.0,6.0,122.7,4.0,6.0,42.6,3.0,6.0,123.2,3.0,6.0,1048.0,3.0,5.0,1253.0
5.0,2.0,267.3,5.0,1.0,673.3,5.0,1.0,407.0,5.0,1.0,472.2,4.0,1.0,814.0,4.0,1.0,517.0
5.0,3.0,253.1,5.0,3.0,649.3,5.0,2.0,443.4,5.0,2.0,649.3,4.0,2.0,1160.0,4.0,2.0,669.2
5.0,4.0,310.7,5.0,4.0,832.7,5.0,4.0,422.8,5.0,3.0,677.5,4.0,3.0,1239.0,4.0,3.0,346.3
5.0,6.0,316.1,5.0,6.0,717.6,5.0,6.0,361.2,5.0,6.0,447.0,4.0,6.0,808.0,4.0,5.0,1380.0
6.0,2.0,64.8,6.0,1.0,185.5,6.0,1.0,71.9,6.0,1.0,186.7,6.0,1.0,1788.0,5.0,1.0,1848.0
6.0,3.0,62.3,6.0,3.0,175.6,6.0,2.0,91.2,6.0,2.0,268.0,6.0,2.0,1454.0,5.0,2.0,1848.0
6.0,4.0,81.5,6.0,4.0,234.5,6.0,4.0,85.2,6.0,3.0,194.4,6.0,3.0,1494.0,5.0,3.0,1731.0
6.0,5.0,265.4,6.0,5.0,732.1,6.0,5.0,270.0,6.0,5.0,450.7,6.0,4.0,1268.0,5.0,4.0,1947.0
