1,岡部 浩,岡部 浩.1,2,仲本 舜,仲本 舜.1,3,佐竹 太一,佐竹 太一.1,4,重成 一人,重成 一人.1,5,萩原 知哉,萩原 知哉.1,6,平石 和男,平石 和男.1
2.0,3.0,84.0,1.0,3.0,213.1,1.0,2.0,82.2,1.0,2.0,80.6,1.0,2.0,769.7,1.0,2.0,1076.0
2.0,4.0,76.0,1.0,4.0,156.7,1.0,4.0,13.6,1.0,3.0,20.0,1.0,3.0,389.8,1.0,3.0,474.1
2.0,5.0,236.1,1.0,5.0,481.6,1.0,5.0,48.6,1.0,5.0,46.6,1.0,4.0,367.4,1.0,4.0,348.4
2.0,6.0,171.6,1.0,6.0,311.4,1.0,6.0,32.8,1.0,6.0,24.4,1.0,6.0,564.3,1.0,5.0,1366.0
3.0,2.0,59.3,3.0,1.0,282.5,2.0,1.0,238.7,2.0,1.0,191.0,2.0,1.0,942.8,2.0,1.0,1930.0
3.0,4.0,8.9,3.0,4.0,264.3,2.0,4.0,168.5,2.0,3.0,224.8,2.0,3.0,1382.0,2.0,3.0,2061.0
3.0,5.0,37.4,3.0,5.0,787.1,2.0,5.0,488.4,2.0,5.0,297.7,2.0,4.0,1430.0,2.0,4.0,1447.0
3.0,6.0,30.9,3.0,6.0,480.7,2.0,6.0,318.3,2.0,6.0,178.2,2.0,6.0,1022.0,2.0,5.0,2615.0
4.0,2.0,50.4,4.0,1.0,254.9,4.0,1.0,16.4,3.0,1.0,23.2,3.0,1.0,439.8,3.0,1.0,499.4
4.0,3.0,10.5,4.0,3.0,293.4,4.0,2.0,86.4,3.0,2.0,119.0,3.0,2.0,1241.0,3.0,2.0,1621.0
4.0,5.0,38.2,4.0,5.0,611.1,4.0,5.0,37.8,3.0,5.0,46.8,3.0,4.0,379.4,3.0,4.0,215.2
4.0,6.0,21.7,4.0,6.0,329.1,4.0,6.0,18.3,3.0,6.0,22.8,3.0,6.0,646.9,3.0,5.0,1141.0
5.0,2.0,277.3,5.0,1.0,1039.0,5.0,1.0,135.2,5.0,1.0,54.9,4.0,1.0,279.9,4.0,1.0,317.5
5.0,3.0,111.3,5.0,3.0,1689.0,5.0,2.0,509.9,5.0,2.0,158.6,4.0,2.0,671.9,4.0,2.0,904.2
5.0,4.0,109.5,5.0,4.0,1247.0,5.0,4.0,111.0,5.0,3.0,67.0,4.0,3.0,334.1,4.0,3.0,217.1
5.0,6.0,231.2,5.0,6.0,1610.0,5.0,6.0,173.7,5.0,6.0,46.7,4.0,6.0,276.4,4.0,5.0,488.4
6.0,2.0,367.9,6.0,1.0,847.5,6.0,1.0,119.7,6.0,1.0,40.4,6.0,1.0,630.1,5.0,1.0,1815.0
6.0,3.0,110.0,6.0,3.0,1175.0,6.0,2.0,421.5,6.0,2.0,146.2,6.0,2.0,1076.0,5.0,2.0,2828.0
6.0,4.0,79.9,6.0,4.0,746.1,6.0,4.0,60.5,6.0,3.0,38.1,6.0,3.0,721.7,5.0,3.0,1492.0
6.0,5.0,330.0,6.0,5.0,1871.0,6.0,5.0,213.5,6.0,5.0,56.3,6.0,4.0,465.9,5.0,4.0,675.6
