1,中越 博紀,中越 博紀.1,2,志道 吉和,志道 吉和.1,3,川田 正人,川田 正人.1,4,酒見 峻介,酒見 峻介.1,5,宮地 元輝,宮地 元輝.1,6,笹木 香吾,笹木 香吾.1
2.0,3.0,90.4,1.0,3.0,359.9,1.0,2.0,586.1,1.0,2.0,68.4,1.0,2.0,48.4,1.0,2.0,3123.0
2.0,4.0,62.7,1.0,4.0,208.4,1.0,4.0,358.5,1.0,3.0,89.2,1.0,3.0,56.3,1.0,3.0,4515.0
2.0,5.0,46.9,1.0,5.0,150.8,1.0,5.0,241.2,1.0,5.0,15.6,1.0,4.0,16.7,1.0,4.0,2257.0
2.0,6.0,332.1,1.0,6.0,883.7,1.0,6.0,1438.0,1.0,6.0,100.9,1.0,6.0,74.8,1.0,5.0,1425.0
3.0,2.0,109.9,3.0,1.0,821.6,2.0,1.0,836.7,2.0,1.0,157.6,2.0,1.0,103.6,2.0,1.0,4000.0
3.0,4.0,56.7,3.0,4.0,1175.0,2.0,4.0,815.7,2.0,3.0,369.8,2.0,3.0,230.0,2.0,3.0,5302.0
3.0,5.0,39.7,3.0,5.0,702.6,2.0,5.0,901.2,2.0,5.0,78.3,2.0,4.0,82.3,2.0,4.0,3931.0
3.0,6.0,412.3,3.0,6.0,2171.0,2.0,6.0,1572.0,2.0,6.0,265.4,2.0,6.0,200.5,2.0,5.0,3328.0
4.0,2.0,47.6,4.0,1.0,348.1,4.0,1.0,524.1,3.0,1.0,249.6,3.0,1.0,158.2,3.0,1.0,4956.0
4.0,3.0,45.2,4.0,3.0,904.8,4.0,2.0,974.4,3.0,2.0,472.5,3.0,2.0,339.0,3.0,2.0,5241.0
4.0,5.0,11.5,4.0,5.0,201.0,4.0,5.0,351.6,3.0,5.0,139.0,3.0,4.0,149.5,3.0,4.0,3020.0
4.0,6.0,137.6,4.0,6.0,1235.0,4.0,6.0,1341.0,3.0,6.0,502.7,3.0,6.0,417.6,3.0,5.0,3102.0
5.0,2.0,30.6,5.0,1.0,219.3,5.0,1.0,322.2,5.0,1.0,7.8,4.0,1.0,9.4,4.0,1.0,2140.0
5.0,3.0,27.1,5.0,3.0,543.5,5.0,2.0,703.7,5.0,2.0,20.4,4.0,2.0,25.3,4.0,2.0,3481.0
5.0,4.0,12.7,5.0,4.0,214.4,5.0,4.0,339.5,5.0,3.0,34.5,4.0,3.0,44.6,4.0,3.0,3428.0
5.0,6.0,81.1,5.0,6.0,838.2,5.0,6.0,865.3,5.0,6.0,13.7,4.0,6.0,19.0,4.0,5.0,756.2
6.0,2.0,752.5,6.0,1.0,3060.0,6.0,1.0,4384.0,6.0,1.0,213.9,6.0,1.0,154.4,5.0,1.0,1291.0
6.0,3.0,944.1,6.0,3.0,4343.0,6.0,2.0,3000.0,6.0,2.0,283.0,6.0,2.0,255.4,5.0,2.0,2072.0
6.0,4.0,565.7,6.0,4.0,2591.0,6.0,4.0,3832.0,6.0,3.0,419.1,6.0,3.0,387.4,5.0,3.0,2605.0
6.0,5.0,394.1,6.0,5.0,2257.0,6.0,5.0,2082.0,6.0,5.0,98.4,6.0,4.0,107.7,5.0,4.0,731.9
