1,宮地 元輝,宮地 元輝.1,2,寺島 吉彦,寺島 吉彦.1,3,重成 一人,重成 一人.1,4,岡部 浩,岡部 浩.1,5,萩原 秀人,萩原 秀人.1,6,原村 拓也,原村 拓也.1
2.0,3.0,5.8,1.0,3.0,80.0,1.0,2.0,55.2,1.0,2.0,240.4,1.0,2.0,135.9,1.0,2.0,1856.0
2.0,4.0,14.6,1.0,4.0,110.2,1.0,4.0,93.0,1.0,3.0,507.2,1.0,3.0,91.8,1.0,3.0,1619.0
2.0,5.0,8.8,1.0,5.0,101.4,1.0,5.0,34.5,1.0,5.0,380.1,1.0,4.0,319.9,1.0,4.0,3498.0
2.0,6.0,36.5,1.0,6.0,296.3,1.0,6.0,120.0,1.0,6.0,737.6,1.0,6.0,273.3,1.0,5.0,2283.0
3.0,2.0,6.2,3.0,1.0,185.2,2.0,1.0,182.8,2.0,1.0,369.5,2.0,1.0,285.3,2.0,1.0,3348.0
3.0,4.0,16.9,3.0,4.0,656.0,2.0,4.0,595.8,2.0,3.0,1600.0,2.0,3.0,513.0,2.0,3.0,3984.0
3.0,5.0,5.5,3.0,5.0,386.2,2.0,5.0,314.6,2.0,5.0,1269.0,2.0,4.0,1001.0,2.0,4.0,4873.0
3.0,6.0,28.1,3.0,6.0,891.8,2.0,6.0,786.5,2.0,6.0,1711.0,2.0,6.0,1001.0,2.0,5.0,5248.0
4.0,2.0,35.8,4.0,1.0,301.2,4.0,1.0,373.8,3.0,1.0,786.5,3.0,1.0,156.2,3.0,1.0,2067.0
4.0,3.0,42.4,4.0,3.0,1022.0,4.0,2.0,886.1,3.0,2.0,1455.0,3.0,2.0,497.5,3.0,2.0,3567.0
4.0,5.0,48.2,4.0,5.0,957.6,4.0,5.0,492.6,3.0,5.0,1254.0,3.0,4.0,997.8,3.0,4.0,6202.0
4.0,6.0,108.9,4.0,6.0,1290.0,4.0,6.0,1100.0,3.0,6.0,1908.0,3.0,6.0,741.6,3.0,5.0,3764.0
5.0,2.0,17.6,5.0,1.0,319.3,5.0,1.0,88.0,5.0,1.0,542.5,4.0,1.0,652.9,4.0,1.0,4297.0
5.0,3.0,13.3,5.0,3.0,603.1,5.0,2.0,286.2,5.0,2.0,941.1,4.0,2.0,1357.0,4.0,2.0,5149.0
5.0,4.0,53.1,5.0,4.0,1134.0,5.0,4.0,459.8,5.0,3.0,987.0,4.0,3.0,1127.0,4.0,3.0,4962.0
5.0,6.0,47.6,5.0,6.0,1260.0,5.0,6.0,460.6,5.0,6.0,978.2,4.0,6.0,1260.0,4.0,5.0,4830.0
6.0,2.0,196.2,6.0,1.0,1512.0,6.0,1.0,858.2,6.0,1.0,1586.0,6.0,1.0,1053.0,5.0,1.0,2918.0
6.0,3.0,179.7,6.0,3.0,2274.0,6.0,2.0,1541.0,6.0,2.0,1963.0,6.0,2.0,1949.0,5.0,2.0,3764.0
6.0,4.0,284.4,6.0,4.0,2562.0,6.0,4.0,1999.0,6.0,3.0,3083.0,6.0,3.0,1738.0,5.0,3.0,2813.0
6.0,5.0,205.0,6.0,5.0,2166.0,6.0,5.0,1197.0,6.0,5.0,2099.0,6.0,4.0,2274.0,5.0,4.0,5299.0
