1,森作 雄大,森作 雄大.1,2,萩原 秀人,萩原 秀人.1,3,大庭 元明,大庭 元明.1,4,中野 和裕,中野 和裕.1,5,宮地 元輝,宮地 元輝.1,6,中越 博紀,中越 博紀.1
2.0,3.0,15.0,1.0,3.0,31.8,1.0,2.0,175.4,1.0,2.0,409.8,1.0,2.0,18.0,1.0,2.0,628.7
2.0,4.0,26.1,1.0,4.0,60.0,1.0,4.0,393.4,1.0,3.0,1055.0,1.0,3.0,49.4,1.0,3.0,1445.0
2.0,5.0,6.0,1.0,5.0,11.2,1.0,5.0,139.4,1.0,5.0,421.7,1.0,4.0,118.9,1.0,4.0,1992.0
2.0,6.0,31.4,1.0,6.0,54.2,1.0,6.0,370.5,1.0,6.0,863.8,1.0,6.0,34.1,1.0,5.0,434.3
3.0,2.0,30.4,3.0,1.0,132.9,2.0,1.0,240.0,2.0,1.0,476.4,2.0,1.0,27.1,2.0,1.0,743.7
3.0,4.0,64.5,3.0,4.0,335.0,2.0,4.0,527.5,2.0,3.0,1405.0,2.0,3.0,77.1,2.0,3.0,1361.0
3.0,5.0,25.0,3.0,5.0,93.2,2.0,5.0,157.9,2.0,5.0,617.2,2.0,4.0,160.4,2.0,4.0,1905.0
3.0,6.0,80.4,3.0,6.0,257.5,2.0,6.0,425.2,2.0,6.0,1129.0,2.0,6.0,44.6,2.0,5.0,484.7
4.0,2.0,75.6,4.0,1.0,230.8,4.0,1.0,912.9,3.0,1.0,1487.0,3.0,1.0,154.7,3.0,1.0,1954.0
4.0,3.0,130.7,4.0,3.0,526.6,4.0,2.0,1066.0,3.0,2.0,1804.0,3.0,2.0,143.2,3.0,2.0,2074.0
4.0,5.0,73.6,4.0,5.0,276.7,4.0,5.0,815.3,3.0,5.0,1418.0,3.0,4.0,477.9,3.0,4.0,3426.0
4.0,6.0,161.5,4.0,6.0,587.5,4.0,6.0,1325.0,3.0,6.0,2651.0,3.0,6.0,214.8,3.0,5.0,1613.0
5.0,2.0,9.1,5.0,1.0,20.6,5.0,1.0,185.5,5.0,1.0,371.8,4.0,1.0,255.5,4.0,1.0,3673.0
5.0,3.0,22.3,5.0,3.0,66.6,5.0,2.0,169.4,5.0,2.0,475.7,4.0,2.0,299.8,4.0,2.0,2931.0
5.0,4.0,50.1,5.0,4.0,149.1,5.0,4.0,515.0,5.0,3.0,1023.0,4.0,3.0,597.8,4.0,3.0,4356.0
5.0,6.0,23.3,5.0,6.0,52.9,5.0,6.0,292.9,5.0,6.0,489.4,4.0,6.0,299.8,4.0,5.0,2382.0
6.0,2.0,153.3,6.0,1.0,306.4,6.0,1.0,974.2,6.0,1.0,1392.0,6.0,1.0,73.6,5.0,1.0,381.1
6.0,3.0,263.3,6.0,3.0,555.4,6.0,2.0,999.7,6.0,2.0,1836.0,6.0,2.0,84.3,5.0,2.0,389.9
6.0,4.0,369.1,6.0,4.0,894.2,6.0,4.0,1762.0,6.0,3.0,2989.0,6.0,3.0,243.5,5.0,3.0,1026.0
6.0,5.0,123.4,6.0,5.0,198.6,6.0,5.0,787.9,6.0,5.0,1181.0,6.0,4.0,364.3,5.0,4.0,1314.0
