1,大庭 元明,大庭 元明.1,2,志道 吉和,志道 吉和.1,3,三原 司,三原 司.1,4,仲本 舜,仲本 舜.1,5,小川 晃司,小川 晃司.1,6,桂林 寛,桂林 寛.1
2.0,3.0,8.9,1.0,3.0,40.9,1.0,2.0,34.8,1.0,2.0,270.4,1.0,2.0,206.8,1.0,2.0,269.1
2.0,4.0,25.0,1.0,4.0,95.8,1.0,4.0,50.9,1.0,3.0,182.7,1.0,3.0,185.0,1.0,3.0,188.0
2.0,5.0,18.8,1.0,5.0,66.8,1.0,5.0,35.6,1.0,5.0,172.9,1.0,4.0,478.6,1.0,4.0,438.1
2.0,6.0,22.2,1.0,6.0,85.2,1.0,6.0,40.0,1.0,6.0,189.8,1.0,6.0,266.6,1.0,5.0,203.5
3.0,2.0,7.8,3.0,1.0,94.6,2.0,1.0,100.5,2.0,1.0,479.6,2.0,1.0,397.5,2.0,1.0,502.1
3.0,4.0,15.0,3.0,4.0,298.0,2.0,4.0,255.0,2.0,3.0,705.7,2.0,3.0,624.7,2.0,3.0,708.0
3.0,5.0,10.2,3.0,5.0,169.6,2.0,5.0,178.1,2.0,5.0,598.6,2.0,4.0,1043.0,2.0,4.0,1038.0
3.0,6.0,12.0,3.0,6.0,257.0,2.0,6.0,188.9,2.0,6.0,678.9,2.0,6.0,690.9,2.0,5.0,593.6
4.0,2.0,50.6,4.0,1.0,325.3,4.0,1.0,90.1,3.0,1.0,235.6,3.0,1.0,291.1,3.0,1.0,290.7
4.0,3.0,40.1,4.0,3.0,435.9,4.0,2.0,189.6,3.0,2.0,564.7,3.0,2.0,626.5,3.0,2.0,715.1
4.0,5.0,51.5,4.0,5.0,477.0,4.0,5.0,125.4,3.0,5.0,289.8,3.0,4.0,709.2,3.0,4.0,541.3
4.0,6.0,65.2,4.0,6.0,499.1,4.0,6.0,96.8,3.0,6.0,276.9,3.0,6.0,625.6,3.0,5.0,456.7
5.0,2.0,42.8,5.0,1.0,264.0,5.0,1.0,113.9,5.0,1.0,380.6,4.0,1.0,809.4,4.0,1.0,706.9
5.0,3.0,29.8,5.0,3.0,373.7,5.0,2.0,223.3,5.0,2.0,648.2,4.0,2.0,1217.0,4.0,2.0,1221.0
5.0,4.0,80.3,5.0,4.0,775.8,5.0,4.0,229.7,5.0,3.0,453.3,4.0,3.0,948.7,4.0,3.0,580.0
5.0,6.0,58.5,5.0,6.0,452.4,5.0,6.0,181.3,5.0,6.0,402.8,4.0,6.0,1069.0,4.0,5.0,841.0
6.0,2.0,54.0,6.0,1.0,246.7,6.0,1.0,107.1,6.0,1.0,292.3,6.0,1.0,468.1,5.0,1.0,412.0
6.0,3.0,35.7,6.0,3.0,462.1,6.0,2.0,218.5,6.0,2.0,506.8,6.0,2.0,829.7,5.0,2.0,959.3
6.0,4.0,103.2,6.0,4.0,766.1,6.0,4.0,186.8,6.0,3.0,349.4,6.0,3.0,770.2,5.0,3.0,621.9
6.0,5.0,48.1,6.0,5.0,324.8,6.0,5.0,177.0,6.0,5.0,321.2,6.0,4.0,1149.0,5.0,4.0,994.9
