1,中辻 崇人,中辻 崇人.1,2,泉 具巳,泉 具巳.1,3,中村 辰也,中村 辰也.1,4,吉永 泰弘,吉永 泰弘.1,5,江藤 敦宏,江藤 敦宏.1,6,冨田 秀幸,冨田 秀幸.1
2.0,3.0,6.1,1.0,3.0,76.9,1.0,2.0,38.5,1.0,2.0,398.3,1.0,2.0,502.1,1.0,2.0,893.6
2.0,4.0,17.7,1.0,4.0,186.8,1.0,4.0,48.5,1.0,3.0,355.1,1.0,3.0,455.9,1.0,3.0,604.3
2.0,5.0,42.9,1.0,5.0,371.4,1.0,5.0,90.3,1.0,5.0,720.3,1.0,4.0,953.3,1.0,4.0,1330.0
2.0,6.0,22.0,1.0,6.0,295.1,1.0,6.0,57.5,1.0,6.0,614.7,1.0,6.0,1036.0,1.0,5.0,1643.0
3.0,2.0,4.0,3.0,1.0,132.3,2.0,1.0,101.8,2.0,1.0,729.1,2.0,1.0,1070.0,2.0,1.0,1620.0
3.0,4.0,5.4,3.0,4.0,453.0,2.0,4.0,309.2,2.0,3.0,842.9,2.0,3.0,1242.0,2.0,3.0,2037.0
3.0,5.0,16.7,3.0,5.0,943.2,2.0,5.0,568.6,2.0,5.0,2285.0,2.0,4.0,2528.0,2.0,4.0,2971.0
3.0,6.0,7.4,3.0,6.0,644.7,2.0,6.0,442.3,2.0,6.0,1296.0,2.0,6.0,2742.0,2.0,5.0,3918.0
4.0,2.0,30.6,4.0,1.0,578.8,4.0,1.0,220.6,3.0,1.0,566.8,3.0,1.0,536.9,3.0,1.0,848.9
4.0,3.0,21.4,4.0,3.0,776.7,4.0,2.0,451.3,3.0,2.0,966.2,3.0,2.0,979.5,3.0,2.0,1896.0
4.0,5.0,89.4,4.0,5.0,2122.0,4.0,5.0,761.8,3.0,5.0,1705.0,3.0,4.0,1536.0,3.0,4.0,2476.0
4.0,6.0,54.2,4.0,6.0,1320.0,4.0,6.0,647.0,3.0,6.0,1697.0,3.0,6.0,1635.0,3.0,5.0,3241.0
5.0,2.0,100.8,5.0,1.0,1169.0,5.0,1.0,447.3,5.0,1.0,1443.0,4.0,1.0,1643.0,4.0,1.0,2109.0
5.0,3.0,64.1,5.0,3.0,1550.0,5.0,2.0,935.8,5.0,2.0,2602.0,4.0,2.0,2875.0,4.0,2.0,3212.0
5.0,4.0,173.7,5.0,4.0,2242.0,5.0,4.0,1176.0,5.0,3.0,1969.0,4.0,3.0,2409.0,4.0,3.0,3183.0
5.0,6.0,161.1,5.0,6.0,2174.0,5.0,6.0,1310.0,5.0,6.0,2085.0,4.0,6.0,3047.0,4.0,5.0,4244.0
6.0,2.0,52.0,6.0,1.0,1027.0,6.0,1.0,354.4,6.0,1.0,1392.0,6.0,1.0,1927.0,5.0,1.0,2922.0
6.0,3.0,32.3,6.0,3.0,1437.0,6.0,2.0,757.0,6.0,2.0,1722.0,6.0,2.0,2971.0,5.0,2.0,5750.0
6.0,4.0,99.6,6.0,4.0,1409.0,6.0,4.0,918.9,6.0,3.0,2060.0,6.0,3.0,2852.0,5.0,3.0,4244.0
6.0,5.0,143.8,6.0,5.0,2721.0,6.0,5.0,1242.0,6.0,5.0,2409.0,6.0,4.0,3461.0,5.0,4.0,5167.0
