1,高橋 直哉,高橋 直哉.1,2,長畑 友輔,長畑 友輔.1,3,鈴木 博,鈴木 博.1,4,山田 和佐,山田 和佐.1,5,吉永 泰弘,吉永 泰弘.1,6,小林 甘寧,小林 甘寧.1
2.0,3.0,12.4,1.0,3.0,26.1,1.0,2.0,12.3,1.0,2.0,89.4,1.0,2.0,341.0,1.0,2.0,3114.0
2.0,4.0,23.8,1.0,4.0,59.2,1.0,4.0,20.5,1.0,3.0,70.9,1.0,3.0,210.4,1.0,3.0,2525.0
2.0,5.0,48.1,1.0,5.0,92.8,1.0,5.0,15.1,1.0,5.0,177.6,1.0,4.0,433.2,1.0,4.0,4449.0
2.0,6.0,393.1,1.0,6.0,647.4,1.0,6.0,143.1,1.0,6.0,803.2,1.0,6.0,1049.0,1.0,5.0,5289.0
3.0,2.0,8.3,3.0,1.0,31.8,2.0,1.0,27.9,2.0,1.0,139.8,2.0,1.0,507.8,2.0,1.0,2831.0
3.0,4.0,11.2,3.0,4.0,66.8,2.0,4.0,49.4,2.0,3.0,146.3,2.0,3.0,360.3,2.0,3.0,3640.0
3.0,5.0,17.0,3.0,5.0,63.9,2.0,5.0,36.8,2.0,5.0,325.5,2.0,4.0,753.5,2.0,4.0,4521.0
3.0,6.0,176.7,3.0,6.0,397.0,2.0,6.0,222.8,2.0,6.0,1078.0,2.0,6.0,1698.0,2.0,5.0,4312.0
4.0,2.0,29.5,4.0,1.0,121.1,4.0,1.0,39.7,3.0,1.0,79.7,3.0,1.0,160.7,3.0,1.0,2480.0
4.0,3.0,22.0,4.0,3.0,127.2,4.0,2.0,56.2,3.0,2.0,115.7,3.0,2.0,213.6,3.0,2.0,3259.0
4.0,5.0,71.6,4.0,5.0,293.2,4.0,5.0,54.6,3.0,5.0,170.1,3.0,4.0,243.1,3.0,4.0,3337.0
4.0,6.0,398.1,4.0,6.0,1034.0,4.0,6.0,270.8,3.0,6.0,810.1,3.0,6.0,496.1,3.0,5.0,1933.0
5.0,2.0,102.3,5.0,1.0,232.8,5.0,1.0,23.1,5.0,1.0,378.3,4.0,1.0,604.1,4.0,1.0,4312.0
5.0,3.0,60.8,5.0,3.0,186.0,5.0,2.0,31.9,5.0,2.0,509.6,4.0,2.0,834.3,4.0,2.0,4062.0
5.0,4.0,147.3,5.0,4.0,397.6,5.0,4.0,40.3,5.0,3.0,330.1,4.0,3.0,449.9,4.0,3.0,4521.0
5.0,6.0,580.3,5.0,6.0,1061.0,5.0,6.0,83.6,5.0,6.0,1322.0,4.0,6.0,1741.0,4.0,5.0,3737.0
6.0,2.0,1224.0,6.0,1.0,2156.0,6.0,1.0,397.6,6.0,1.0,2224.0,6.0,1.0,2002.0,5.0,1.0,4833.0
6.0,3.0,878.7,6.0,3.0,1820.0,6.0,2.0,498.7,6.0,2.0,2016.0,6.0,2.0,2107.0,5.0,2.0,4672.0
6.0,4.0,1280.0,6.0,4.0,2336.0,6.0,4.0,585.2,6.0,3.0,2016.0,6.0,3.0,1408.0,5.0,3.0,2279.0
6.0,5.0,1523.0,6.0,5.0,2571.0,6.0,5.0,267.9,6.0,5.0,2695.0,6.0,4.0,2416.0,5.0,4.0,4521.0
