1,富田 恕生,富田 恕生.1,2,金子 賢志,金子 賢志.1,3,吉本 玲緒,吉本 玲緒.1,4,岡部 大輔,岡部 大輔.1,5,山田 哲也,山田 哲也.1,6,河合 三弘,河合 三弘.1
2.0,3.0,77.2,1.0,3.0,132.7,1.0,2.0,527.5,1.0,2.0,116.7,1.0,2.0,15.6,1.0,2.0,920.2
2.0,4.0,18.3,1.0,4.0,39.3,1.0,4.0,728.5,1.0,3.0,491.3,1.0,3.0,99.0,1.0,3.0,2417.0
2.0,5.0,12.2,1.0,5.0,25.1,1.0,5.0,532.2,1.0,5.0,70.5,1.0,4.0,21.2,1.0,4.0,1205.0
2.0,6.0,58.8,1.0,6.0,103.8,1.0,6.0,1349.0,1.0,6.0,208.1,1.0,6.0,30.9,1.0,5.0,632.7
3.0,2.0,146.3,3.0,1.0,255.6,2.0,1.0,560.4,2.0,1.0,132.4,2.0,1.0,25.0,2.0,1.0,1099.0
3.0,4.0,168.3,3.0,4.0,247.6,2.0,4.0,549.0,2.0,3.0,401.2,2.0,3.0,124.1,2.0,3.0,2454.0
3.0,5.0,149.6,3.0,5.0,188.8,2.0,5.0,539.9,2.0,5.0,69.2,2.0,4.0,25.1,2.0,4.0,945.3
3.0,6.0,403.2,3.0,6.0,588.9,2.0,6.0,1288.0,2.0,6.0,203.5,2.0,6.0,39.3,2.0,5.0,598.4
4.0,2.0,30.7,4.0,1.0,59.7,4.0,1.0,1038.0,3.0,1.0,964.1,3.0,1.0,295.0,3.0,1.0,3737.0
4.0,3.0,136.6,4.0,3.0,183.0,4.0,2.0,899.8,3.0,2.0,791.3,3.0,2.0,299.7,3.0,2.0,3766.0
4.0,5.0,24.7,4.0,5.0,33.8,4.0,5.0,920.2,3.0,5.0,781.2,3.0,4.0,396.9,3.0,4.0,3918.0
4.0,6.0,88.1,4.0,6.0,138.0,4.0,6.0,2159.0,3.0,6.0,1268.0,3.0,6.0,356.2,3.0,5.0,2909.0
5.0,2.0,11.5,5.0,1.0,30.3,5.0,1.0,709.3,5.0,1.0,48.5,4.0,1.0,36.1,4.0,1.0,1552.0
5.0,3.0,81.1,5.0,3.0,120.5,5.0,2.0,655.7,5.0,2.0,47.7,4.0,2.0,33.2,4.0,2.0,1060.0
5.0,4.0,18.0,5.0,4.0,28.8,5.0,4.0,846.5,5.0,3.0,265.3,4.0,3.0,193.1,4.0,3.0,3261.0
5.0,6.0,41.8,5.0,6.0,69.3,5.0,6.0,1372.0,5.0,6.0,65.7,4.0,6.0,45.1,4.0,5.0,571.6
6.0,2.0,187.7,6.0,1.0,390.9,6.0,1.0,2669.0,6.0,1.0,359.4,6.0,1.0,49.7,5.0,1.0,489.3
6.0,3.0,610.4,6.0,3.0,964.1,6.0,2.0,2557.0,6.0,2.0,342.4,6.0,2.0,52.1,5.0,2.0,430.7
6.0,4.0,220.8,6.0,4.0,361.0,6.0,4.0,3398.0,6.0,3.0,1137.0,6.0,3.0,213.9,5.0,3.0,1357.0
6.0,5.0,156.6,6.0,5.0,234.5,6.0,5.0,2544.0,6.0,5.0,205.2,6.0,4.0,64.9,5.0,4.0,436.1
