1,木山 誠一,木山 誠一.1,2,吉田 祐貴,吉田 祐貴.1,3,谷口 健一,谷口 健一.1,4,吉本 玲緒,吉本 玲緒.1,5,吉永 泰弘,吉永 泰弘.1,6,森 雄利,森 雄利.1
2.0,3.0,9.0,1.0,3.0,22.5,1.0,2.0,61.7,1.0,2.0,150.1,1.0,2.0,48.3,1.0,2.0,405.4
2.0,4.0,21.0,1.0,4.0,42.8,1.0,4.0,86.1,1.0,3.0,184.3,1.0,3.0,67.9,1.0,3.0,668.2
2.0,5.0,8.9,1.0,5.0,19.6,1.0,5.0,47.9,1.0,5.0,112.4,1.0,4.0,112.2,1.0,4.0,939.0
2.0,6.0,78.3,1.0,6.0,127.1,1.0,6.0,337.2,1.0,6.0,462.2,1.0,6.0,141.1,1.0,5.0,447.1
3.0,2.0,14.0,3.0,1.0,51.2,2.0,1.0,79.0,2.0,1.0,192.0,2.0,1.0,69.2,2.0,1.0,537.4
3.0,4.0,29.2,3.0,4.0,109.6,2.0,4.0,135.7,2.0,3.0,247.1,2.0,3.0,93.4,2.0,3.0,818.4
3.0,5.0,15.7,3.0,5.0,52.1,2.0,5.0,68.5,2.0,5.0,150.1,2.0,4.0,135.1,2.0,4.0,1197.0
3.0,6.0,146.2,3.0,6.0,358.9,2.0,6.0,404.5,2.0,6.0,646.4,2.0,6.0,229.3,2.0,5.0,628.2
4.0,2.0,40.1,4.0,1.0,105.5,4.0,1.0,150.5,3.0,1.0,258.2,3.0,1.0,120.5,3.0,1.0,1239.0
4.0,3.0,46.7,4.0,3.0,149.9,4.0,2.0,186.0,3.0,2.0,297.3,3.0,2.0,118.0,3.0,2.0,1213.0
4.0,5.0,42.8,4.0,5.0,98.4,4.0,5.0,151.2,3.0,5.0,273.6,3.0,4.0,269.9,3.0,4.0,1621.0
4.0,6.0,235.0,4.0,6.0,474.5,4.0,6.0,547.2,3.0,6.0,716.5,3.0,6.0,441.6,3.0,5.0,1166.0
5.0,2.0,16.0,5.0,1.0,51.6,5.0,1.0,74.0,5.0,1.0,140.0,4.0,1.0,170.7,4.0,1.0,1593.0
5.0,3.0,22.7,5.0,3.0,63.9,5.0,2.0,80.6,5.0,2.0,130.9,4.0,2.0,155.2,4.0,2.0,1404.0
5.0,4.0,45.2,5.0,4.0,101.9,5.0,4.0,156.3,5.0,3.0,241.1,4.0,3.0,280.0,4.0,3.0,1699.0
5.0,6.0,95.2,5.0,6.0,236.6,5.0,6.0,351.9,5.0,6.0,343.7,4.0,6.0,440.5,4.0,5.0,1427.0
6.0,2.0,269.9,6.0,1.0,559.3,6.0,1.0,944.0,6.0,1.0,1087.0,6.0,1.0,268.7,5.0,1.0,575.5
6.0,3.0,382.8,6.0,3.0,919.6,6.0,2.0,887.6,6.0,2.0,1108.0,6.0,2.0,295.3,5.0,2.0,617.3
6.0,4.0,535.7,6.0,4.0,1043.0,6.0,4.0,1108.0,6.0,3.0,1331.0,6.0,3.0,557.5,5.0,3.0,1101.0
6.0,5.0,228.7,6.0,5.0,504.0,6.0,5.0,792.9,6.0,5.0,814.6,6.0,4.0,660.8,5.0,4.0,1450.0
