1,和合 俊介,和合 俊介.1,2,田中 豪,田中 豪.1,3,百武 翔,百武 翔.1,4,中渡 修作,中渡 修作.1,5,中村 辰也,中村 辰也.1,6,佃 來紀,佃 來紀.1
2.0,3.0,10.4,1.0,3.0,31.4,1.0,2.0,56.1,1.0,2.0,266.2,1.0,2.0,79.4,1.0,2.0,289.0
2.0,4.0,30.2,1.0,4.0,64.2,1.0,4.0,97.6,1.0,3.0,304.5,1.0,3.0,70.9,1.0,3.0,315.5
2.0,5.0,11.7,1.0,5.0,28.6,1.0,5.0,37.9,1.0,5.0,213.1,1.0,4.0,203.0,1.0,4.0,633.3
2.0,6.0,39.6,1.0,6.0,66.5,1.0,6.0,90.7,1.0,6.0,230.5,1.0,6.0,115.7,1.0,5.0,349.4
3.0,2.0,15.5,3.0,1.0,66.6,2.0,1.0,85.7,2.0,1.0,335.4,2.0,1.0,124.9,2.0,1.0,421.7
3.0,4.0,35.1,3.0,4.0,125.4,2.0,4.0,120.4,2.0,3.0,300.9,2.0,3.0,108.2,2.0,3.0,366.2
3.0,5.0,12.4,3.0,5.0,51.2,2.0,5.0,57.7,2.0,5.0,202.3,2.0,4.0,252.0,2.0,4.0,577.0
3.0,6.0,51.9,3.0,6.0,94.2,2.0,6.0,92.9,2.0,6.0,195.5,2.0,6.0,136.3,2.0,5.0,366.2
4.0,2.0,69.6,4.0,1.0,192.1,4.0,1.0,216.3,3.0,1.0,449.8,3.0,1.0,109.3,3.0,1.0,611.2
4.0,3.0,70.2,4.0,3.0,176.6,4.0,2.0,231.7,3.0,2.0,393.3,3.0,2.0,123.6,3.0,2.0,534.8
4.0,5.0,80.6,4.0,5.0,161.3,4.0,5.0,166.4,3.0,5.0,276.7,3.0,4.0,273.2,3.0,4.0,772.8
4.0,6.0,115.9,4.0,6.0,187.4,4.0,6.0,185.4,3.0,6.0,282.9,3.0,6.0,172.5,3.0,5.0,478.0
5.0,2.0,20.9,5.0,1.0,74.2,5.0,1.0,58.4,5.0,1.0,179.9,4.0,1.0,261.4,4.0,1.0,923.3
5.0,3.0,18.2,5.0,3.0,71.4,5.0,2.0,73.4,5.0,2.0,164.5,4.0,2.0,199.8,4.0,2.0,635.6
5.0,4.0,66.1,5.0,4.0,149.1,5.0,4.0,152.5,5.0,3.0,233.6,4.0,3.0,288.5,4.0,3.0,693.4
5.0,6.0,51.2,5.0,6.0,115.1,5.0,6.0,100.5,5.0,6.0,119.3,4.0,6.0,160.8,4.0,5.0,615.5
6.0,2.0,123.3,6.0,1.0,248.4,6.0,1.0,300.9,6.0,1.0,408.9,6.0,1.0,218.4,5.0,1.0,538.1
6.0,3.0,125.6,6.0,3.0,182.5,6.0,2.0,217.9,6.0,2.0,253.5,6.0,2.0,178.8,5.0,2.0,396.0
6.0,4.0,248.1,6.0,4.0,305.6,6.0,4.0,338.0,6.0,3.0,336.0,6.0,3.0,206.6,5.0,3.0,409.8
6.0,5.0,134.2,6.0,5.0,185.4,6.0,5.0,198.2,6.0,5.0,213.9,6.0,4.0,271.9,5.0,4.0,631.0
