1,泉 具巳,泉 具巳.1,2,東 健介,東 健介.1,3,松井 賢治,松井 賢治.1,4,宮迫 暢彦,宮迫 暢彦.1,5,山田 哲也,山田 哲也.1,6,小林 甘寧,小林 甘寧.1
2.0,3.0,34.1,1.0,3.0,102.3,1.0,2.0,113.8,1.0,2.0,241.0,1.0,2.0,27.4,1.0,2.0,2663.0
2.0,4.0,53.2,1.0,4.0,138.6,1.0,4.0,77.8,1.0,3.0,174.2,1.0,3.0,12.4,1.0,3.0,2444.0
2.0,5.0,30.5,1.0,5.0,89.3,1.0,5.0,33.3,1.0,5.0,103.8,1.0,4.0,20.2,1.0,4.0,3434.0
2.0,6.0,418.0,1.0,6.0,874.8,1.0,6.0,594.5,1.0,6.0,915.3,1.0,6.0,86.2,1.0,5.0,2175.0
3.0,2.0,27.8,3.0,1.0,161.3,2.0,1.0,206.6,2.0,1.0,361.3,2.0,1.0,47.7,2.0,1.0,4617.0
3.0,4.0,23.1,3.0,4.0,281.7,2.0,4.0,237.7,2.0,3.0,466.4,2.0,3.0,47.4,2.0,3.0,4617.0
3.0,5.0,11.4,3.0,5.0,164.0,2.0,5.0,137.3,2.0,5.0,266.7,2.0,4.0,75.0,2.0,4.0,4776.0
3.0,6.0,270.7,3.0,6.0,1915.0,2.0,6.0,1294.0,2.0,6.0,1682.0,2.0,6.0,161.7,2.0,5.0,4114.0
4.0,2.0,67.8,4.0,1.0,262.8,4.0,1.0,146.3,3.0,1.0,216.8,3.0,1.0,17.8,3.0,1.0,3011.0
4.0,3.0,45.7,4.0,3.0,374.0,4.0,2.0,246.9,3.0,2.0,398.0,3.0,2.0,43.1,3.0,2.0,5692.0
4.0,5.0,32.3,4.0,5.0,257.7,4.0,5.0,67.5,3.0,5.0,119.6,3.0,4.0,22.7,3.0,4.0,4468.0
4.0,6.0,444.9,4.0,6.0,1880.0,4.0,6.0,973.2,3.0,6.0,1251.0,3.0,6.0,129.9,3.0,5.0,2789.0
5.0,2.0,21.5,5.0,1.0,109.6,5.0,1.0,30.8,5.0,1.0,77.2,4.0,1.0,40.1,4.0,1.0,4889.0
5.0,3.0,10.6,5.0,3.0,130.6,5.0,2.0,71.7,5.0,2.0,136.0,4.0,2.0,74.1,4.0,2.0,6111.0
5.0,4.0,19.1,5.0,4.0,177.6,5.0,4.0,40.3,5.0,3.0,78.6,4.0,3.0,36.8,4.0,3.0,4468.0
5.0,6.0,144.0,5.0,6.0,826.1,5.0,6.0,308.5,5.0,6.0,372.0,4.0,6.0,176.9,4.0,5.0,2989.0
6.0,2.0,882.3,6.0,1.0,3033.0,6.0,1.0,1696.0,6.0,1.0,2007.0,6.0,1.0,159.5,5.0,1.0,1906.0
6.0,3.0,977.8,6.0,3.0,4197.0,6.0,2.0,3221.0,6.0,2.0,2565.0,6.0,2.0,209.2,5.0,2.0,2646.0
6.0,4.0,1120.0,6.0,4.0,3298.0,6.0,4.0,2503.0,6.0,3.0,2402.0,6.0,3.0,197.2,5.0,3.0,2234.0
6.0,5.0,715.2,6.0,5.0,2681.0,6.0,5.0,1610.0,6.0,5.0,1478.0,6.0,4.0,261.6,5.0,4.0,2175.0
