1,岡部 大輔,岡部 大輔.1,2,竹上 真司,竹上 真司.1,3,宮迫 暢彦,宮迫 暢彦.1,4,山田 哲也,山田 哲也.1,5,鳥飼 眞,鳥飼 眞.1,6,中村 辰也,中村 辰也.1
2.0,3.0,62.9,1.0,3.0,368.1,1.0,2.0,240.1,1.0,2.0,51.1,1.0,2.0,330.9,1.0,2.0,718.2
2.0,4.0,46.2,1.0,4.0,274.3,1.0,4.0,63.9,1.0,3.0,23.6,1.0,3.0,249.9,1.0,3.0,629.7
2.0,5.0,112.7,1.0,5.0,633.0,1.0,5.0,137.5,1.0,5.0,16.5,1.0,4.0,121.0,1.0,4.0,276.2
2.0,6.0,124.7,1.0,6.0,544.9,1.0,6.0,153.8,1.0,6.0,14.3,1.0,6.0,187.4,1.0,5.0,703.7
3.0,2.0,52.2,3.0,1.0,592.1,2.0,1.0,466.8,2.0,1.0,137.1,2.0,1.0,848.8,2.0,1.0,1204.0
3.0,4.0,15.3,3.0,4.0,720.4,2.0,4.0,414.6,2.0,3.0,195.6,2.0,3.0,1305.0,2.0,3.0,2345.0
3.0,5.0,40.5,3.0,5.0,1566.0,2.0,5.0,928.4,2.0,5.0,149.3,2.0,4.0,681.9,2.0,4.0,969.1
3.0,6.0,46.5,3.0,6.0,1586.0,2.0,6.0,1033.0,2.0,6.0,138.8,2.0,6.0,919.6,2.0,5.0,1818.0
4.0,2.0,28.3,4.0,1.0,361.8,4.0,1.0,72.0,3.0,1.0,57.4,3.0,1.0,475.5,3.0,1.0,892.5
4.0,3.0,11.9,4.0,3.0,642.2,4.0,2.0,257.0,3.0,2.0,174.0,3.0,2.0,1241.0,3.0,2.0,2139.0
4.0,5.0,17.6,4.0,5.0,718.2,4.0,5.0,102.6,3.0,5.0,66.9,3.0,4.0,456.3,3.0,4.0,583.6
4.0,6.0,15.1,4.0,6.0,462.4,4.0,6.0,102.0,3.0,6.0,62.9,3.0,6.0,592.1,3.0,5.0,1640.0
5.0,2.0,116.5,5.0,1.0,1281.0,5.0,1.0,312.6,5.0,1.0,18.7,4.0,1.0,85.0,4.0,1.0,227.6
5.0,3.0,70.5,5.0,3.0,1811.0,5.0,2.0,860.9,5.0,2.0,70.7,4.0,2.0,240.8,4.0,2.0,542.5
5.0,4.0,42.1,5.0,4.0,1071.0,5.0,4.0,232.3,5.0,3.0,53.4,4.0,3.0,194.1,4.0,3.0,375.2
5.0,6.0,72.0,5.0,6.0,1607.0,5.0,6.0,379.6,5.0,6.0,11.9,4.0,6.0,74.9,4.0,5.0,243.0
6.0,2.0,191.0,6.0,1.0,1142.0,6.0,1.0,461.5,6.0,1.0,22.0,6.0,1.0,332.3,5.0,1.0,935.5
6.0,3.0,115.2,6.0,3.0,2120.0,6.0,2.0,1121.0,6.0,2.0,78.5,6.0,2.0,631.4,5.0,2.0,1453.0
6.0,4.0,59.7,6.0,4.0,1071.0,6.0,4.0,268.7,6.0,3.0,47.5,6.0,3.0,560.6,5.0,3.0,1333.0
6.0,5.0,119.4,6.0,5.0,1965.0,6.0,5.0,556.1,6.0,5.0,19.8,6.0,4.0,186.0,5.0,4.0,339.3
