1,白井 友晴,白井 友晴.1,2,佐藤　謙史朗,佐藤　謙史朗.1,3,竹上 真司,竹上 真司.1,4,江藤 敦宏,江藤 敦宏.1,5,佃 來紀,佃 來紀.1,6,高橋 直哉,高橋 直哉.1
2.0,3.0,6.8,1.0,3.0,19.7,1.0,2.0,82.9,1.0,2.0,210.6,1.0,2.0,60.8,1.0,2.0,225.6
2.0,4.0,22.7,1.0,4.0,43.8,1.0,4.0,132.9,1.0,3.0,371.2,1.0,3.0,112.8,1.0,3.0,333.5
2.0,5.0,10.6,1.0,5.0,25.3,1.0,5.0,111.0,1.0,5.0,251.3,1.0,4.0,232.8,1.0,4.0,440.0
2.0,6.0,15.6,1.0,6.0,34.9,1.0,6.0,137.8,1.0,6.0,272.4,1.0,6.0,80.1,1.0,5.0,318.8
3.0,2.0,10.5,3.0,1.0,45.8,2.0,1.0,100.6,2.0,1.0,310.3,2.0,1.0,95.9,2.0,1.0,270.5
3.0,4.0,30.8,3.0,4.0,128.9,2.0,4.0,256.1,2.0,3.0,564.6,2.0,3.0,196.7,2.0,3.0,434.9
3.0,5.0,19.4,3.0,5.0,72.5,2.0,5.0,171.0,2.0,5.0,435.9,2.0,4.0,353.7,2.0,4.0,591.4
3.0,6.0,26.3,3.0,6.0,81.8,2.0,6.0,206.4,2.0,6.0,414.7,2.0,6.0,150.9,2.0,5.0,484.4
4.0,2.0,56.9,4.0,1.0,118.8,4.0,1.0,494.6,3.0,1.0,510.8,3.0,1.0,254.3,3.0,1.0,637.6
4.0,3.0,73.8,4.0,3.0,174.5,4.0,2.0,292.9,3.0,2.0,822.2,3.0,2.0,353.0,3.0,2.0,732.3
4.0,5.0,90.1,4.0,5.0,178.8,4.0,5.0,702.1,3.0,5.0,1065.0,3.0,4.0,1065.0,3.0,4.0,1258.0
4.0,6.0,91.7,4.0,6.0,182.0,4.0,6.0,784.4,3.0,6.0,876.0,3.0,6.0,422.2,3.0,5.0,1007.0
5.0,2.0,21.5,5.0,1.0,64.3,5.0,1.0,236.4,5.0,1.0,303.3,4.0,1.0,302.8,4.0,1.0,1083.0
5.0,3.0,33.6,5.0,3.0,119.2,5.0,2.0,367.6,5.0,2.0,418.4,4.0,2.0,430.9,4.0,2.0,1077.0
5.0,4.0,97.7,5.0,4.0,195.0,5.0,4.0,880.1,5.0,3.0,752.9,4.0,3.0,876.0,4.0,3.0,1802.0
5.0,6.0,43.1,5.0,6.0,111.1,5.0,6.0,452.8,5.0,6.0,333.5,4.0,6.0,364.7,4.0,5.0,1673.0
6.0,2.0,48.5,6.0,1.0,116.0,6.0,1.0,382.6,6.0,1.0,501.2,6.0,1.0,185.8,5.0,1.0,580.4
6.0,3.0,65.0,6.0,3.0,193.4,6.0,2.0,458.3,6.0,2.0,591.4,6.0,2.0,248.9,5.0,2.0,755.9
6.0,4.0,161.6,6.0,4.0,281.9,6.0,4.0,1096.0,6.0,3.0,919.0,6.0,3.0,443.2,5.0,3.0,1171.0
6.0,5.0,78.6,6.0,5.0,164.4,6.0,5.0,544.9,6.0,5.0,600.8,6.0,4.0,522.2,5.0,4.0,1171.0
